id,name,phone,sq_ft_total,address,location,dom_disc_id,sec_disc_id,third_disc_id,neighborhood_id,constituency_id
191,4Culture in Tashiro Kaplan,(206) 296-7580,,"101 Prefontaine Pl S Seattle, WA 98104","(47.6014352, -122.3300625)",0,0,0,0,0
192,ALTspace,(206) 424-7863,2500,"2318 E Cherry St Seattle, WA 98122","(47.6081565, -122.3018854)",0,0,0,0,0
193,AudioLogic,(206) 817-8760,1450,"12047 31st Ave NE, Seattle, WA 98125","(47.7170286, -122.2955694)",0,0,0,0,0
194,Avalon Glassworks,(206) 937-6369,1300,"2914 SW Avalon Way, Seattle, WA 98126","(47.5707566, -122.3710219)",0,0,0,0,0
195,Inscape Building,(206) 458-2716,77000,"815 Seattle Blvd S, Seattle, WA 98134","(47.59511695, -122.327085857065)",0,0,0,0,0
196,Tryptos Studio Collective,(206) 783-6997,1600,"5227 Leary Ave NW  Seattle, WA 98107","(47.6661353, -122.381867447952)",0,0,0,0,0
197,57 Biscayne,,5712,"110 Cherry St #200, Seattle, WA 98104","(47.6028497, -122.3338684)",0,0,0,0,0
198,A/NT Gallery,(206) 233-0680,3280,"2045 Westlake Ave, Seattle, WA 98121","(47.6158592, -122.338453)",0,0,0,0,0
199,Alki Arts,(206) 432-9936,6000,"55 University Seattle, WA 98101","(47.6060923, -122.3395432)",0,0,0,0,0
200,Art Xchange Gallery,(206) 839-0377,2000,"512 1st Ave S, Seattle, WA 98104","(47.5979017, -122.3339034)",0,0,0,0,0
201,Avanti Art and Design/Avanti Co-Op Gallery,(206) 784-8475,1500,"7601 Greenwood Ave N #101, Seattle, WA 98103","(47.6841406, -122.3555094)",0,0,0,0,0
202,Bherd Studios,(206) 234-8348,1000,312 N. 85th St. Suite 101 Seattle WA 98103,"(47.69077345, -122.354979091697)",0,0,0,0,0
203,C Art Gallery in Artspace Hiawatha Lofts,(206) 322-9374,,"855 Hiawatha Pl S, Seattle, WA 98144","(47.594554, -122.3095312)",0,0,0,0,0
204,Canlis Glass,(206) 282-4428,3500,"3131 Western Ave #329, Seattle, WA 98121","(47.6182617, -122.3577413)",0,0,0,0,0
205,CoCA,(206) 728-1980,4600,"5701 6th Ave S #258, Seattle, WA 98108","(47.5514664, -122.3283134)",0,0,0,0,0
206,Contactcreate,(206) 280-1230,1200,"928 13th Ave, Seattle, WA 98122","(47.611258, -122.315128000189)",0,0,0,0,0
207,Danaca Design,(206) 524-0916,1100,"5619 University Way NE, Seattle, WA 98105","(47.6701069, -122.313258)",0,0,0,0,0
208,Echo Echo Gallery,(206) 633-1236,3000,"8537 Greenwood Ave N Seattle, WA 98103","(47.6916342, -122.3557113)",0,0,0,0,0
209,Edd Cox Fine Art,(206) 682-4046,4500,"313 1st Ave S, Seattle, WA 98104","(47.5995772, -122.3345636)",0,0,0,0,0
210,Form/Space Atelier,(206) 349-2509,333,"2407 1st Ave, Seattle, WA 98121","(47.6142042, -122.348419)",0,0,0,0,0
211,Foster/White Gallery,(206) 622-2833,10000,"220 3rd Ave S, Seattle, WA 98104","(47.6002759, -122.3299406)",0,0,0,0,0
212,Fountainhead Gallery,(206) 285-4467,2100,"625 W McGraw St, Seattle, WA 98119","(47.6394417, -122.3660888)",0,0,0,0,0
213,Frame Central/North West Framing Cloud Gallery,(206) 720-2054,700,"901 E Pike St Seattle, WA 98122","(47.613902, -122.3203375)",0,0,0,0,0
214,Gage Academy of Art,(206) 323-4243,18000,"1501 10th Ave East, #101 Seattle, WA 98102","(47.6325497, -122.320689412583)",0,0,0,0,0
215,Gallery 110 in Tashiro Kaplan,(206) 624-9336,,"110 3rd Ave S, Seattle, WA 98104","(47.6012598, -122.330003)",0,0,0,0,0
216,Gallery Context,(206) 553-9437,3000,"5701 Sixth Ave South Seattle, WA 98108","(47.5514664, -122.3283134)",0,0,0,0,0
217,Gallery IMA,(206) 625-0055,3658,"123 S Jackson St, Seattle, WA 98104","(47.5989643, -122.3331035)",0,0,0,0,0
218,Georgetown Trailer Park Mall,(206) 767-0331,3000,"5805 Airport Way S, Seattle, WA 98108","(47.5505915102041, -122.318393510204)",0,0,0,0,0
219,Ghost Gallery,(206) 832-6063,900,"504 E Denny Way Seattle, WA 98122","(47.6186813, -122.324925092219)",0,0,0,0,0
220,Grover Thurston Gallery,(206) 223-0816,1500,"319 3rd Ave S, Seattle, WA 98104","(47.5994156, -122.3305147)",0,0,0,0,0
221,Kate Alkarni Gallery,(206) 453-0043,1500,"5701 6th Ave S, Atrium Suite 221 Seattle, WA 98108","(47.5514664, -122.3283134)",0,0,0,0,0
222,Kinsey Gallery,(206) 296-2340,150,"824 12th Ave Seattle, WA 98122","(47.6100596, -122.3163837)",0,0,0,0,0
223,Krab Jab Studio,(206) 715-8593,946,"5628 Airport Way South, Ste 246 Seattle, WA  98108","(47.5515231, -122.3186879)",0,0,0,0,0
224,L x W x H,(206) 697-5156,404,"6007 12th Ave S, Seattle, WA 98108","(47.5488654, -122.3174654)",0,0,0,0,0
225,Lisa Harris Gallery,(206) 443-3315,1100,"1922 Pike Pl, Seattle, WA 98101","(47.6083293, -122.3408128)",0,0,0,0,0
226,MIA Gallery,(206) 467-4927,682,"1203 2nd Ave, Seattle, WA 98101","(47.6066246, -122.3369157)",0,0,0,0,0
227,Miller School of Art,(206) 861-9265,1738,"1226 S Bailey St, Seattle, WA 98108","(47.5480284, -122.3164558)",0,0,0,0,0
228,Municipal Tower Gallery,(206) 684-7171,625,"700 Fifth Ave, 3rd Level Seattle, WA 98104","(47.60501625, -122.32957289044)",0,0,0,0,0
229,New Foundation,(206) 512-7247,1800,"312 2nd Ave South Seattle, WA","(47.599537, -122.331177)",0,0,0,0,0
230,Northwest Woodworkers Gallery,(206) 625-0542,4000,"2111 1st Ave, Seattle, WA 98121","(47.6119449, -122.344463)",0,0,0,0,0
231,Photographic Center Northwest,(206) 720-7222,10440,"900 12th Ave, Seattle, WA 98122","(47.61056225, -122.3163719)",0,0,0,0,0
232,Platform Gallery in Tashiro Kaplan,(206) 323-2808,,"114 3rd Ave S, Seattle, WA 98104","(47.601161, -122.3300592)",0,0,0,0,0
233,Pound Arts,(206) 323-0557,5000,"1216 10th Ave Seattle, WA 98122","(47.6127484, -122.3192097)",0,0,0,0,0
234,Pratt Fine Arts Center,(206) 328-2200,17021,"1902 S Main St Seattle, WA 98144","(47.6002536, -122.2949954)",0,0,0,0,0
235,Push/Pull,,350,,,0,0,0,0,0
236,Q,(206) 352-2525,2500,"3223 15th Ave W, Seattle, WA 98119","(47.64922085, -122.377090399864)",0,0,0,0,0
237,RE Welch Gallery,(206) 264-8141,2000,"1214 1st Ave, Seattle, WA 98101","(47.6065659, -122.3374584)",0,0,0,0,0
238,Reel Grrls,(206) 323-0693,3000,"1409 21st Ave, Seattle, WA 98122","(47.6131504, -122.3051798)",0,0,0,0,0
239,RxsRKives Studio,,2400,,,0,0,0,0,0
240,Seattle ArtREsource (CLOSED),(206) 838-2695,2500,"625 1st Ave #200, Seattle, WA 98104","(47.6024431, -122.3344096)",0,0,0,0,0
241,Steinbrueck Native Gallery,(206) 441-3821,1500,"2030 Western Ave, Seattle, WA 98121","(47.6112287, -122.3444605)",0,0,0,0,0
242,Tasty Gallery,(206) 706-3020,1000,"7513 Greenwood Ave N, Seattle, WA 98103","(47.683737, -122.3555197)",0,0,0,0,0
243,The Legacy Ltd,(206) 624-6350,1250,"1003 1st Ave, Seattle, WA 98104","(47.6048267, -122.336745)",0,0,0,0,0
244,Traver Gallery,(206) 587-6501,5000,"110 Union St #200, Seattle, WA 98101","(47.6080964, -122.3388114)",0,0,0,0,0
245,True Love Art Gallery,(206) 227-3572,1500,"1525 Summit Ave, Seattle, WA 98122","(47.6149584, -122.3257242)",0,0,0,0,0
246,Twilight Artist Collective,(206) 933-2444,1100,"306 SW Alaska St, Seattle, WA 98116","(47.5610855, -122.3854525)",0,0,0,0,0
247,Vermillion Gallery,(206) 709-9797,2100,"1508 11th Ave, Seattle, WA 98122","(47.6144145, -122.3179029)",0,0,0,0,0
248,Vetri Glass Gallery,(206) 667-9608,1500,"1404 1st Ave, Seattle, WA 98101","(47.6081315, -122.3390359)",0,0,0,0,0
249,Wing Luke Museum,(206) 623-5124,58000,"719 S King St, Seattle, WA 98104","(47.598586, -122.3229832)",0,0,0,0,0
250,Woodside/Braseth Gallery,(206) 622-7243,4200,"2101 9th Ave, Seattle, WA 98121","(47.6171641, -122.3374413)",0,0,0,0,0
251,Davidson Galleries,(206) 624-7684,4134,"313 Occidental Ave S, Seattle, WA 98104","(47.5995312, -122.3331168)",0,0,0,0,0
252,Greg Kucera Gallery,(206) 624-0770,8000,"212 3rd Ave S, Seattle, WA 98104","(47.6004217, -122.3298023)",0,0,0,0,0
253,Henry Art Museum,(206) 543-2280,40000,"15th Ave NE, Seattle, WA 98105","(47.6539065, -122.3121096)",0,0,0,0,0
254,Prographica Gallery,(206) 322-3851,1200,"3419 E Denny Way, Seattle, WA 98122","(47.6182086, -122.28800585)",0,0,0,0,0
255,Roq La Rue Gallery,(206) 374-8977,1850,"532 1st Ave S., Seattle, WA 98104","(47.5974306, -122.3339422)",0,0,0,0,0
256,Seattle Art Museum Olympic Sculture Park,(206) 654-3100,392040,"2901 Western Ave, Seattle, WA 98121","(47.6163466, -122.3538499)",0,0,0,0,0
257,Winston Wachter Fine Art,(206) 652-5855,4500,"203 Dexter Ave N Seattle, WA 98109","(47.61989555, -122.34276255)",0,0,0,0,0
258,Adefua Cultural Exchange Workshop,(206) 722-6602,500,"6716 Rainier Ave S, Seattle, WA 98118","(47.5420331, -122.272057)",0,0,0,0,0
259,Museum of Flight,(206) 764-5720,375000,"9404 East Marginal Way S Seattle, WA 98108","(47.51842745, -122.2976981)",0,0,0,0,0
260,Friends of KEXP,(206) 520-5800,6288,"113 Dexter Ave North Seattle, WA 98109","(47.61908755, -122.3428109)",0,0,0,0,0
261,Broadway Bound Children's Theatre,(206) 526-5437,10000,"5031 University Way NE, Seattle, WA 98105","(47.6656768, -122.3136491)",0,0,0,0,0
262,Pipsqueak,,700,"173 16th Ave Seattle, WA 98122","(47.6034343, -122.3115241)",0,0,0,0,0
263,Sundance Cinemas LLC-Sundance Seattle,(206) 633-0059,12500,"4500 9th Ave NE, Seattle, WA 98105","(47.6617428, -122.3180727)",0,0,0,0,0
264,Jeffrey Moose Gallery,(206) 467-6951,2400,"1333 5th Ave # 2, Seattle, WA 98101","(47.6091917, -122.3345412)",0,0,0,0,0
265,Langston Hughes Performing Arts Institute,(206) 684-4757,30001,"104 17th Ave S, Seattle, WA 98144","(47.60129695, -122.309825143135)",0,0,0,0,0
266,Museum of History and Industry (MOHAI),(206) 324-1126,52000,"860 Terry Ave N, Seattle, WA 98109","(47.6275898, -122.3369252)",0,0,0,0,0
267,Seattle Youth Symphony,(206) 362-2300,2500,"11065 5th Ave NE, Suite A, Seattle, WA, 98125","(47.71056035, -122.323652351264)",0,0,0,0,0
268,Longhouse Media,(206) 387-2468,800,"1515 12th Ave, Seattle, WA 98122","(47.614429, -122.317253)",0,0,0,0,0
269,911 Media Arts Center,,,"909 NE 43rd St #206, Seattle, WA 98105","(47.6593651, -122.3180274)",0,0,0,0,0
270,Admiral Theatre,,,"2343 California Ave SW, Seattle, WA 98116","(47.5819689, -122.3869421)",0,0,0,0,0
271,Cornish College of the Arts-Beebe Building,,,"2014 9th Ave Seattle, WA 98121","(47.6167931, -122.3361846)",0,0,0,0,0
272,Flatcolor Gallery,,,"77 S. Main St. Seattle, WA 98104","(47.5999356, -122.3353103)",0,0,0,0,0
273,Bryan Ohno Gallery,,,"521 S Main St, Seattle, WA 98104","(47.5999167, -122.3267574)",0,0,0,0,0
274,Cornish College of the Arts- Main,,,"1000 Lenora St Seattle, WA 98121","(47.617963, -122.336148)",0,0,0,0,0
275,Artforte Gallery,,,"307 Occidental Ave S, Seattle, WA 98104","(47.5998538, -122.3331316)",0,0,0,0,0
276,Cornish College of the Arts-Kerry Hall/Poncho Hall,,,"710 E Roy St Seattle, WA 98102","(47.6253347, -122.323067208535)",0,0,0,0,0
277,Cornish College of the Arts- Notion,,,"1001 Lenora St Seattle, WA 98121","(47.6178924, -122.3357243)",0,0,0,0,0
278,Cornish College of the Arts- Raisbeck Performance Hall,,,"2015 Boren Ave Seattle, WA 98121","(47.6178573, -122.3348113)",0,0,0,0,0
279,East West Bookshop,,,"6500 Roosevelt Way NE, Seattle, WA 98115","(47.6760768, -122.3170608)",0,0,0,0,0
280,Bad Animals,,,"2212 4th Ave, Seattle, WA 98121","(47.6151383, -122.342923)",0,0,0,0,0
281,Barnes & Noble- Westwood Village,,,"2600 SW Barton St Suite E-1
Seattle, WA 98126","(47.5220383, -122.3665674)",0,0,0,0,0
282,Cornish College of the Arts- Annex,,,"1020 Virginia St, Seattle, WA 98101","(47.61760085, -122.334562447382)",0,0,0,0,0
283,Edge of Glass Gallery,,,"513 N 36th St # H, Seattle, WA 98103","(47.6513564, -122.3515985)",0,0,0,0,0
284,Elliott Bay Recording Inc,,,"932 12th Ave, Seattle, WA 98122","(47.6113827, -122.3164132)",0,0,0,0,0
285,Azuma Gallery,,," 530 1st Ave South Seattle, WA 98104 ","(47.5975149, -122.3339613)",0,0,0,0,0
286,Blue Moon Tavern,,,"712 NE 45th St, Seattle, WA 98105","(47.6614953, -122.3199004)",0,0,0,0,0
287,Cornish College of the Arts-Commons,,,"2002 9th Ave Seattle, WA 98101","(47.6166738, -122.335888)",0,0,0,0,0
288,Degenerate Art Ensemble,,,"210 NW Bowdoin Pl Seattle, WA 98107 ","(47.6550814, -122.3596788)",0,0,0,0,0
289,Eclectic Theater Company,(206) 679-3271,900,"1214 10th Ave, Seattle, WA 98122","(47.6126561, -122.3191571)",0,0,0,0,0
290,Flury and Company,,,"322 1st Ave S, Seattle, WA 98104","(47.5993435, -122.3339158)",0,0,0,0,0
291,Baltic Room,,,"1207 Pine St Seattle, WA 98101","(47.6149287, -122.3282665)",0,0,0,0,0
292,Bemis Building,,,"55 South Atlantic St Seattle, WA 98134","(47.5900022, -122.3362466)",0,0,0,0,0
293,Blindfold Gallery (CLOSED),,,"1718 E Olive Way, Seattle, WA 98102","(47.6200267, -122.3227112)",0,0,0,0,0
294,Electrokitty Recordings,,,"4415 Densmore Ave N, Seattle, WA 98103","(47.66083775, -122.33768375)",0,0,0,0,0
295,Flamenco Gitana,,,"9250 14th Ave NW, Seattle, WA 98117","(47.6973909, -122.3736435)",0,0,0,0,0
296,George Center for Community,(206) 362-3325,10000,"2212 NE 125th St Seattle, WA 98125 ","(47.7199293, -122.305032754194)",0,0,0,0,0
297,Barnes & Noble- Downtown,,,"600 Pine St Suite 107 Seattle, WA 98101","(47.61287415, -122.33527622923)",0,0,0,0,0
298,Barsuk Records,,,"217 W. Galer St, Seattle, WA 98119
","(47.6321308, -122.3599365)",0,0,0,0,0
299,Cornish College of the Arts-Centennial Lab,,,"1000 Virginia St Seattle, WA 98101","(47.6174134, -122.3349055)",0,0,0,0,0
300,Egan's Ballard Jam House,,,"1707 NW Market St, Seattle, WA 98107","(47.6685294, -122.3793357)",0,0,0,0,0
301,Francine Seders Gallery (CLOSED),,,"6701 Greenwood Ave N, Seattle, WA 98103","(47.6779185, -122.355635239838)",0,0,0,0,0
302,Barnes & Noble-Northgate,,,"401 NE Northgate Way #1100 Seattle, WA 98125","(47.7083148, -122.328176856378)",0,0,0,0,0
303,Chihuly Garden and Glass ,,,"305 Harrison St, Seattle, WA 98109","(47.62056855, -122.35049095)",0,0,0,0,0
304,Electric Coffin Studio,,,"2629 NW Market St Seattle, WA 98107

","(47.6685814444444, -122.390720141414)",0,0,0,0,0
305,Gallery 1412,,,"1412 18th Ave, Seattle, WA 98122","(47.6133227, -122.3086811)",0,0,0,0,0
306,Central District Forum for Arts & Ideas,,,"1404 E Yesler Way #202, Seattle, WA 98122","(47.6019002, -122.3137703)",0,0,0,0,0
307,De Cajon Project,,,,,0,0,0,0,0
308,Easy Street Records,,,"4559 California Ave SW, Seattle, WA 98116","(47.5614664, -122.3870841)",0,0,0,0,0
309,Fremont Studios,,,"155 N 35th St, Seattle, WA 98103","(47.6514144, -122.3555957)",0,0,0,0,0
310,Hanson Scott Gallery,,,"121 Prefontaine Pl S, Seattle, WA 98104","(47.6011373, -122.3295897)",0,0,0,0,0
311,High Dive,,,"513 N 36th St, Seattle, WA 98103","(47.6513564, -122.3515985)",0,0,0,0,0
312,Harvard Exit Theatre (CLOSED),,,"807 E Roy St, Seattle, WA 98102","(47.6250082, -122.3215822)",0,0,0,0,0
313,Patrician Cameron Gallery (CLOSED),,,"234 Dexter Ave N, Seattle, WA 98109","(47.6207093, -122.3420916)",0,0,0,0,0
314,Pink Door,,,"1919 Post Alley, Seattle, WA 98101","(47.6102805, -122.3424974)",0,0,0,0,0
315,Re-bar,,,"1114 Howell St, Seattle, WA 98101","(47.6167076, -122.3310756)",0,0,0,0,0
316,Seattle Academy of Arts and Sciences,,,"1201 E Union St, Seattle, WA 98122","(47.6127129, -122.3163494)",0,0,0,0,0
317,M. Rosetta Hunter Art Gallery - Seattle Central Community College,,,"1701 Broadway Seattle, WA 98122

","(47.6169084, -122.321152)",0,0,0,0,0
318,Seattle Grip & Lighting,,,"1050 W Nickerson St, Seattle, WA 98119","(47.6547393, -122.3709909)",0,0,0,0,0
319,Union Cultural Center,,,"803 South King St, Seattle, WA, 98104","(47.5982213, -122.322122)",0,0,0,0,0
320,"HeART, the Gallery",,,"570 1st Ave S Seattle, WA 98104","(47.5963028, -122.3338311)",0,0,0,0,0
321,Laundry Room Studio,,,,,0,0,0,0,0
322,Planet Afua,,,"6716 Rainier Ave S Seattle, WA 98118","(47.5420331, -122.272057018355)",0,0,0,0,0
323,Howard House,,,"604 2nd Ave Seattle, WA 98104","(47.602619, -122.3323144)",0,0,0,0,0
324,Nagomi Tea House,,,"519 6th Ave S #200, Seattle, WA 98104","(47.5977324, -122.326797)",0,0,0,0,0
325,Sub Pop Records,,,"2013 4th Ave, Third Floor Seattle, WA, 98121","(47.6132461, -122.3409939)",0,0,0,0,0
326,Rain City Rock Camp for Girls,(206) 659-5471 ,1200,"300 19th Ave Seattle, WA 98122","(47.6044443, -122.3074673)",0,0,0,0,0
327,Landmark Seven Gables Theatre,,,"911 NE 50th St, Seattle, WA 98105","(47.6647555, -122.3177085)",0,0,0,0,0
328,LUCID Lounge,(206) 402-3042,1100,"5241 University Way NE, Seattle, WA 98105","(47.6676256, -122.3132962)",0,0,0,0,0
329,Master Works,,,"2264 15th Ave W, Seattle, WA 98119","(47.64052875, -122.375825442886)",0,0,0,0,0
330,MLK Community Center-Ewajo Dance Center and F.A.M.E.,,,"3201 E Republican St Seattle, WA 98112","(47.6230082, -122.290754782837)",0,0,0,0,0
331,Jupiter Studios,,,"4000 Wallingford Ave North, Seattle, WA 98103","(47.6558318, -122.3360715)",0,0,0,0,0
332,Kirsten Gallery,,,"5320 Roosevelt Way NE, Seattle, WA 98105","(47.6677253, -122.3170573)",0,0,0,0,0
333,Landmark Varsity Theatre,,,"4329 University Way NE, Seattle, WA 98105","(47.6607139, -122.3135097)",0,0,0,0,0
334,AMC Pacific Place 11,,,"600 Pine St #400, Seattle, WA 98101","(47.61287415, -122.33527622923)",0,0,0,0,0
335,Seattle Scenic Studios,,,"2105 S Grand St, Seattle, WA 98144","(47.5868280816327, -122.304490795918)",0,0,0,0,0
336,Slim's Last Chance,,,"5606 1st Ave S, Seattle, WA 98108","(47.5524847, -122.3339033)",0,0,0,0,0
337,WaMu Theater,,,"1000 Occidental Ave S, Seattle, WA 98134","(47.593601, -122.3334874)",0,0,0,0,0
338,Landmark Guild 45th,,,"2115 N 45th St, Seattle, WA 98103","(47.66112015, -122.333012781095)",0,0,0,0,0
339,Lo-Fi Performance Gallery,,,"429 Eastlake Ave E, Seattle, WA 98109","(47.6229209, -122.3293344)",0,0,0,0,0
340,Makerhaus,,,"122 NW 36th St, Seattle, WA 98107","(47.6534516, -122.3585927)",0,0,0,0,0
341,Regal Meridian 16,,,"1501 7th Ave, Seattle, WA 98101","(47.6117662, -122.3338683)",0,0,0,0,0
342,Paragon,,,"2125 Queen Anne Ave N, Seattle, WA 98109","(47.6378686, -122.3571792)",0,0,0,0,0
343,Pilchuck Glass School Office (CLOSED/MOVED),,,"430 Yale Ave N, Seattle, WA 98109","(47.6228012, -122.3302142)",0,0,0,0,0
344,Southeast Seattle Community Youth Orchestra ,,,,,0,0,0,0,0
345,Seattle Arts & Lectures,,,"205 S. Findlay St, Seattle, WA 98108","(47.5524608, -122.3317069)",0,0,0,0,0
346,Seattle Film Institute,(206) 568-4387,10000,"3210 16th Ave W, Seattle, WA 98119","(47.64891855, -122.377125306065)",0,0,0,0,0
347,Stage One Theatre- North Seattle Community College,(206) 934-3708,,"9600 College Way N, Seattle, WA","(47.7030576, -122.3337619)",0,0,0,0,0
348,Washington State Arts Alliance,,,"1204 Minor Ave, Seattle, WA 98101","(47.6115947, -122.3252001)",0,0,0,0,0
349,Nu Black Arts West Theatre ,(206) 329-3328,,"843 Hiawatha Pl. S, Suite #305 Seattle, WA 98144","(47.594673, -122.309662)",0,0,0,0,0
350,Seattle Teaching Artist Network,,,,,0,0,0,0,0
351,Left Bank Books,,,"92 Pike St, Seattle, WA 98101","(47.6088801, -122.3403995)",0,0,0,0,0
352,Ostara Group,,,"7025 1st Ave NW, Seattle, WA 98117","(47.6803384, -122.357711445954)",0,0,0,0,0
353,"Seattle Pacific University McKinley Hall-Kreider Art Gallery, E.E. Bach Theater",,,"3307 3rd Ave West Seattle, WA 98119","(47.6489942, -122.361702734008)",0,0,0,0,0
354,Sisko Gallery,,,"3126 Elliot Ave, Seattle, WA 98121","(47.6183638, -122.3572268)",0,0,0,0,0
355,New West Edition,,,"5142 47th Ave NE, Seattle, WA 98105","(47.6672369, -122.277049808201)",0,0,0,0,0
356,AMC Loews Oak Tree 6,,,"10006 Aurora Ave N, Seattle, WA 98133","(47.7018421, -122.342497931292)",0,0,0,0,0
357,Little Red Hen,,,"7115 Woodlawn Ave NE, Seattle, WA 98115","(47.6802289, -122.3248831)",0,0,0,0,0
358,National Film Festival for Talented Youth (NFFTY),,,"1319 Dexter Ave N, Seattle, WA 98109","(47.63115945, -122.342684249265)",0,0,0,0,0
359,Rare Medium,,,"1321 E Pine St, Seattle, WA 98122","(47.6151142, -122.3145155)",0,0,0,0,0
360,Sanctuary Art Center,(206) 522-6256,2500,"1604 NE 50th St, Seattle, WA 98105","(47.6652885, -122.310437725362)",0,0,0,0,0
361,Seattle Aquarium,,,"1483 Alaskan Way, Seattle, WA 98101","(47.6017992, -122.3366083)",0,0,0,0,0
362,Seattle Fandango Project in El Centro De La Raza,,,"2524 16th Ave S, Seattle, WA 98144","(47.5803398, -122.311297826237)",0,0,0,0,0
363,Tin Hat,,,"512 NW 65th St, Seattle, WA 98117","(47.6760806, -122.3629711)",0,0,0,0,0
364,Wilder Sound Studios,,,"3429 Airport Way S, Seattle, WA 98134","(47.5728531, -122.3231882)",0,0,0,0,0
365,Seward Park Clay Studio,,,"5900 Lake Washington Blvd S, Seattle, WA 98118","(47.5494855, -122.2518888)",0,0,0,0,0
366,501 Commons,,,"510 2nd Ave W Seattle, WA 98119","(47.6236732, -122.3590953)",0,0,0,0,0
367,Heartland (CLOSED),,,"5306 Roosevelt Way NE Seattle, WA 98105","(47.66739015, -122.317098438068)",0,0,0,0,0
368,New Orleans Creole Restaurant + Jazz Music (CLOSED),,,"114 First Ave S, Seattle, WA 98104","(47.5965162, -122.3341906)",0,0,0,0,0
369,Northwest Tap Connection,,,"8732 Rainier Ave S, Seattle, WA 98118","(47.5243382, -122.2695039)",0,0,0,0,0
370,Stonington Gallery,,,"125 S Jackson St, Seattle, WA 98104","(47.5989184, -122.3331591)",0,0,0,0,0
371,Cleopatra Park Audio Recording,,,,,0,0,0,0,0
372,Urban Wilderness Project,,,,,0,0,0,0,0
373,Hengda Dance Academy,(206) 287-9998,1100,"815 S Weller St, Seattle, WA 98104","(47.5972693, -122.321963)",0,0,0,0,0
374,Gansango Music & Dance,(206) 417-4679,286,"1243 NE 130th St, Seattle, WA 98125","(47.72280815, -122.313489200866)",0,0,0,0,0
375,BallardWorks LLC,(206) 784-9987 ,14000,"2856 NW Market St Seattle, WA 98107","(47.6688915, -122.3954081)",0,0,0,0,0
376,Highland Park Improvement Club,(206) 762-9825,3000,"1116 SW Holden St, Seattle, WA 98106","(47.5342216, -122.3500717)",0,0,0,0,0
377,Ballard Alki Lodge IOOF-Ballard-Alki Lodge #170,(206) 782-9646,2251,"1706 NW Market St, Seattle, WA 98107","(47.6689407, -122.3793225)",0,0,0,0,0
378,Cafe Racer Espresso,(206) 523-5282,2000,"5828 Roosevelt Way NE, Seattle, WA 98105","(47.67146895, -122.317125440109)",0,0,0,0,0
379,Egyptian Theater,,,"805 East Pine St Seattle, WA 98122","(47.6149531, -122.3217473)",0,0,0,0,0
380,Cassandria Blackmore Studio,,,"1115 East Pike St Seattle, WA 98122","(47.6139358, -122.3174302)",0,0,0,0,0
381,Arthur Murray Dance Studio,,,"130 Western Ave W Seattle, WA 98119","(47.6194127, -122.3583566)",0,0,0,0,0
382,Meter Music School,(206) 355-6088,1500,"2110 E Union St Seattle, WA 98122 ","(47.613136, -122.304382)",0,0,0,0,0
383,The Northwest School,,,"1415 Summit Ave, Seattle, WA 98122","(47.6133929, -122.3259406)",0,0,0,0,0
384,Fucko Alley Gallery,,400,"Alley of 10525 Ashworth Ave N Seattle, WA 98133","(47.7060528, -122.3397162)",0,0,0,0,0
385,Highway 99 Blues Club,(206) 382-2171,6000,"1414 Alaskan Way, Seattle, WA 98101","(47.6017992, -122.3366083)",0,0,0,0,0
386,South Seattle Community College Little Theatre,,,"6000 16th Ave. SW, Seattle, WA 98106","(47.5510384, -122.35186429201)",0,0,0,0,0
387,Windows Art Gallery,(206) 632-7332,800,"4131 Woodland Park Ave N, Seattle, WA 98103","(47.6575835, -122.344895)",0,0,0,0,0
388,Ballard Rock Rooms/Birds Nest,(206) 369-7588,8800,"632 NW 46th St Seattle, WA 98107","(47.6624817, -122.3655177)",0,0,0,0,0
389,Superior Audio Service,(206) 369-7588,18000,"645 NW 45th St Seattle, WA 98107","(47.6612543, -122.3656412)",0,0,0,0,0
390,Phinney Neighborhood Association,(206) 783-2244,40656,"6532 Phinney Ave N, Seattle, WA 98103","(47.677133, -122.3539896)",0,0,0,0,0
391,Urban Artworks in Inscape,(206) 292-4142,,"815 Seattle Blvd S, B7, Seattle, WA 98134","(47.59511695, -122.3270859)",0,0,0,0,0
392,Ltd. Art Gallery (CLOSED),(206) 457-2970,1100,"307 E Pike St, Seattle, WA 98122","(47.6138928, -122.3271174)",0,0,0,0,0
393,Patricia Rovzar Gallery ,(206) 223-0273,2470,"1225 2nd Ave, Seattle, WA 98101","(47.6069251, -122.3372059)",0,0,0,0,0
394,Versatile Arts,(866) 887-5256,3000,"7601 Greenwood Ave N, Suite 103, Seattle, WA 98103","(47.6841406, -122.3555094)",0,0,0,0,0
395,Georgetown Arts and Cultural Center,(206) 851-1538,2500,"5809 Airport Way S, Seattle, WA 98108","(47.5504345, -122.3182596)",0,0,0,0,0
396,City Hall Lobby Gallery & Anne Focke Gallery,,,"600 4th Ave Seattle, WA 98104","(47.6038849, -122.3300938)",0,0,0,0,0
397,Ethnic Heritage Art Gallery at Seattle Municipal Tower,(206) 684-7171,,"700 5th Ave Seattle, WA 98104 ","(47.60501625, -122.3295729)",0,0,0,0,0
398,Capitol Club (CLOSED),,,"414 E Pine St Seattle, WA 98122","(47.6153941, -122.3260485)",0,0,0,0,0
399,Electric Tea Garden (CLOSED),,,"1402 E Pike St Seattle, WA 98122","(47.6143, -122.3139168)",0,0,0,0,0
