number,address,description 
1032479,2038 NE 103RD ST,Per 9/9/14 inspection outdoor unit has been removed. Site in compliance.
1032478,1011 BELMONT AVE E,STFI building permit 6427499 issued 7/16/14.
1032477,4101 22ND AVE SW,Constructing/repairing retaining walls and grading in a Potential Slide ECA on private property & in the adjacent unimproved SW Dakota St R-O-W requires permits & inspections from DPD and SDOT.
1032476,2218 11TH AVE W,Permit 6430808 approved 8/09/14 is required revision to permit 6391143.
1032475,7417 9TH AVE NE,Vegetation encroaching sidewalk (hazard) 6/6/14 sr.
1032474,524 N 103RD ST,07/18/14 Observed an inoperable vehicle parked in the driveway of duplex
1032473,4201 26TH AVE W,Weeds and Vegetation Ordinance Violation - Hazardous vegetation impeding right of way.
1032472,710 LAKESIDE AVE S,Violation of the Just Cause Ordinance - SMC 22.206.160(C)
1032471,8440 47TH AVE S,VIOLATION OF THE HBMC STANDARDS-EO (NO WATER)
1032470,3629 15TH AVE S,VIOLATION OF THE LAND USE CODE-PARKING
1032469,3629 15TH AVE S,VIOLATION OF THE LAND USE CODE-INOPERABLE VEHICLES
1032468,1116 NW 62ND ST,07/10/14 Vacant building violations
1032467,914 N 76TH ST,07/10/14 Vacant building violations
1032466,3901 14TH AVE S,VIOLATION OF THE WEEDS AND VEGETATION ORDINANCE
1032465,120 24TH AVE E,07/17/14 Vacant building violations
1032464,3302 S BRANDON ST,Carport in back (east) yard & approx. 144 sq.ft. shed in req'd front (west) yard built without permits have been removed. Permit 6199968 = 34.2% lot coverage (58 sq.ft. of add'l lot coverage allowed).
1032463,3918 S HUDSON ST,07/17/14 Vacant building violations
1032462,1563 S DAWSON ST,Installing 2000 sq.ft. or more of new plus replaced impervious surface requires a permit and inspections from DPD.
1032461,601 27TH AVE E,07/17/14 Vacant building violations
1032460,532 22ND AVE,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032459,4443 S EDDY ST,07/17/14 Vacant building violations
1032458,123 NW 77TH ST,Site is being monitored by geotechnical engineer.
1032457,2002 S BRANDON ST,07/17/14 Vacant building violations
1032456,3534 S HOLDEN ST,07/17/14 Vacant building violations
1032455,6661 FLORA AVE S,07/17/14 Vacant building violations
1032454,5440 34TH AVE SW,Constructing a 2-story addition to a Single Family Residence requires a permit and inspections from DPD.
1032453,2832 14TH AVE W,"Permit 6173424 establishes 8th unit, Electrical work performed under 6445667."
1032452,1415 19TH AVE,Application for a Tenant Relocation License.  Total Units: 2; Total units occupied: 2.  Demolition.
1032451,9246 21ST AVE SW,Violation of Land use- The outdoor junk storage
1032450,418 E LORETTA PL,Violation of the Just Cause Ordinance - SMC 22.206.160(C).
1032449,4011 23RD AVE SW,Violation of Land Use- Parking in the required front yard and outdoor junk storage
1032448,2317 E ALDER ST,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032447,6759 11TH AVE NW,Application for a Tenant Relocation License.  Total Units: 1; Total Units occupied: 1.  Demolition.
1032446,4471 WHITMAN AVE N,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.
1032445,3233 SW AVALON WAY,Permit 6435270 rec'd final approval 4/20/15 for a wood structure in parking spaces 17 & 18 in lower level parking garage for work originally performed without a permit & inspections.
1032444,8702 PHINNEY AVE N,07/14/14 Observed vegetation hanging into street r-o-w
1032443,8311 37TH AVE S,Violation of Housing and Building Maintenance
1032442,710 N 68TH ST,Bldg Permit 6428164 issued 7/21/14 & Electrical permit 6433142 issued 8/21/14..
1032441,2501 THORNDYKE AVE W,Building permit for interior alterations to some units; 6428824 issued 7/24/14. Bldg permit for replacing handrails 6428532 issued 7/23/14. Bldg permit to construct carport enclosure 6427491 issued 7/17/14. Electrical permits for unit 202 6427057 & unit 204 6427034 issued 7/14/14.
1032440,750 N 98TH ST,07/14/14 Observed from alley way junk debris under open carport area along with inoperable motorcycle.
1032439,13416 27TH AVE NE,Permit 6428339 issued 7/22/14 & finaled 8/5/14.
1032438,225 NW 115TH ST,07/14/14 Observed vegetationhangin into street r-o-w
1032437,7023 16TH AVE SW,LU violations:  ADU
1032436,9702 LINDEN AVE N,07/14/14 Observed vegetation hanging into sidewalk r-o-w
1032435,9538 1ST AVE NE,Unsafe portion of sign has been remowed as of 7/17/14.
1032433,1750 NW 61ST ST,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 2.  Demolition.
1032432,9118 LINDEN AVE N,07/14/14 Observed the vegetation hanging in sidewalk r-o-w
1032431,12038 31ST AVE NE,Housing and Bldg Maintenance Code Violation
1032430,11038 LAKE CITY WAY NE,Application for Tenant Relocation assistsnce  - Opened in errror.
1032429,11038 LAKE CITY WAY NE,Violation of the Just Cause Ordinance - 22.206.160(C)
1032428,13506 27TH AVE NE,Violation of the Just Cause Ordinance - 22.206.160(C)
1032427,10236 39TH AVE SW,Permit 6428422 was issued 7/22/14 and received final approval 8/28/14 for rebuilding a detached garage without a permit and inspections.
1032426,11315 35TH AVE NE,Violation of the Just Cause Ordiance - 22.206.160(C)
1032425,4120 BROOKLYN AVE NE,Case created in error.
1032424,2806 SW YANCY ST,Violation of Weeds & Vegetation Ord-
1032423,1222 S WELLER ST,Land Use Code Violation - community garden use without permit
1032422,422 11TH AVE E,Violation of the Just Cause Ordinance - 22.206.160(C)
1032421,12319 32ND AVE NE,Housing and Bldg Maintenance Code Violation
1032420,1805 25TH AVE,Light and glare violation.
1032419,8603 21ST AVE NW,07/14/14 Observed the rv parkedwithin the side yard setback required area.
1032418,2518 6TH AVE N,Weeds and vegetation violation. Vegetation covering the entire sidewalk
1032417,4120 22ND AVE SW,Permit 6435089 received final approval 5/27/15 to correct work originally performed without a permit & inspections to meet zoning regulations.
1032416,444 26TH AVE E,"Building retaining wall in ECA area, designated steep slope, requires permits & inspections. Application #6434753 accepted 4/24/15."
1032415,448 26TH AVE E,"Building retaining wall in ECA area, designated steep slope, requires permits & inspections. Proj# 6437870 sumbitted 4/20/15."
1032414,5652 18TH AVE SW,Violation of Weeds & Vegetation Ord-
1032413,126 NW BOWDOIN PL,Revegetation plan approved under AP# 6429547 & planting completed.
1032412,305 BLAINE ST,Permission to enter complainant yard granted (303 Blaine St). Trash that is on basement stair-well is visible from complaint's yard by standing near her lilac bush.
1032411,916 N 46TH ST,Weeds and vegetation code violation. Low hanging vegetation over side walk.
1032410,2101 4TH AVE,V-COMP
1032409,5653 17TH AVE SW,Violation of Weeds & Vegetation Ord-
1032408,3001 S ANGELINE ST,Outdoor junk storage and a structure in the front yard.
1032407,700 5TH AVE,Case 1032407 created in error
1032406,3507 S AUSTIN ST,Parking a car in the front yard and outdoor storage.
1032405,10255 RAINIER AVE S,Vegetation growing over the sidewalk.
1032404,11442 CORNELL AVE S,Outdoor junk storage in the back yard.
1032403,513 19TH AVE,"12/5/13 ej-Observed outdoor junk storage, more than the allow 3 vehicle parked of the property"
1032402,3601 GREENWOOD AVE N,07/10/14 Observed the property is being demolished. There's debris visible from the r-o-w.
1032401,9716 LINDEN AVE N,07/10/14 Vacant building violations
1032400,9061 SEWARD PARK AVE S,Issuance of an Owner's Certification of Exemption.  Total units:  366;  total units occupied:  366.  Substantial rehabilitation.
1032399,711 N 130TH ST,07/10/14 Observed vegetation blocking vision of the stop sign heading north bound on Fremont Ave N. I have sent vegetation warning.
1032398,1415 E OLIVE ST,Issuance of an Owner's Certification of Exemption.  Total units:  30; total units occupied:  30.  Substantial rehabilitation.
1032397,3046 NE 143RD ST,Violation of the Just Cause Ordiance (SMC 22.206.160(C)).
1032396,12740 GREENWOOD AVE N,07/10/14 Observed mold leaking thru the west wall in the living room.
1032395,12550 17TH AVE NE,07/08/14 Unable to gain access to the property. I will send an inspection request to determine how many chickens and quails are on the property.
1032394,8415 DUNCAN AVE S,Vegetation violation creating a sight triangle safety issue for the neighbor.
1032393,10215 EVANSTON AVE N,07/09/14 Observed over 8 vehicles parked on the property.I will open a case for exceeding the number of vehicles parked on the property which is a duplex. Per code each unit is outright permitted 3 but not combined 8 or more.
1032392,3228 MORSE AVE S,Violation of Land Use- Illegal Use
1032391,2418 E ALOHA ST,NS inspected this property on 7/8/14- Inspection shows a chicken coop located on the required front yard.
1032390,302 12TH AVE E,Weeds and vegetation encroaching into the sidewalk and into the street.
1032389,234 12TH AVE E,Weeds and vegetation encroaching into the sidewalk.
1032388,2545 MAYFAIR AVE N,"Outdoor junk storage including but not limited to tarps, misc. items and a trailer and a boat stored in the required yard."
1032387,510 N 80TH ST,07/07/14 Observed vegetation hanging into sidewalk r-o-w
1032386,5050 M L KING JR WAY S,Outdoor junk storage including ladders and construction materials.
1032385,7536 13TH AVE NW,07/08/14 Observed debris piled on the south side of the house. The detached garage has a brown trap covering the entire front entrance.
1032384,202 26TH AVE E,A structure in the required front yard.
1032383,2853 NW 62ND ST,07/08/14 Research indicated an approved detached ADU and not owner occuppied.
1032382,5917 20TH AVE NW,Application for a Tenant Relocation License.  Total Units: 2; Total units occupied: 1.  Demolition.
1032381,2635 SW HOLDEN ST,Violation of Weeds & Vegetation Ord
1032380,5217 42ND AVE S,Heavy vegetation over the sidewalk.
1032379,4200 S GRAHAM ST,Vegetation over the sidewalk and street.
1032378,2914 S MCCLELLAN ST,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032377,6554 26TH AVE NW,07/08/14 Unable to gain access to determine if there are 3 2 unit apartments. The MLS shows 3 2 unit apartments but our records indicate approval for a non-conforming duplex. I will attempt to gather tenants names and phone numbers in the event this is an illegal triplex.
1032376,8605 53RD AVE S,Vegetation impacting drivers at the corner.
1032375,8015 30TH AVE NW,07/16/13 Vacant building violations
1032374,1810 BOYLSTON AVE,VIOLATION OF THE HBMC STANDARDS-HOUSING
1032373,8352 21ST AVE NW,07/08/14 Vacant building violations
1032372,9715 6TH AVE NW,07/08/14 Vacant building violations
1032371,13044 12TH AVE NW,07/08/14 Vacant building violations
1032370,11741 38TH AVE NE,07/08/14 Vacant building violations
1032369,2145 NW 95TH ST,07/08/14 Observed vegetation hanging into street r-o-w.
1032368,1809 E JOHN ST,Housing violations:
1032367,534 26TH AVE S,VIOLATION OF THE HBMC STANDARDS-HOUSING/LEAK
1032366,2310 E MADISON ST,Violation of the Just Cause Ordinance (SMC 22.206.160(C)).
1032365,227 23RD AVE E,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 2.  Demolition.
1032364,5922 32ND AVE S,VIOLATION OF THE LAND USE CODE-PARKING/JUNK STORAGE
1032363,5267 12TH AVE NE,Application for a Tenant Relocation License.  Total Units: 1; Total units occupied: 1.  Demolition.
1032362,737 N 84TH ST,07/07/14 Observed the shed is place next to the fence. I will need to confirm that thru research to determine how long the shed has been located at it's current location.
1032361,10430 LAKE CITY WAY NE,03/18/14 - Vacant Building violations
1032360,11054 2ND AVE NW,07/03/14 Observed the small animals exceed more than 3 puppies and an adult dog all with chips around their necks. I will sent out a warning citation for too many animals on the property.
1032359,1018 NW 130TH ST,07/07/14 Unable to see rooster but able to hear. I sent a warning citation for maintaining roosters.
1032358,1225 S CONCORD ST,Violation of Land Use- Outdoor junk storage
1032357,2303 14TH AVE S,VIOLATION OF THE WEEDS AND VEGETATION ORDINANCE-R O W OVERGROWTH
1032356,13025 10TH AVE NW,07/07/14 Unable to see rooster but heard him. A warning citation has been sent.
1032355,538 26TH AVE S,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032354,9024 1ST AVE NE,07/03/14 Observed vegetation hanging onto r-o-w
1032353,645 NW 79TH ST,"07/03/14 Observed a suv parked in the driveway, debris piled along side of vehicle, unable to see or gain access to the rear yard. I left me business card in the door."
1032352,2444 SW HOLDEN ST,Violation of Weeds & Vegetation Ord-
1032351,6202 CARLETON AVE S,Violation of Housing and Building Maintenance
1032350,4420 36TH AVE S,VIOLATION OF THE HBMC STANDARDS-HOUSING/INFESTATION
1032349,1225 S ANGELO ST,Permit 6331878 received final approval and a Certificate of Occupancy on 8/19/14.
1032348,2150 N 122ND ST,Land Use Code Violation - signage not to stds for single-family zone
1032347,700 5TH AVE,Case 1032347 created in error
1032346,6702 4TH AVE NW,07/03/14 Observed vegetation hanging in the sidewalk r-o-w
1032345,6344 DELRIDGE WAY SW,"Violation of the Just Cause Ordinance (22.206.160(C)), and the Tenant Relocation Assistance Ordinance (SMC 22.210)."
1032344,2540 56TH AVE SW,Violation of the Just Cause Ordinance (SMC 22.206.160(C)).
1032343,4238 12TH AVE NE,Violation of the Just Cause Ordinance (22.206.160(C)).
1032342,6743 17TH AVE NW,06/27/14 Conted joint inspection with Supervisor Eric Jenkins and notice during inspection next that the duplex did not have the required hand rails for the front and rear porches.
1032341,1308 12TH AVE S,VIOLATION OF THE HBMC STANDARDS-HOUSING-INFESTATION
1032340,6128 S PILGRIM ST,Carport in required side yard has been removed as of 12/18/2014.
1032339,1470 NW 67TH ST,07/01/14 Observe vegetation hanging into sidewalk r-o-w
1032338,9772 61ST AVE S,07/01/14 Vacant building violations
1032337,3901 S ANGEL PL,07/01/14 Vacant building violations
1032336,5730 S UPLAND RD,07/01/14 Vacant building violations
1032335,5405 S LUCILE ST,07/01/14 Vacant building violations
1032334,5601 52ND AVE S,07/01/14 Vacant building violations
1032333,5248 19TH AVE NE,"Land Use code violation - Junk storage & parking in required front yard. 8-11-2014, all original violations have been corrected, but new violations exist."
1032331,5269 RAINIER AVE S,Completed security wall without obtaining a final inspection for Permit 6287425 (Special Inspections final letter never received for Permit 6287425). Permit #6478877 issued 6/11/2015 to complete work under permit #6287425.
1032330,8012 24TH AVE NW,06/30/14 Observed outdoor storage which consisted of metal baking racks and 20' cargo container located in the rear of property.
1032329,11551 39TH AVE NE,Land Use Code Violation - outdoor junk storage
1032328,11551 39TH AVE NE,Housing and Bldg Maintenance Code Violation
1032327,7541 15TH AVE NW,01/25/13 DW HZW CODE VIOLATIONS
1032326,4116 E MADISON ST,07/01/14 Vacant building violations
1032325,2014 E LOUISA ST,07/01/14 Vacant building violations
1032324,7567 LAKE CITY WAY NE,Weeds and Vegetation Ordinance Violation - vegetation encroaching sidewalk & street
1032323,7567 LAKE CITY WAY NE,Land Use Code Violation - outdoor junk storage
1032322,5947 41ST AVE SW,"junk storage, sf zone"
1032321,4110 SW RAYMOND ST,junk storage & parking violations
1032320,916 N 46TH ST,Land Use Code Violation - Junk Storage and parking R.V.in required yard
1032319,2302 15TH AVE S,Violation of Weeds & Vegetation Ord
1032318,4021 57TH AVE SW,veg in roadway resolved
1032317,1715 NW 58TH ST,"Int Insp 2/3/14 DG I went to the site and spoke to the framing foreman. He said he started at 8am, thought that was the weekend start time. He said he has only been on the project 3 days. I told him the hours for construction, gave him my business card with the construction hours on back. Will send a citation to the owner of project."
1032316,1523 18TH AVE,Violation of the Just Cause Ordinance (SMC 22.206.160(C).)
1032315,4331 4TH AVE NW,06/30/14 Observed speed boat parked in front yard setback area.
1032314,339 16TH AVE E,"Int Insp 4/29/14  DG I was on site and spoke to Paul the superintendent. He has a framing crew and they are the ones who are working outside the hours.Rocky is the foreman for the framing crew. I told Rocky and Paul that the next I get a complaint that is true, a $300 citation will be issued. I gave both Paul and Rocky my card, it has the hours for construction."
1032313,1010 NE 80TH ST,Housing and Bldg Maintenance Code Violation
1032312,356 NW 87TH ST,Ramp is allowed in required yard per land use provision under 23.44.014D.9.
1032311,521 32ND AVE S,VIOLATION OF THE HBMC STANDARDS-HOUSING
1032310,2220 THORNDYKE AVE W,"06/26/2014  SRW Land Use Violation- Outdoor Junk Storage consisting of mattress, table, bed linens, cabinet, plastic containers, and misc. household items."
1032309,3832 S LUCILE ST,More than eight chickens on the property.
1032308,3225 60TH AVE SW,06/26/14  Vacant building violations
1032307,2604 NE 82ND ST,06/26/14 Vacant building violations
1032306,524 5TH AVE W,Application for a tenant relocation license.  Total unit: 1; total units occupied: 1.  Substantial rehabilitation.
1032305,14302 30TH AVE NE,06/26/14 Vacant building violations
1032304,9916 59TH AVE S,Vegetation over the sidewalk.
1032303,4519 S HENDERSON ST,Outdoor junk storage in the back and side yards.
1032302,143 NW 85TH ST,Venting exhaust terminations have been changed; work is per 6390984.
1032301,406 S ORCAS ST,09/20/13 Vacant Building violations
1032300,7831 46TH AVE S,Permit 6425492 rec'd final approval 12/5/14 for work originally started without permits & inspections. As of 12/5/14: NO LEGAL BEDROOMS IN BASEMENT.
1032299,9817 31ST AVE SW,"Permit 6425290 received final approval 12/12/14 for work originally performed without a permit & inspections. As of 3/25/15, all required electrical permit inspections have been requested & approved."
1032298,9508 RAINIER AVE S,Vegetation impacting the sidewalk and street.
1032297,11752 19TH AVE NE,06/26/14 Vacant building violations
1032296,138 N 84TH ST,06/26/14 Vacant building violations
1032295,452 12TH AVE,VIOLATION OF THE HBMC STANDARDS-NO HOT WATER/COMMON AREA LIGHTS OFF
1032294,404 NE 50TH ST,Zoning Code Violation - Cars parking in the required front yard.
1032293,3930 NE BELVOIR PL,Re-vegetation plan approved under#6458851 on 2/12/15. Planting complete as of 3/9/15.
1032292,10559 EVANSTON AVE N,Land Use Code Violation - illegal dwelling unit
1032291,10559 EVANSTON AVE N,Housing and Bldg Maintenance Code Violation
1032290,2040 WAVERLY PL N,Permit 6471731 Unit 203 for work begun without permits and inspections.
1032289,3501 14TH AVE S,Violation of the Just Cause Ordinance (SMC 22.206.160(C)).
1032288,7326 38TH AVE NE,Failure to pay emergency relocation assistance pursuant to Seattle Municipal Code Section 22.206.260.
1032287,7326 38TH AVE NE,
1032286,5457 31ST AVE SW,Violation of HBMC- No water service.
1032285,4851 RAINIER AVE S,Permit 6431807 was issued 9/22/14 for work originally started without a permit & inspections and without Landmarks Board approval. This case will remain open until all required inspections have been requested & approved.
1032284,4238 12TH AVE NE,Inspection completed on 6-17-14. Violations of the Housing and Building Maintenance Code where found.
1032283,8217 LINDEN AVE N,Weeds and Vegetation Ordinance Violation
1032282,5022 9TH AVE NE,"6-20-14 Observed HBMC violations, including but not limited to bedroom window not operable and both bedrooms have none lockable windows. DJM"
1032281,2325 12TH AVE S,"Work to unfinished basement in this SFR (including window, vent ports and some fill-in on south side) requires a permit and inspections from DPD."
1032280,414 NE RAVENNA BLVD,6/20/2014 - Observed land use violation. Use for a parking lot not established.
1032279,2427 8TH AVE W,"Land Use Violation - Inoperable vehicle, junk storage consisting of automotive parts, construction material, metal scraps, awning, carport structure in rear yard over 120 sq ft, permit required."
1032278,14337 32ND AVE NE,Housing and Bldg Maintenance Code Violation
1032277,1305 SUNSET AVE SW,Retaining walls on east side of property have been evaluated by a geotechnical engineer and ivy has been cut and removed from tree trunks as recommended.
1032276,2427 8TH AVE W,"06/20/2014 SW Outdoor Junk Storage - inoperable vehicle,metal scraps, construction material,generator, motor, wood,etc."
1032275,935 N 85TH ST,Housing and Bldg Maintenance Code Violation
1032274,4321 4TH AVE NE,"6.20.14: Side sewer repaired required to restore water service to rental property, HBMC EO condition. -GH"
1032273,3259 NW 56TH ST,06/20/14 Violation-curb cut has not been restored per project # 6300058.
1032272,8332 BEACON AVE S,Non-permitted habitable space in the garage.
1032271,4054 34TH AVE SW,Trailer in driveway 8 ft from sidewalk
1032270,4223 NE 110TH ST,Structure that required permit was removed as of 11/3/14 inspection.
1032269,3711 W COMMODORE WAY,Weeds and vegetation violation:vegetation encroaching into the sidewalk and into the street.
1032268,9431 RAINIER AVE S,Land Use Code Violation - use not authorized by permit
1032267,6428 CARLETON AVE S,Violation of Land Use- The parking in the required front yard.
1032266,2704 SW KENYON ST,Violation of Land Use- Outdoor junk storage
1032265,4757 4TH AVE NE,"Landuse violation in the side yard,visile from was observed."
1032264,2847 FRANKLIN AVE E,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 5.  Demolition.
1032263,1057 S DONOVAN ST,Violation of Weeds & Vegetation Ord
1032262,5720 S COOPER ST,06/11/14 Vacant building violations
1032261,9837 RAINIER AVE S,Permit 6430026 was issued on 9/24/15 for work originally started without a permit and inspections. This case will remain open until all required inspections have been requested and approved.
1032260,4303 8TH AVE NE,Vegatation has overgrown both side walks and needs to be trimmed and cut back to clear the public way. djm 6-19-14.
1032259,10502 LAKE CITY WAY NE,"06/17/14 Vacant building violations - occupied RV and vehicles, junk"
1032258,736 BELLEVUE PL E,Application for a Tenant Relocation License.  Total Units: 6; Total Units Occupied: 4.  Demolition.
1032257,8842 NESBIT AVE N,06/17/14 Vacant building violations
1032256,9835 57TH AVE S,Outdoor junk storage in the front and side yards.
1032255,14006 ASHWORTH AVE N,06/17/14 Vacant building violations
1032254,10621 56TH AVE S,Outdoor junk storage and possibly an inoperable vehicle.
1032253,7935 50TH AVE S,vegetation over the sidewalk.
1032252,7710 48TH AVE S,Paint cans in the planting strip.
1032251,4916 48TH AVE S,Two inoperable cars in the driveway.
1032250,3009 SW MYRTLE ST,junk storage
1032249,4630 42ND AVE S,A laurel hedge over the sidewalk.
1032248,2021 1ST AVE,VIOLATION OF THE HBMC STANDARDS-HOUSING
1032247,1407 NW 54TH ST,06/09/14 Observed two vwhicles parked in the required yards and one appeared to be inoperable or was being worked on. A pile of wood pallets in the front yard as well. Since the grandson Holton Miller is responsible for this violation. I will prepare a citation to him. He keeps on violating SMC.
1032246,6105 ROOSEVELT WAY NE,Application for a Tenant Relocation License.  Total units: 1; Total Units Occupied: 1. Demolition.
1032245,803 32ND AVE S,Revegetation plan 6436172 approved by the Department of Planning & Development.
1032244,1534 32ND AVE S,Removing all of the trees and vegetation from a Steep Slope and Potential Slide ECA requires a replanting plan and replanting.
1032243,2561 MAGNOLIA BLVD W,Work to proceed under Permit 6424019 issued 6/23/14.
1032242,2529 S WILLOW ST,As of 9/25/14 all accessory structures originally built without a permit have been removed and as of 2/27/15 the detached garage has been returned to garage use.
1032241,320 HARVARD AVE E,06/17/14 Vacant building violations
1032240,1411 E ALDER ST,06/17/14 Vacant building violations
1032239,8022 FAUNTLEROY WAY SW,Constructing a dormer on a Single Family Residence requires a permit & inspections from DPD. Fire in April 2015 destroyed dormer and much of second story.
1032238,211 NE 45TH ST,A use permit is required to have Mobile Food Trailer (Pinky's Kitchen) onsite continuously and permits & inspections are required for roof structure built as an assessory to the mobile food trailer.
1032237,1407 E ALDER ST,06/17/14 Vacant building violations
1032236,3214 S DEARBORN ST,Permit 6423521 was issued 6/19/14 for work originally performed without a permit. Owner has been notified violation exists until final approval has been granted for Permit 6423521.
1032235,218 15TH AVE,06/17/14 Vacant building violations
1032234,1116 33RD AVE S,"Constructing a deck in a required yard requires zoning approval and, if allowed, a permit & inspections OR removal. See related Cases 1030076 & 1022895."
1032233,5100 26TH AVE NE,Vegetation from private property overhanging and encroaching on the sidewalk. DonM 6-4-14.
1032232,5404 NE 65TH ST,5.13.14: Water intrusion in crawlspace. -GH
1032231,426 25TH AVE E,Permit 6423196 issued 6/17/14 resolves case.
1032230,1225 S CONCORD ST,"Constructing additions on the south side of a SFR, deck 18 above grade on the front of SFR and constructing structures larger than 120 sq.ft. in the rear yard requires zoning approval and, if allowed, permits and inspection from DPD."
1032229,1305 SUNSET AVE SW,"As of 7/16/14, drainage that was being discharged to the top of a Steep Slope & Potential Slide ECA has been re-routed to the City'system. See Permit 6425201 issued 6/30/14 for details."
1032228,5720 SEWARD PARK AVE S,10/15/13 Vacant building violations
1032227,1110 8TH AVE,VIOLATION OF THE HBMC STANDARDS
1032226,11055 17TH AVE NE,Land Use Code Violation - inoperable vehicle stored outdoors
1032225,2359 FRANKLIN AVE E,Application for a Tenant Relocation License.  Totals units: 7; Total units occupied: 7. Demolition.
1032224,1809 E JOHN ST,Housing violations:
1032223,11320 19TH AVE NE,Land Use Code Violation - outdoor junk storage
1032222,2814 WESTLAKE AVE N,No Shoreline or Land Use Violation - Case created in error
1032221,2353 W HALLADAY ST,06/11/2014  Land use Violation Junk Storage outdoors
1032220,4300 11TH AVE NW,05/21/2014  SRW Inspected 4301 11th Ave NW - Shoreline violation- couch dumped in bay
1032219,7411 9TH AVE NE,Weeds and Vegetation Ordinance Violation - hazardous
1032218,504 22ND AVE,VIOLATION OF THE HBMC STANDARDS
1032217,3205 44TH AVE W,Permit 6435825 issued 10/21/14 to complete work begun under 6164410 and to acurately reflect the scope of the project. (Removing proposed 2nd story addition from permit 6164410)
1032216,3039 SW AVALON WAY,"outdoor junk storage , res zone"
1032215,4204 S KENNY ST,Vegetation violation over the sidewalk and line of sight issues for drivers.
1032214,2215 4TH AVE S,Permit 6424342 was issued 6/26/14 and received final approval 7/3/14.
1032213,410 12TH AVE E,Application for a Tenant Relocation license.  Total unit: 4; Total units occupied: 3.  Demolition.
1032212,414 12TH AVE E,Application for a Tenant Relocation license.  Total Unit: 4; Total units occupied: 3.  Demolition.
1032211,4003 SW WEBSTER ST,outdoor junk storage in sf zone
1032210,1626 13TH AVE,Permit #6425276 issued 2/25/2015 for additional work in apartment building that exceeded original STFI permit 6418279.
1032209,426 25TH AVE E,The address for Electrical Permit 6421187 was corrected on 6/13/14 to reflect the work occurring at this site.
1032208,6828 51ST AVE NE,6.5.14: Vegetation hanging low over the alley. -GH
1032207,3214 S DEARBORN ST,As of 7/11/14 all protrusions into the required west side ard have been removed and the work is per Permit 6360338.
1032206,1220 NE 140TH ST,"Land Use Code Violation - outdoor junk storage, parking in yard"
1032205,1407 NW 54TH ST,06/09/14 Observed two vwhicles parked in the required yards and one appeared to be inoperable or was being worked on. A pile of wood pallets in the front yard as well. Since the grandson Holton Miller I will prepare an NOV for IUG zone
1032204,2710 E HELEN ST,6.5.14: Vegetation is encroaching low over right-of-way and sidewalk. -GH
1032203,12257 3RD AVE NW,06/10/14 oBSERVED VEHICLE PARKED IN THE REQUIRED YARD SETBACKS.
1032202,504 22ND AVE,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032201,7020 RAINIER AVE S,"Multiple housing violations, mainly in the bathroom."
1032200,3614 SW TRENTON ST,03/13/14 Vacant building violations
1032199,1762 AIRPORT WAY S,Land Use Code Violation - Uses not authorized by permit
1032198,3010 FAUNTLEROY AVE SW,08/16/13 Vacant Building violations
1032197,2838 SW GENESEE ST,04/23/14 - Vacant building violations
1032196,3005 SW HARBOR LN,08/16/13 Vacant Building violations
1032195,12532 4TH AVE NW,06/12/14 Observed vegetation hanging into r-o-w vehicle under carport is a permitted use.
1032194,12025 HIRAM PL NE,Land Use Code Violation - outdoor junk storage
1032193,5834 4TH AVE NW,06/12/14 Accordingly to SMC 23.44.013.D8 doesn't permit trailers to be parked in required yard setbacks.
1032192,2203 EASTLAKE AVE E,Application for a Tenant Relocation License.  Total units: 2; total units occupied: 1.  Demolition.
1032191,1146 18TH AVE E,Permit 6463526 to complete & final permit 6230978 issued 3/11/15.
1032190,119 NE 56TH ST,"5.19.14: Exterior inspection, rear is not visible from ROW. Sent inspection request letter to owner and occupants. -GH"
1032189,504 22ND AVE,VIOLATION OF THE HBMC STANDARDS-EO/NO POWER
1032188,5417 30TH AVE S,Inoperable cars and possibly someone living in an RV.
1032187,8440 47TH AVE S,Multiple housing violations.
1032186,7200 33RD AVE S,Vegetation over the sidewalk.
1032185,7950 47TH AVE S,Huge amounts of outdoor junk storage on the property.
1032184,1202 N 143RD ST,Land Use Code Violation - keeping of a rooster
1032183,2620 ALKI AVE SW,Permit 6423176 was issued 7/9/14 and rec'd final approval 12/17/15 for work originally performed with a permit & inspections in the 2nd floor restaurant.
1032182,2620 ALKI AVE SW,Permit 6426604 was issued 8/11/14 and rec'd final approval 12/16/15 for work originally performed without a permit and inspections.
1032181,4523 W RAYE ST,06/10/2014  SRW Land Use Violations - Junk/Outdoor Storage
1032180,4563 33RD AVE S,06/06/14 Vacant building violations
1032179,9411 12TH AVE NE,Land Use Code Violation - inoperable vehicles
1032178,7769 12TH AVE SW,Violation of Land Use- Parking in the required front yard and the outdoor junk storage
