id,Action Type,Work Type,Value,Location_id 
15099,ADD/ALT,Plan Review,$83072.00,
15100,ADD/ALT,No plan review,$59387.00,
15101,ADD/ALT,No plan review,$10000.00,
15102,ADD/ALT,Plan Review,$250000.00,
15103,ADD/ALT,Plan Review,$200000.00,
15104,NEW,Plan Review,$218825.00,
15105,NEW,Plan Review,$218285.00,
15106,NEW,Plan Review,$218285.00,
15107,NEW,Plan Review,$372085.00,
15108,ADD/ALT,No plan review,$44000.00,
15109,ADD/ALT,Plan Review,$750000.00,
15110,ADD/ALT,Plan Review,$100000.00,
15111,ADD/ALT,No plan review,$30000.00,
15112,ADD/ALT,No plan review,$11689.00,
15113,ADD/ALT,No plan review,$37697.00,
15114,ADD/ALT,No plan review,$6000.00,
15115,ADD/ALT,Plan Review,$250000.00,
15116,ADD/ALT,No plan review,$30000.00,
15117,ADD/ALT,No plan review,$9200.00,
15118,ADD/ALT,No plan review,$12000.00,
15119,ADD/ALT,No plan review,$75000.00,
15120,ADD/ALT,No plan review,$53346.00,
15121,ADD/ALT,Plan Review,$183741.00,
15122,DEMOLITION,No plan review,$0.00,
15123,ADD/ALT,Plan Review,$80375.00,
15124,NEW,Plan Review,$448460.00,
15125,ADD/ALT,Plan Review,$180000.00,
15126,NEW,Plan Review,$1250577.00,
15127,ADD/ALT,No plan review,$33060.00,
15128,ADD/ALT,No plan review,$30000.00,
15129,ADD/ALT,No plan review,$2500.00,
15130,ADD/ALT,No plan review,$7000.00,
15131,ADD/ALT,No plan review,$130000.00,
15132,ADD/ALT,No plan review,$40000.00,
15133,NEW,Plan Review,$225168.00,
15134,DEMOLITION,No plan review,$0.00,
15135,NEW,Plan Review,$212353.00,
15136,NEW,Plan Review,$232621.00,
15137,ADD/ALT,Plan Review,$57000.00,
15138,GRADING,Plan Review,$0.00,
15139,GRADING,Plan Review,$0.00,
15140,ADD/ALT,No plan review,$30000.00,
15141,ADD/ALT,Plan Review,$30811.00,
15142,ADD/ALT,No plan review,$1000.00,
15143,ADD/ALT,Plan Review,$413070.00,
15144,DEMOLITION,No plan review,$0.00,
15145,NEW,Plan Review,$212353.00,
15146,ADD/ALT,Plan Review,$61000.00,
15147,DEMOLITION,No plan review,$0.00,
15148,NEW,Plan Review,$466730.00,
15149,NEW,Plan Review,$338678.00,
15150,ADD/ALT,Plan Review,$10000.00,
15151,DEMOLITION,No plan review,$0.00,
15152,ADD/ALT,Plan Review,$90844.00,
15153,ADD/ALT,Plan Review,$80000.00,
15154,ADD/ALT,Plan Review,$8100.00,
15155,ADD/ALT,Plan Review,$27850.00,
15156,ADD/ALT,Plan Review,$25000.00,
15157,NEW,Plan Review,$700000.00,
15158,ADD/ALT,Plan Review,$800000.00,
15159,ADD/ALT,Plan Review,$22950.00,
15160,NEW,Plan Review,$500427.00,
15161,NEW,Plan Review,$521270.00,
15162,ADD/ALT,Plan Review,$90000.00,
15163,NEW,Plan Review,$548562.00,
15164,NEW,Plan Review,$548862.00,
15165,NEW,Plan Review,$548862.00,
15166,NEW,Plan Review,$548862.00,
15167,NEW,Plan Review,$365908.00,
15168,NEW,Plan Review,$518612.00,
15169,NEW,Plan Review,$518612.00,
15170,DEMOLITION,No plan review,$0.00,
15171,ADD/ALT,Plan Review,$300000.00,
15172,ADD/ALT,Plan Review,$29000.00,
15173,ADD/ALT,No plan review,$20174.00,
15174,ADD/ALT,No plan review,$100000.00,
15175,ADD/ALT,Plan Review,$45000.00,
15176,DEMOLITION,No plan review,$0.00,
15177,NEW,Plan Review,$388115.00,
15178,DEMOLITION,No plan review,$0.00,
15179,DEMOLITION,No plan review,$0.00,
15180,NEW,Plan Review,$203052.00,
15181,ADD/ALT,No plan review,$25000.00,
15182,ADD/ALT,Plan Review,$51935.00,
15183,ADD/ALT,Plan Review,$200000.00,
15184,ADD/ALT,Plan Review,$30000.00,
15185,ADD/ALT,No plan review,$5000.00,
15186,ADD/ALT,No plan review,$60000.00,
15187,ADD/ALT,No plan review,$6875.00,
15188,ADD/ALT,Plan Review,$5000.00,
15189,ADD/ALT,No plan review,$9000.00,
15190,DEMOLITION,No plan review,$0.00,
15191,DEMOLITION,No plan review,$0.00,
15192,ADD/ALT,Plan Review,$285723.00,
15193,ADD/ALT,Plan Review,$60000.00,
15194,ADD/ALT,Plan Review,$20000.00,
15195,ADD/ALT,Plan Review,$30000.00,
15196,NEW,Plan Review,$2969297.00,
15197,ADD/ALT,Plan Review,$30000.00,
15198,ADD/ALT,Plan Review,$15000.00,
15199,ADD/ALT,Plan Review,$95000.00,
15200,ADD/ALT,Plan Review,$15000.00,
15201,GRADING,Plan Review,$0.00,
15202,ADD/ALT,No plan review,$25000.00,
15203,ADD/ALT,No plan review,$75000.00,
15204,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
15205,NEW,Plan Review,$497631.00,
15206,ADD/ALT,Plan Review,$45000.00,
15207,ADD/ALT,Plan Review,$25000.00,
15208,ADD/ALT,No plan review,$5000.00,
15209,ALTER,Plan Review,$123675.00,
15210,ADD/ALT,Plan Review,$248277.00,
15211,ADD/ALT,No plan review,$19860.00,
15212,ADD/ALT,No plan review,$770000.00,
15213,ADD/ALT,No plan review,$300000.00,
15214,ADD/ALT,No plan review,$2500000.00,
15215,ADD/ALT,No plan review,$140000.00,
15216,ADD/ALT,No plan review,$15000.00,
15217,ADD/ALT,Plan Review,$10000.00,
15218,ALTER,Plan Review,$100000.00,
15219,ADD/ALT,No plan review,$10000.00,
15220,ADD/ALT,No plan review,$10000.00,
15221,ALTER,Plan Review,$125000.00,
15222,ADD/ALT,No plan review,$8000.00,
15223,ADD/ALT,No plan review,$1201.00,
15224,ADD/ALT,Plan Review,$137171.00,
15225,ADD/ALT,Plan Review,$130000.00,
15226,NEW,Plan Review,$451140.00,
15227,NEW,Plan Review,$476998.00,
15228,NEW,Plan Review,$230000.00,
15229,ADD/ALT,Plan Review,$15000.00,
15230,ADD/ALT,Plan Review,$12239.00,
15231,NEW,Plan Review,$290991.00,
15232,NEW,Plan Review,$395043.00,
15233,ADD/ALT,Plan Review,$107399.00,
15234,ADD/ALT,Plan Review,$123346.00,
15235,ADD/ALT,Plan Review,$25000.00,
15236,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15237,GRADING,Plan Review,$1000.00,
15238,NEW,Plan Review,$30563.00,
15239,NEW,Plan Review,$36909.00,
15240,ADD/ALT,Plan Review,$105005.00,
15241,NEW,Plan Review,$19532.00,
15242,ADD/ALT,Plan Review,$409459.00,
15243,NEW,Plan Review,$759175.00,
15244,ADD/ALT,Plan Review,$1000000.00,
15245,ADD/ALT,No plan review,$80000.00,
15246,NEW,Plan Review,$1227714.00,
15247,ADD/ALT,Plan Review,$150000.00,
15248,ADD/ALT,No plan review,$29800.00,
15249,ADD/ALT,No plan review,$45000.00,
15250,ADD/ALT,Plan Review,$8000.00,
15251,ADD/ALT,Plan Review,$15000.00,
15252,ADD/ALT,Plan Review,$40000.00,
15253,ADD/ALT,No plan review,$20000.00,
15254,ADD/ALT,No plan review,$3800.00,
15255,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
15256,ADD/ALT,No plan review,$80000.00,
15257,ADD/ALT,No plan review,$45000.00,
15258,ADD/ALT,No plan review,$7500.00,
15259,NEW,Plan Review,$30811.00,
15260,NEW,Plan Review,$3191951.00,
15261,ADD/ALT,No plan review,$150000.00,
15262,ALTER,Plan Review,$75000.00,
15263,ALTER,Plan Review,$75000.00,
15264,ADD/ALT,No plan review,$24000.00,
15265,ADD/ALT,No plan review,$25000.00,
15266,ADD/ALT,Plan Review,$8343.00,
15267,NEW,Plan Review,$230414.00,
15268,NEW,Plan Review,$255309.00,
15269,NEW,Plan Review,$437263.00,
15270,ADD/ALT,Plan Review,$10000.00,
15271,NEW,Plan Review,$442444.00,
15272,NEW,Plan Review,$675000.00,
15273,DEMOLITION,No plan review,$0.00,
15274,ADD/ALT,Plan Review,$5000.00,
15275,ADD/ALT,Plan Review,$10000.00,
15276,ADD/ALT,No plan review,$30000.00,
15277,ADD/ALT,No plan review,$12000.00,
15278,NEW,Plan Review,$32360177.00,
15279,NEW,Plan Review,$235542.00,
15280,ADD/ALT,Plan Review,$5000.00,
15281,ADD/ALT,No plan review,$25000.00,
15282,ADD/ALT,No plan review,$82347.00,
15283,ADD/ALT,No plan review,$25000.00,
15284,ADD/ALT,Plan Review,$180000.00,
15285,DEMOLITION,No plan review,$0.00,
15286,DEMOLITION,No plan review,$0.00,
15287,NEW,Plan Review,$306367.00,
15288,ADD/ALT,No plan review,$1500.00,
15289,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
15290,NEW,Plan Review,$255757.00,
15291,ADD/ALT,No plan review,$40000.00,
15292,ADD/ALT,No plan review,$85000.00,
15293,NEW,Plan Review,$825310.00,
15294,ADD/ALT,No plan review,$100000.00,
15295,ADD/ALT,No plan review,$78000.00,
15296,ADD/ALT,No plan review,$78000.00,
15297,ADD/ALT,No plan review,$78000.00,
15298,ADD/ALT,No plan review,$78000.00,
15299,ADD/ALT,No plan review,$78000.00,
15300,ADD/ALT,No plan review,$104000.00,
15301,ADD/ALT,No plan review,$78000.00,
15302,ADD/ALT,Plan Review,$100000.00,
15303,NEW,Plan Review,$267278.00,
15304,NEW,Plan Review,$491169.00,
15305,CURB CUT,No plan review,$0.00,
15306,ADD/ALT,Plan Review,$150000.00,
15307,NEW,Plan Review,$236352.00,
15308,NEW,Plan Review,$226444.00,
15309,NEW,Plan Review,$245369.00,
15310,DEMOLITION,No plan review,$0.00,
15311,NEW,Plan Review,$243205.00,
15312,ADD/ALT,Plan Review,$93000.00,
15313,ADD/ALT,Plan Review,$17000.00,
15314,ADD/ALT,Plan Review,$10000.00,
15315,ADD/ALT,Plan Review,$200000.00,
15316,ADD/ALT,Plan Review,$150000.00,
15317,ADD/ALT,Plan Review,$625000.00,
15318,ADD/ALT,Plan Review,$160000.00,
15319,ADD/ALT,Plan Review,$866160.00,
15320,DEMOLITION,No plan review,$0.00,
15321,NEW,Plan Review,$340500.00,
15322,TEMP,Plan Review,$20000.00,
15323,ADD/ALT,Plan Review,$264590.00,
15324,DEMOLITION,No plan review,$0.00,
15325,DEMOLITION,No plan review,$0.00,
15326,ADD/ALT,Plan Review,$150000.00,
15327,ADD/ALT,No plan review,$15000.00,
15328,DEMOLITION,No plan review,$0.00,
15329,ADD/ALT,No plan review,$35000.00,
15330,NEW,Plan Review,$372686.00,
15331,DEMOLITION,No plan review,$0.00,
15332,NEW,Plan Review,$350219.00,
15333,NEW,Plan Review,$350219.00,
15334,ADD/ALT,No plan review,$50000.00,
15335,ADD/ALT,Plan Review,$0.00,
15336,ADD/ALT,Plan Review,$2000.00,
15337,ADD/ALT,No plan review,$22650.00,
15338,ADD/ALT,No plan review,$10000.00,
15339,ADD/ALT,No plan review,$5000.00,
15340,ADD/ALT,No plan review,$2000.00,
15341,TEMP,Plan Review,$20000.00,
15342,NEW,Plan Review,$20000.00,
15343,ADD/ALT,Plan Review,$15000.00,
15344,NEW,Plan Review,$340500.00,
15345,ADD/ALT,Plan Review,$20000.00,
15346,ADD/ALT,No plan review,$35000.00,
15347,NEW,Plan Review,$241642.00,
15348,NEW,Plan Review,$241642.00,
15349,NEW,Plan Review,$1103114.00,
15350,,Plan Review,$0.00,
15351,NEW,Plan Review,$405021.00,
15352,DEMOLITION,No plan review,$0.00,
15353,NEW,Plan Review,$381397.00,
15354,ADD/ALT,No plan review,$6876.00,
15355,NEW,Plan Review,$264916.00,
15356,NEW,Plan Review,$318944.00,
15357,ADD/ALT,Plan Review,$116000.00,
15358,ADD/ALT,Plan Review,$200000.00,
15359,ADD/ALT,Plan Review,$75000.00,
15360,NEW,Plan Review,$314477.00,
15361,ADD/ALT,No plan review,$20000.00,
15362,DEMOLITION,No plan review,$0.00,
15363,ADD/ALT,Plan Review,$64000.00,
15364,GRADING,Plan Review,$0.00,
15365,ADD/ALT,Plan Review,$95815.00,
15366,ADD/ALT,Plan Review,$900000.00,
15367,ADD/ALT,Plan Review,$4000.00,
15368,NEW,Plan Review,$544229.00,
15369,NEW,Plan Review,$825310.00,
15370,ADD/ALT,No plan review,$40000.00,
15371,ADD/ALT,No plan review,$10000.00,
15372,ADD/ALT,No plan review,$100000.00,
15373,ADD/ALT,No plan review,$10087.00,
15374,ADD/ALT,Plan Review,$900000.00,
15375,ADD/ALT,No plan review,$3000.00,
15376,ADD/ALT,No plan review,$4000.00,
15377,ADD/ALT,Plan Review,$100000.00,
15378,ADD/ALT,Plan Review,$25000.00,
15379,ADD/ALT,Plan Review,$80000.00,
15380,ADD/ALT,Plan Review,$300000.00,
15381,NEW,Plan Review,$423007.00,
15382,ADD/ALT,No plan review,$24409.00,
15383,ADD/ALT,No plan review,$50000.00,
15384,ADD/ALT,Plan Review,$95000.00,
15385,ADD/ALT,Plan Review,$31774.00,
15386,DEMOLITION,No plan review,$0.00,
15387,NEW,Plan Review,$400434.00,
15388,NEW,Plan Review,$300000.00,
15389,NEW,Plan Review,$300000.00,
15390,NEW,Plan Review,$528564.00,
15391,DEMOLITION,No plan review,$0.00,
15392,ADD/ALT,Plan Review,$5000.00,
15393,ADD/ALT,Plan Review,$225000.00,
15394,ADD/ALT,Plan Review,$200000.00,
15395,NEW,Plan Review,$545138.00,
15396,NEW,Plan Review,$260617.00,
15397,,Plan Review,$0.00,
15398,ADD/ALT,Plan Review,$100000.00,
15399,ADD/ALT,Plan Review,$40700.00,
15400,ADD/ALT,Plan Review,$252687.00,
15401,NEW,Plan Review,$14982063.00,
15402,NEW,Plan Review,$393512.00,
15403,NEW,Plan Review,$20000.00,
15404,ADD/ALT,Plan Review,$45000.00,
15405,ADD/ALT,No plan review,$2000.00,
15406,NEW,Plan Review,$20000.00,
15407,DEMOLITION,No plan review,$0.00,
15408,ADD/ALT,Plan Review,$104471.00,
15409,ADD/ALT,Plan Review,$50000.00,
15410,ADD/ALT,Plan Review,$75000.00,
15411,ADD/ALT,Plan Review,$20000.00,
15412,ADD/ALT,No plan review,$12000.00,
15413,ADD/ALT,Plan Review,$20000.00,
15414,NEW,Plan Review,$20000.00,
15415,ADD/ALT,Plan Review,$20000.00,
15416,NEW,Plan Review,$642073.00,
15417,ADD/ALT,Plan Review,$26662.00,
15418,NEW,Plan Review,$1345218.00,
15419,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15420,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15421,ADD/ALT,No plan review,$6000.00,
15422,ADD/ALT,Plan Review,$16000.00,
15423,DEMOLITION,No plan review,$0.00,
15424,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15425,DEMOLITION,No plan review,$0.00,
15426,ADD/ALT,No plan review,$400000.00,
15427,DEMOLITION,No plan review,$0.00,
15428,DEMOLITION,No plan review,$0.00,
15429,ADD/ALT,No plan review,$125000.00,
15430,NEW,Plan Review,$612453.00,
15431,ADD/ALT,Plan Review,$97843.00,
15432,ADD/ALT,Plan Review,$63117.00,
15433,ADD/ALT,Plan Review,$100000.00,
15434,ADD/ALT,Plan Review,$5000.00,
15435,NEW,Plan Review,$189370.00,
15436,ADD/ALT,Plan Review,$139542.00,
15437,NEW,Plan Review,$393764.00,
15438,DEMOLITION,No plan review,$0.00,
15439,ADD/ALT,No plan review,$120000.00,
15440,ADD/ALT,Plan Review,$23556.00,
15441,ADD/ALT,No plan review,$3000.00,
15442,ADD/ALT,No plan review,$3000.00,
15443,ADD/ALT,Plan Review,$40000.00,
15444,CURB CUT,No plan review,$0.00,
15445,ADD/ALT,No plan review,$60000.00,
15446,ADD/ALT,No plan review,$5000.00,
15447,NEW,Plan Review,$378739.00,
15448,ADD/ALT,Plan Review,$110000.00,
15449,DEMOLITION,No plan review,$0.00,
15450,DEMOLITION,No plan review,$0.00,
15451,NEW,Plan Review,$364687.00,
15452,ADD/ALT,Plan Review,$86000.00,
15453,NEW,Plan Review,$324567.00,
15454,ADD/ALT,No plan review,$90000.00,
15455,ADD/ALT,No plan review,$5000.00,
15456,ADD/ALT,Plan Review,$60000.00,
15457,ADD/ALT,No plan review,$45000.00,
15458,ADD/ALT,No plan review,$25000.00,
15459,ADD/ALT,No plan review,$18000.00,
15460,DEMOLITION,No plan review,$0.00,
15461,NEW,Plan Review,$463825.00,
15462,ADD/ALT,No plan review,$25000.00,
15463,NEW,Plan Review,$373245.00,
15464,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15465,NEW,Plan Review,$211486.00,
15466,ADD/ALT,No plan review,$35000.00,
15467,NEW,Plan Review,$178000.00,
15468,ALTER,Plan Review,$39000.00,
15469,ADD/ALT,No plan review,$9500.00,
15470,ADD/ALT,No plan review,$20000.00,
15471,ALTER,Plan Review,$986117.00,
15472,GRADING,Plan Review,$0.00,
15473,ADD/ALT,Plan Review,$50000.00,
15474,ADD/ALT,Plan Review,$1000.00,
15475,RELOCATION,No plan review,$0.00,
15476,ADD/ALT,Plan Review,$126125.00,
15477,NEW,Plan Review,$226444.00,
15478,NEW,Plan Review,$230943.00,
15479,DEMOLITION,No plan review,$0.00,
15480,NEW,Plan Review,$5318002.00,
15481,NEW,Plan Review,$388892.00,
15482,ADD/ALT,Plan Review,$75000.00,
15483,ADD/ALT,Plan Review,$250000.00,
15484,NEW,Plan Review,$236353.00,
15485,ADD/ALT,No plan review,$265000.00,
15486,ADD/ALT,No plan review,$30000.00,
15487,ADD/ALT,No plan review,$8000.00,
15488,ALTER,Plan Review,$2260000.00,
15489,DEMOLITION,No plan review,$0.00,
15490,ADD/ALT,Plan Review,$25000.00,
15491,ADD/ALT,Plan Review,$7720.00,
15492,DEMOLITION,No plan review,$0.00,
15493,ADD/ALT,No plan review,$2000.00,
15494,ADD/ALT,No plan review,$4767.00,
15495,ALTER,Plan Review,$400000.00,
15496,NEW,Plan Review,$381286.00,
15497,ADD/ALT,No plan review,$50000.00,
15498,ADD/ALT,Plan Review,$25000.00,
15499,ADD/ALT,Plan Review,$100000.00,
15500,ADD/ALT,Plan Review,$3000.00,
15501,ADD/ALT,Plan Review,$130000.00,
15502,ADD/ALT,Plan Review,$250000.00,
15503,ADD/ALT,Plan Review,$300000.00,
15504,DEMOLITION,No plan review,$0.00,
15505,ADD/ALT,No plan review,$15000.00,
15506,ADD/ALT,No plan review,$25000.00,
15507,DEMOLITION,No plan review,$0.00,
15508,NEW,Plan Review,$361978.00,
15509,ADD/ALT,No plan review,$3500.00,
15510,NEW,Plan Review,$601228.00,
15511,ADD/ALT,Plan Review,$8000.00,
15512,CURB CUT,No plan review,$0.00,
15513,ADD/ALT,No plan review,$9552.00,
15514,NEW,Plan Review,$5000.00,
15515,ADD/ALT,Plan Review,$3000.00,
15516,ADD/ALT,No plan review,$37000.00,
15517,NEW,Plan Review,$337266.00,
15518,NEW,Plan Review,$311559.00,
15519,ADD/ALT,Plan Review,$28964.00,
15520,ADD/ALT,No plan review,$15000.00,
15521,ADD/ALT,Plan Review,$4500.00,
15522,ADD/ALT,Plan Review,$14000.00,
15523,ADD/ALT,Plan Review,$400000.00,
15524,ADD/ALT,Plan Review,$40000.00,
15525,NEW,Plan Review,$442455.00,
15526,ADD/ALT,No plan review,$20000.00,
15527,DEMOLITION,No plan review,$0.00,
15528,NEW,Plan Review,$138189.00,
15529,ADD/ALT,Plan Review,$79659.00,
15530,NEW,Plan Review,$384043.00,
15531,ADD/ALT,Plan Review,$575000.00,
15532,ADD/ALT,Plan Review,$224000.00,
15533,NEW,Plan Review,$367888.00,
15534,DEMOLITION,No plan review,$0.00,
15535,NEW,Plan Review,$487423.00,
15536,NEW,Plan Review,$308522.00,
15537,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15538,ADD/ALT,Plan Review,$40000.00,
15539,NEW,Plan Review,$300000.00,
15540,ADD/ALT,No plan review,$55000.00,
15541,ADD/ALT,No plan review,$80000.00,
15542,NEW,Plan Review,$1377173.00,
15543,ADD/ALT,No plan review,$33012.00,
15544,ADD/ALT,Plan Review,$2564741.00,
15545,NEW,Plan Review,$3080000.00,
15546,ADD/ALT,Plan Review,$20000.00,
15547,NEW,Plan Review,$2550000.00,
15548,NEW,Plan Review,$235658.00,
15549,ADD/ALT,No plan review,$20000.00,
15550,ADD/ALT,Plan Review,$174000.00,
15551,ADD/ALT,No plan review,$4000.00,
15552,ADD/ALT,Plan Review,$85000.00,
15553,ADD/ALT,No plan review,$2000.00,
15554,ADD/ALT,Plan Review,$107821.00,
15555,NEW,Plan Review,$545661.00,
15556,ADD/ALT,No plan review,$250083.00,
15557,ADD/ALT,No plan review,$2000.00,
15558,NEW,Plan Review,$16500.00,
15559,NEW,Plan Review,$18000.00,
15560,ADD/ALT,Plan Review,$350000.00,
15561,ADD/ALT,Plan Review,$12600.00,
15562,ADD/ALT,Plan Review,$327795.00,
15563,ADD/ALT,Plan Review,$250000.00,
15564,NEW,Plan Review,$250000.00,
15565,NEW,Plan Review,$397000.00,
15566,ADD/ALT,Plan Review,$190417.00,
15567,ADD/ALT,Plan Review,$400000.00,
15568,ADD/ALT,Plan Review,$7000.00,
15569,NEW,Plan Review,$493391.00,
15570,ADD/ALT,Plan Review,$12000.00,
15571,NEW,Plan Review,$359069.00,
15572,ADD/ALT,Plan Review,$156647.00,
15573,ADD/ALT,Plan Review,$5000.00,
15574,ADD/ALT,Plan Review,$76931.00,
15575,ADD/ALT,Plan Review,$10500.00,
15576,ADD/ALT,Plan Review,$503692.00,
15577,ADD/ALT,No plan review,$5000.00,
15578,ADD/ALT,No plan review,$5000.00,
15579,ADD/ALT,Plan Review,$65000.00,
15580,CURB CUT,No plan review,$0.00,
15581,ADD/ALT,No plan review,$75000.00,
15582,DEMOLITION,No plan review,$0.00,
15583,ADD/ALT,Plan Review,$44500.00,
15584,ADD/ALT,No plan review,$15000.00,
15585,NEW,Plan Review,$10500.00,
15586,NEW,Plan Review,$453971.00,
15587,ADD/ALT,No plan review,$60000.00,
15588,NEW,Plan Review,$16500.00,
15589,ADD/ALT,Plan Review,$40000.00,
15590,ADD/ALT,No plan review,$15000.00,
15591,ADD/ALT,No plan review,$60000.00,
15592,ADD/ALT,No plan review,$325000.00,
15593,ADD/ALT,Plan Review,$2.00,
15594,ADD/ALT,Plan Review,$150000.00,
15595,DEMOLITION,No plan review,$0.00,
15596,DEMOLITION,No plan review,$0.00,
15597,ADD/ALT,Plan Review,$5000.00,
15598,ADD/ALT,No plan review,$8000.00,
15599,ADD/ALT,Plan Review,$4500.00,
15600,NEW,Plan Review,$364638.00,
15601,ADD/ALT,Plan Review,$8000.00,
15602,ADD/ALT,Plan Review,$8000.00,
15603,ADD/ALT,No plan review,$3000.00,
15604,ADD/ALT,Plan Review,$70000.00,
15605,NEW,Plan Review,$437680.00,
15606,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15607,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
15608,NEW,Plan Review,$400000.00,
15609,,Plan Review,$0.00,
15610,DEMOLITION,No plan review,$0.00,
15611,ADD/ALT,No plan review,$3000.00,
15612,NEW,Plan Review,$4862569.00,
15613,NEW,Plan Review,$382109.00,
15614,ADD/ALT,No plan review,$12000.00,
15615,DEMOLITION,No plan review,$0.00,
15616,ADD/ALT,Plan Review,$12000.00,
15617,ADD/ALT,No plan review,$91000.00,
15618,DEMOLITION,No plan review,$0.00,
15619,DEMOLITION,No plan review,$0.00,
15620,ADD/ALT,Plan Review,$100000.00,
15621,ADD/ALT,Plan Review,$50000.00,
15622,ADD/ALT,Plan Review,$4500.00,
15623,ADD/ALT,Plan Review,$20000.00,
15624,ADD/ALT,Plan Review,$250000.00,
15625,ADD/ALT,Plan Review,$250000.00,
15626,ADD/ALT,Plan Review,$91500.00,
15627,ADD/ALT,No plan review,$60000.00,
15628,ADD/ALT,No plan review,$15000.00,
15629,ADD/ALT,Plan Review,$20000.00,
15630,SHORELINE EXEMPTION ONLY,Plan Review,$0.00,
15631,ADD/ALT,No plan review,$12000.00,
15632,NEW,Plan Review,$479214.00,
15633,ADD/ALT,Plan Review,$10000.00,
15634,ADD/ALT,Plan Review,$274780.00,
15635,NEW,Plan Review,$115520.00,
15636,NEW,Plan Review,$2592794.00,
15637,ADD/ALT,No plan review,$2500.00,
15638,ADD/ALT,No plan review,$20000.00,
15639,ADD/ALT,Plan Review,$7655.00,
15640,ADD/ALT,Plan Review,$180000.00,
15641,NEW,Plan Review,$984634.00,
15642,ADD/ALT,Plan Review,$220000.00,
15643,ADD/ALT,Plan Review,$100000.00,
15644,ADD/ALT,No plan review,$4000.00,
15645,ADD/ALT,No plan review,$6500.00,
15646,ADD/ALT,No plan review,$50000.00,
15647,ADD/ALT,No plan review,$7475.00,
15648,ADD/ALT,No plan review,$40000.00,
15649,ADD/ALT,No plan review,$4025.00,
15650,DEMOLITION,No plan review,$0.00,
15651,ADD/ALT,Plan Review,$30000.00,
15652,NEW,Plan Review,$799950.00,
15653,ADD/ALT,No plan review,$175000.00,
15654,ADD/ALT,Plan Review,$100.00,
15655,ADD/ALT,Plan Review,$42600.00,
15656,ADD/ALT,Plan Review,$15000.00,
15657,ADD/ALT,Plan Review,$4000.00,
15658,ADD/ALT,Plan Review,$139500.00,
15659,ADD/ALT,Plan Review,$10000.00,
15660,ADD/ALT,Plan Review,$8000.00,
15661,ADD/ALT,Plan Review,$89665.00,
15662,DEMOLITION,Plan Review,$0.00,
15663,ADD/ALT,Plan Review,$400000.00,
15664,ADD/ALT,Plan Review,$125635.00,
15665,NEW,Plan Review,$225682.00,
15666,NEW,Plan Review,$201794.00,
15667,NEW,Plan Review,$484030.00,
15668,ADD/ALT,Plan Review,$4500.00,
15669,ADD/ALT,Plan Review,$300000.00,
15670,NEW,Plan Review,$534803.00,
15671,ADD/ALT,No plan review,$15000.00,
15672,ADD/ALT,Plan Review,$80000.00,
15673,ADD/ALT,Plan Review,$175000.00,
15674,ADD/ALT,Plan Review,$79000.00,
15675,DEMOLITION,No plan review,$0.00,
15676,ADD/ALT,Plan Review,$20000.00,
15677,NEW,Plan Review,$284200.00,
15678,DEMOLITION,No plan review,$0.00,
15679,NEW,Plan Review,$321919.00,
15680,NEW,Plan Review,$705710.00,
15681,NEW,Plan Review,$529017.00,
15682,ADD/ALT,Plan Review,$79561.00,
15683,ADD/ALT,No plan review,$30000.00,
15684,ADD/ALT,No plan review,$26000.00,
15685,ADD/ALT,No plan review,$5000.00,
15686,ADD/ALT,No plan review,$33000.00,
15687,NEW,Plan Review,$0.00,
15688,ADD/ALT,No plan review,$35000.00,
15689,ADD/ALT,No plan review,$125000.00,
15690,ADD/ALT,No plan review,$2000.00,
15691,ADD/ALT,No plan review,$200000.00,
15692,ADD/ALT,No plan review,$8778.00,
15693,NEW,No plan review,$15000.00,
15694,ADD/ALT,No plan review,$15000.00,
15695,ADD/ALT,No plan review,$44000.00,
15696,ADD/ALT,No plan review,$25000.00,
15697,ADD/ALT,No plan review,$98000.00,
15698,ADD/ALT,No plan review,$10000.00,
15699,ADD/ALT,Plan Review,$118898.00,
15700,NEW,Plan Review,$434248.00,
15701,DEMOLITION,No plan review,$0.00,
15702,ADD/ALT,Plan Review,$75000.00,
15703,ADD/ALT,No plan review,$2500.00,
15704,ADD/ALT,Plan Review,$38182.00,
15705,ADD/ALT,Plan Review,$175000.00,
15706,ADD/ALT,Plan Review,$95000.00,
15707,ADD/ALT,No plan review,$45000.00,
15708,ADD/ALT,No plan review,$9000.00,
15709,DEMOLITION,No plan review,$0.00,
15710,ADD/ALT,No plan review,$22000.00,
15711,ADD/ALT,No plan review,$30000.00,
15712,ALTER,Plan Review,$0.00,
15713,ALTER,Plan Review,$0.00,
15714,ADD/ALT,Plan Review,$30000.00,
15715,ADD/ALT,No plan review,$50000.00,
