id,name,phone_num,address_id
709,Martin Blank Studios,,
710,New Century Theatre Company Offices,,
711,Secret Garden Books,,
712,South Park Community Center,,
713,Seattle PI/Hearst Media Services,,
714,Three Dollar Bill Cinema,,
715,Tmrw Party,,
716,Tooth & Nail Records,,
717,Unique Art Framing & Gallery,,
718,School of Rock West Seattle,,
719,South Seattle Community College Olympic Hall,,
720,West Seattle Art Nest,,
721,Temple of Cairo,,
722,University of Washington Engineering Library,,
723,University of Washington Mathematics Research Library,,
724,University of Washington Suzzallo Library,,
725,University of Washington Physics Astronomy Reading Room (CLOSED),,
726,University of Washington East Asia Library,,
727,University of Washington Department of Architecture,,
728,Piano Studio Seattle,,
729,University of Washington Built Environment Library,,
730,University of Washington Intellectual House,,
731,University of Washington Mary Gates Hall,,
732,University of Washington Social Work Library,,
733,University of Washington Art Library,,
734,University of Washington Foster Business Library,,
735,University of Washington Odegard Undergraduate Library,,
736,Showbox at the Market,(206) 628-3151,
737,University of Washington Jacob Lawrence Gallery,,
738,The Audio Connection,,
739,University of Washington Communications Building,,
740,Studio Litho,,
741,Blessed Sacrament Church,,
742,St. Stephens Episcopal Church,,
743,Glassbox,,
744,Leisure Books,,
745,C & P Coffee Company,(206) 933-3125,
746,Salsa Con Todo,(206) 402-2945,
747,Ballard Community Center,(206) 684-4093,
748,Linda Hodges Gallery,(206) 624-3034,
749,Seattle Music Partners,(206) 409-2535,
750,Seattle JazzED at MLK Fame Community Center,(206) 324-5299,
751,Seattle's Performers LLC,(206) 473-9580,
752,Jet City Improv,(206) 352-8291,
753,"Chop Suey, LLC.",(206) 538-0556,
754,SURF Incubator,(206) 777-1177,
755,North Seattle Chamber of Commerce/Lake City Community Center,(206) 363-3287,
756,SURFincubator II,(206) 777-1177,
757,The Pioneer Collective,(206) 310-2863,
758,University of Washington Music Library,(206) 543-1168,
759,Seattle Musical Theatre,(206) 393-2809,
760,Washington Lawyers for the Arts,(206) 328-7053,
761,Somali Community Services of Seattle,(206) 422-7074,
762,Illumination Learning Studio,(206) 789-ARTS,
763,The Guitar Store,(206) 397-4438,
764,Zanadu Comics,(206) 443-1316,
765,Humanities Washington,(206) 682-1770,
766,The Knitting School,(206) 353-1337,
767,The Movement Lab,(425) 289-6851,
768,Revolution Books,(206) 325-7415,
769,Ravenna Third Place Books,(206) 525-2347,
770,Can Can Kitchen and Cabaret,(206) 652-0832,
771,Martyr Sauce,(206) 624-0495,
772,Pilchuck Glass School Seattle,(206) 621-8422,
773,Peter Miller Books,(206) 441-4114,
774,Fluteworks Seattle,(206) 729-1903,
775,Laguna,(206) 682-6162,
776,Feedback Lounge,(206) 453-3259,
777,City of Seattle Loyal Hts,(206) 684-4052,
778,Martin-Zambito Fine Art,(206) 726-9509,
779,Kings Hall,(206) 550-4193,
780,Color 1 Photo,(206) 622-7107,
781,Small Faces/Crown Hill Center,(206) 782-2611,
782,Arab Center of Washington,,
783,Dance! West Seattle,(206) 938-3062,
784,Brooke Westlund Studio + Gallery,(425) 681-6037,
785,Cornish College of the Arts,(206) 726-5151,
786,ArtsFund,(206) 281-9050,
787,Arts and Visually Impaired Audiences,(206) 323-7190,
788,Bass Northwest,(206) 622-2277,
789,Belltown Ballet BBC Studio,(206) 851-6526,
790,AXIS Pioneer Square,(206) 681-9316,
791,All Metal Arts Hazardfactory,(206) 200-9496,
792,Black Box Operations 12th Avenue Arts,(206 )566-6112,
793,Emeralda Works,(206) 498-9208,
794,Hall Spassov Gallery,(206) 923-0816,
795,Seattle Presents: A Gallery,(206) 733-9955,
796,Pegasus Book Exchange,,
797,West Seattle Fabric Company,,
798,Woodland Park United Methodist,(206) 784-6969 ,
799,Vocalist Studio,,
800,Peel Studios,,
801,Dynamic Sound Service,,
802,McComb Sound,,
803,Saint Marks,,
804,First Free Methodist,,
805,Rainier Valley Cultural Center,,
806,Fuzzy Lounge Recording,,
807,Haller Lake Community Club,,
808,Daybreak Star Cultural Center,,
809,The Control Room,,
810,Stone Way Cafe,,
811,House Studios,,
812,Bookworm Exchange,,
813,Oromo Community Organization,,
814,Horn of Africa Services,,
815,Chinese Information and Service Center,,
816,Ted Brown Music,(206) 622-0171,
817,Bill & Melinda Gates Foundation Visitor Center,(206) 709-3100,
818,"Stretch and Staple Canvas Printing Company
",(206) 607-9277,
819,Fiber Gallery,,
820,St. James Cathedral,"804 9th Ave Seattle, WA 98104
",
821,Kremwerk,,
822, KUOW Puget Sound Public Radio,,
823,Seattle Center Phelps Center PNB Studios & Offices,,
824,"KCTS 9 
","401 Mercer St. Seattle, WA, 98109

",
825,Seattle Center Fisher Pavilion,,
826,SIFF Cinema Uptown (see SIFF for answers to survey),,
827,Pacific Northwest Ballet,(206) 441-9411,
828,Rainier Dance Center,,
829,Chihuly Workshop,,
830,Phinney Books,,
831,Made Sewing Studio,,
832,Mercer Street Books,,
833,Queen Anne Book Company,,
834,Tara Academy of Irish Dance Studio,,
835,Arts in Motion,,
836,East African Community Services,,
837,Seattle Neighborhood Group,,
838,Music Center of the Nrthwest,2065268443,
839,Rosewood Guitar,206 297-8788,
840,All That Dance,206-457-4891,
841,The Salvation Army,206-783-1225,
842,Music Center of the Nrthwest,2065268443,
843,School of Rock,206 417-7625,
844,Urban Light Studios,2067087281,
845,98.1 Classical KING FM,206-691-2981,
846,Southwest Seattle Historical Society,206-938-5293,
847,Moksha,2066322622,
848,WordsWest Literary Series,2069301276,
849,ProletariYacht Club,206-799-1180,
850,"Dreamstrands Comics & Such, Inc.",206-297-3737,
851,St. Luke's Episcopal Church Seattle,206-784-3119,
852,SPCCCPPC,2063590359,
853,Rainier Chamber of Commerce & Rainier Chamber Foundation,206.725.2010,
854,Emerald City Fired Arts Studio and Gallery,206-7210450,
855,Vespertine Noise,206 923-8409,
856,Royal Esquire Club Inc.,206-723-2811,
857,Southside Commons,206-568-5400,
858,Vietnamese Friendship Association,206-760-1573,
859,Rainier Community Center,2063861919,
860,Columbia City Farmers Market,206-632-5234,
861,Ark Lodge Cinemas,206 721 3156,
862,The Hillman City Collaboratory,(206) 669-8106,
