id,district,police_beat 
31876,L,L3
31877,M,M2
31878,L,L1
31879,G,G1
31880,M,M1
31881,B,B3
31882,Q,Q3
31883,E,E2
31884,M,M2
31885,Q,Q1
31886,F,F2
31887,L,L3
31888,L,L3
31889,B,B1
31890,G,G3
31891,F,F3
31892,R,R2
31893,N,N1
31894,B,B1
31895,U,U1
31896,K,K1
31897,R,R3
31898,E,E3
31899,W,W2
31900,G,G2
31901,B,B2
31902,L,L2
31903,D,D1
31904,U,U3
31905,K,K2
31906,K,K3
31907,C,C3
31908,R,R2
31909,F,F2
31910,R,R2
31911,O,O2
31912,C,C2
31913,K,K3
31914,J,J2
31915,U,U2
31916,R,R2
31917,U,U1
31918,N,N2
31919,M,M2
31920,M,M1
31921,E,E1
31922,U,U1
31923,U,U3
31924,U,U2
31925,B,B3
31926,G,G1
31927,N,N3
31928,F,F2
31929,R,R3
31930,G,G1
31931,G,G3
31932,B,B2
31933,J,J1
31934,M,M3
31935,U,U3
31936,U,U2
31937,J,J1
31938,U,U1
31939,S,S1
31940,B,B1
31941,K,K2
31942,C,C1
31943,E,E2
31944,N,N2
31945,K,K2
31946,R,R2
31947,J,J1
31948,C,C1
31949,B,B2
31950,O,O1
31951,C,C2
31952,W,W2
31953,M,M1
31954,D,D2
31955,R,R2
31956,G,G1
31957,J,J1
31958,M,M3
31959,N,N2
31960,S,S3
31961,J,J2
31962,S,S3
31963,U,U2
31964,W,W1
31965,E,E1
31966,R,R1
31967,S,S1
31968,B,B2
31969,M,M1
31970,E,E1
31971,R,R3
31972,U,U3
31973,Q,Q2
31974,Q,Q3
31975,Q,Q3
31976,G,G3
31977,L,L1
31978,D,D3
31979,G,G1
31980,N,N3
31981,E,E1
31982,C,C3
31983,E,E1
31984,K,K3
31985,Q,Q1
31986,B,B3
31987,N,N1
31988,U,U1
31989,W,W3
31990,F,F3
31991,J,J2
31992,W,W1
31993,E,E1
31994,E,E2
31995,J,J2
31996,W,W3
31997,M,M2
31998,L,L3
31999,N,N2
32000,J,J1
32001,U,U2
32002,F,F2
32003,D,D1
32004,N,N3
32005,M,M3
32006,B,B2
32007,W,W1
32008,L,L1
32009,L,L1
32010,D,D2
32011,S,S3
32012,Q,Q2
32013,D,D1
32014,D,D2
32015,D,D2
32016,K,K3
32017,D,D1
32018,B,B3
32019,M,M2
32020,Q,Q2
32021,S,S3
32022,N,N2
32023,S,S3
32024,J,J2
32025,E,E2
32026,F,F1
32027,N,N1
32028,Q,Q1
32029,B,B1
32030,B,B2
32031,D,D3
32032,Q,Q2
32033,F,F3
32034,F,F1
32035,D,D2
32036,U,U2
32037,M,M2
32038,J,J1
32039,R,R2
32040,K,K3
32041,G,G1
32042,G,G2
32043,W,W1
32044,E,E2
32045,M,M1
32046,N,N1
32047,L,L1
32048,S,S1
32049,M,M1
32050,C,C3
32051,J,J2
32052,E,E2
32053,J,J1
32054,W,W1
32055,G,G2
32056,N,N3
32057,R,R1
32058,D,D1
32059,J,J1
32060,E,E2
32061,C,C1
32062,R,R3
32063,U,U3
32064,E,E2
32065,S,S3
32066,B,B2
32067,F,F1
32068,U,U1
32069,M,M1
32070,D,D2
32071,D,D1
32072,B,B2
32073,K,K2
32074,O,O2
32075,C,C2
32076,N,N1
32077,L,L3
32078,K,K2
32079,K,K2
32080,W,W2
32081,M,M1
32082,U,U1
32083,R,R3
32084,R,R3
32085,E,E3
32086,K,K3
32087,B,B3
32088,K,K1
32089,D,D3
32090,U,U3
32091,J,J2
32092,U,U3
32093,F,F3
32094,S,S1
32095,E,E2
32096,Q,Q1
32097,E,E2
32098,R,R3
32099,R,R3
32100,E,E3
32101,R,R1
32102,K,K1
32103,E,E3
32104,R,R3
32105,S,S2
32106,G,G2
32107,M,M1
32108,R,R3
32109,B,B3
32110,F,F3
32111,G,G1
32112,B,B3
32113,Q,Q2
32114,M,M1
32115,N,N3
32116,J,J1
32117,W,W1
32118,F,F1
32119,M,M1
32120,J,J1
32121,J,J1
32122,G,G3
32123,W,W3
32124,F,F2
32125,G,G2
32126,E,E2
32127,J,J2
32128,Q,Q3
32129,L,L2
32130,E,E1
32131,K,K2
32132,R,R2
32133,M,M3
32134,W,W1
32135,N,N2
32136,K,K2
32137,M,M1
32138,N,N3
32139,Q,Q3
32140,R,R1
32141,Q,Q3
32142,M,M1
32143,J,J3
32144,B,B1
32145,B,B2
32146,R,R3
32147,N,N2
32148,J,J1
32149,S,S1
32150,N,N3
32151,F,F1
32152,F,F1
32153,C,C2
32154,K,K2
32155,K,K3
32156,S,S3
32157,E,E2
32158,J,J3
32159,R,R2
32160,Q,Q1
32161,R,R3
32162,W,W1
32163,U,U1
32164,U,U1
32165,C,C3
32166,K,K1
32167,D,D1
32168,C,C1
32169,U,U1
32170,J,J2
32171,F,F2
32172,J,J1
32173,E,E1
32174,R,R3
32175,C,C3
32176,D,D1
32177,Q,Q3
32178,W,W2
32179,G,G2
32180,C,C3
32181,C,C1
32182,G,G1
32183,B,B2
32184,N,N1
32185,K,K1
32186,J,J2
32187,N,N2
32188,J,J2
32189,U,U2
32190,S,S1
32191,G,G3
32192,O,O3
32193,U,U1
32194,F,F2
32195,B,B2
32196,Q,Q3
32197,W,W3
32198,L,L1
32199,R,R2
32200,B,B3
32201,J,J1
32202,R,R1
32203,B,B3
32204,Q,Q1
32205,M,M3
32206,F,F1
32207,L,L3
32208,M,M1
32209,Q,Q2
32210,C,C2
32211,U,U2
32212,S,S2
32213,N,N3
32214,N,N3
32215,R,R1
32216,J,J2
32217,N,N3
32218,D,D2
32219,R,R1
32220,R,R2
32221,C,C2
32222,L,L2
32223,W,W1
32224,G,G2
32225,E,E3
32226,F,F3
32227,B,B3
32228,M,M2
32229,L,L3
32230,K,K1
32231,N,N2
32232,F,F2
32233,K,K1
32234,N,N1
32235,E,E1
32236,D,D1
32237,E,E1
32238,Q,Q2
32239,W,W3
32240,R,R2
32241,B,B1
32242,Q,Q3
32243,O,O3
32244,U,U1
32245,R,R3
32246,G,G3
32247,L,L1
32248,E,E1
32249,O,O1
32250,M,M2
32251,J,J2
32252,J,J2
32253,N,N2
32254,L,L2
32255,E,E2
32256,E,E2
32257,E,E1
32258,R,R3
32259,U,U1
32260,W,W1
32261,R,R3
32262,F,F2
32263,S,S3
32264,R,R2
32265,J,J3
32266,B,B3
32267,O,O2
32268,C,C2
32269,S,S1
32270,R,R1
32271,W,W3
32272,O,O2
32273,S,S3
32274,S,S3
32275,F,F1
32276,J,J3
32277,F,F1
32278,B,B1
32279,Q,Q1
32280,S,S2
32281,E,E3
32282,R,R3
32283,U,U2
32284,E,E2
32285,E,E1
32286,G,G3
32287,C,C1
32288,R,R3
32289,R,R2
32290,R,R3
32291,B,B3
32292,R,R1
32293,N,N3
32294,R,R1
32295,Q,Q3
32296,F,F3
32297,N,N2
32298,B,B1
32299,J,J3
32300,E,E2
32301,C,C1
32302,D,D2
32303,S,S3
32304,S,S3
32305,E,E1
32306,E,E3
32307,R,R3
32308,O,O1
32309,K,K3
32310,U,U1
32311,M,M1
32312,M,M2
32313,Q,Q3
32314,E,E1
32315,D,D2
32316,L,L3
32317,J,J2
32318,Q,Q3
32319,E,E2
32320,G,G2
32321,E,E3
32322,F,F1
32323,M,M2
32324,S,S2
32325,J,J2
32326,D,D2
32327,M,M3
32328,F,F2
32329,J,J2
32330,M,M1
32331,C,C2
32332,Q,Q2
32333,M,M2
32334,U,U3
32335,D,D2
32336,R,R2
32337,J,J2
32338,O,O2
32339,U,U1
32340,U,U1
32341,O,O3
32342,R,R3
32343,N,N3
32344,M,M2
32345,S,S2
32346,D,D3
32347,J,J2
32348,U,U1
32349,G,G2
32350,N,N2
32351,R,R2
32352,B,B3
32353,F,F2
32354,G,G1
32355,U,U2
32356,D,D2
32357,L,L2
32358,E,E2
32359,J,J1
32360,K,K3
32361,M,M3
32362,M,M2
32363,S,S2
32364,C,C3
32365,B,B1
32366,D,D3
32367,J,J1
32368,G,G1
32369,F,F2
32370,G,G2
32371,W,W3
32372,E,E2
32373,K,K1
32374,U,U1
32375,F,F2
32376,W,W1
32377,M,M1
32378,J,J1
32379,E,E2
32380,R,R1
32381,Q,Q3
32382,M,M1
32383,J,J1
32384,S,S1
32385,Q,Q3
32386,M,M2
32387,E,E1
32388,E,E1
32389,L,L1
32390,R,R3
32391,C,C1
32392,R,R2
32393,G,G1
32394,N,N3
32395,L,L2
32396,L,L3
32397,D,D3
32398,U,U1
32399,K,K2
32400,M,M2
32401,R,R3
32402,C,C1
32403,W,W1
32404,L,L3
32405,B,B3
32406,S,S1
32407,W,W2
32408,G,G2
32409,D,D1
32410,S,S2
32411,K,K1
32412,S,S2
32413,G,G1
32414,U,U2
32415,J,J1
32416,N,N3
32417,B,B1
32418,W,W2
32419,L,L2
32420,B,B1
32421,M,M2
32422,E,E3
32423,Q,Q2
32424,K,K2
32425,S,S3
32426,E,E1
32427,E,E1
32428,F,F1
32429,O,O1
32430,J,J3
32431,J,J1
32432,B,B1
32433,E,E2
32434,S,S1
32435,L,L3
32436,S,S3
32437,J,J3
32438,N,N1
32439,G,G3
32440,W,W2
32441,S,S1
32442,R,R3
32443,W,W1
32444,E,E2
32445,G,G3
32446,C,C2
32447,U,U1
32448,Q,Q2
32449,D,D1
32450,R,R2
32451,E,E2
32452,G,G3
32453,L,L3
32454,R,R2
32455,R,R3
32456,Q,Q3
32457,J,J2
32458,R,R3
32459,S,S2
32460,U,U1
32461,G,G2
32462,Q,Q3
32463,G,G1
32464,K,K3
32465,N,N2
32466,C,C1
32467,G,G1
32468,E,E2
32469,E,E1
32470,M,M1
32471,C,C3
32472,G,G2
32473,Q,Q3
32474,G,G3
32475,N,N3
32476,R,R2
32477,U,U2
32478,E,E2
32479,F,F2
32480,D,D3
32481,Q,Q1
32482,S,S2
32483,E,E1
32484,U,U2
32485,R,R3
32486,E,E2
32487,N,N2
32488,F,F2
32489,F,F2
32490,G,G2
32491,R,R1
32492,D,D1
32493,S,S1
32494,N,N2
32495,L,L1
32496,D,D2
32497,C,C1
32498,U,U3
32499,R,R3
32500,B,B3
32501,M,M3
32502,N,N2
32503,U,U1
32504,M,M3
32505,E,E2
32506,G,G3
32507,K,K2
32508,J,J3
32509,S,S1
32510,N,N2
32511,Q,Q3
32512,S,S1
32513,M,M2
32514,U,U2
32515,E,E2
32516,B,B3
32517,S,S1
32518,N,N1
32519,K,K3
32520,D,D1
32521,N,N3
32522,U,U2
32523,E,E3
32524,S,S1
32525,S,S2
32526,F,F2
32527,D,D3
32528,U,U2
32529,E,E2
32530,U,U3
32531,L,L3
32532,E,E3
32533,N,N3
32534,M,M2
32535,L,L3
32536,G,G1
32537,U,U2
32538,Q,Q1
32539,B,B2
32540,M,M1
32541,C,C3
32542,L,L3
32543,N,N2
32544,E,E1
32545,L,L1
32546,D,D2
32547,U,U2
32548,F,F3
32549,F,F1
32550,M,M2
32551,L,L2
32552,W,W1
32553,K,K1
32554,N,N2
32555,O,O1
32556,G,G1
32557,U,U3
32558,U,U2
32559,B,B2
32560,N,N2
32561,L,L2
32562,B,B2
32563,K,K1
32564,B,B2
32565,L,L3
32566,S,S1
32567,M,M1
32568,S,S3
32569,E,E2
32570,J,J2
32571,U,U3
32572,E,E2
32573,U,U3
32574,J,J3
32575,M,M3
32576,S,S2
32577,Q,Q1
32578,G,G2
32579,R,R1
32580,W,W1
32581,L,L2
32582,D,D3
32583,F,F3
32584,W,W1
32585,B,B3
32586,D,D1
32587,N,N2
32588,R,R3
32589,S,S2
32590,N,N1
32591,C,C3
32592,D,D3
32593,W,W3
32594,R,R1
32595,D,D2
32596,L,L1
32597,R,R1
32598,N,N2
32599,Q,Q3
32600,G,G1
32601,J,J1
32602,M,M2
32603,N,N2
32604,M,M1
32605,N,N3
32606,U,U2
32607,K,K1
32608,R,R2
32609,U,U3
32610,R,R3
32611,B,B1
32612,Q,Q2
32613,D,D1
32614,E,E2
32615,J,J2
32616,M,M2
32617,R,R1
32618,U,U2
32619,G,G1
32620,U,U2
32621,N,N2
32622,N,N3
32623,K,K3
32624,K,K3
32625,E,E1
32626,Q,Q3
32627,B,B1
32628,E,E1
32629,L,L2
32630,U,U3
32631,W,W3
32632,E,E1
32633,N,N2
32634,E,E3
32635,C,C2
32636,W,W2
32637,C,C2
32638,O,O1
32639,W,W3
32640,M,M2
32641,W,W3
32642,D,D2
32643,B,B2
32644,F,F2
32645,O,O3
32646,K,K2
32647,G,G3
32648,M,M2
32649,U,U2
32650,R,R3
32651,D,D1
32652,B,B1
32653,W,W1
32654,E,E2
32655,S,S3
32656,C,C2
32657,C,C1
32658,K,K2
32659,J,J1
32660,M,M2
32661,N,N1
32662,M,M1
32663,F,F3
32664,U,U2
32665,G,G2
32666,D,D2
32667,J,J2
32668,G,G3
32669,E,E2
32670,N,N1
32671,W,W1
32672,K,K1
32673,W,W2
32674,U,U1
32675,J,J1
32676,J,J3
32677,K,K3
32678,M,M1
32679,F,F3
32680,Q,Q3
32681,M,M3
32682,J,J2
32683,F,F1
32684,Q,Q1
32685,R,R1
32686,S,S1
32687,F,F3
32688,U,U3
32689,U,U3
32690,E,E1
32691,O,O1
32692,C,C1
32693,D,D3
32694,S,S1
32695,R,R2
32696,O,O1
32697,J,J3
32698,Q,Q3
32699,N,N3
32700,W,W1
32701,N,N2
32702,Q,Q2
32703,R,R1
32704,K,K2
32705,O,O1
32706,D,D3
32707,N,N2
32708,L,L2
32709,G,G2
32710,N,N2
32711,J,J1
32712,C,C1
32713,J,J1
32714,K,K1
32715,R,R3
32716,F,F1
32717,M,M3
32718,C,C1
32719,U,U3
32720,G,G1
32721,D,D3
32722,Q,Q3
32723,N,N1
32724,E,E2
32725,Q,Q3
32726,S,S2
32727,D,D1
32728,O,O2
32729,J,J2
32730,D,D1
32731,O,O1
32732,O,O1
32733,K,K2
32734,B,B3
32735,U,U1
32736,,
32737,J,J3
32738,E,E2
32739,E,E3
32740,U,U1
32741,C,C2
32742,O,O2
32743,K,K2
32744,E,E2
32745,W,W1
32746,G,G3
32747,M,M1
32748,Q,Q1
32749,E,E2
32750,J,J1
32751,R,R3
32752,M,M1
32753,B,B1
32754,N,N2
32755,U,U2
32756,J,J2
32757,D,D2
32758,M,M3
32759,E,E3
32760,J,J3
32761,D,D2
32762,U,U3
32763,J,J2
32764,K,K1
32765,W,W1
32766,N,N2
32767,M,M1
32768,R,R1
32769,M,M3
32770,L,L2
32771,Q,Q3
32772,B,B3
32773,B,B3
32774,G,G3
32775,E,E3
32776,K,K3
32777,J,J1
32778,N,N3
32779,O,O2
32780,D,D2
32781,U,U3
32782,Q,Q3
32783,Q,Q3
32784,Q,Q2
32785,D,D1
32786,R,R1
32787,W,W1
32788,K,K1
32789,E,E1
32790,O,O3
32791,Q,Q3
32792,M,M2
32793,F,F3
32794,N,N1
32795,C,C1
32796,W,W1
32797,E,E1
32798,B,B1
32799,M,M3
32800,Q,Q2
32801,R,R2
32802,M,M3
32803,O,O3
32804,Q,Q3
32805,F,F1
32806,E,E3
32807,F,F3
32808,G,G1
32809,F,F3
32810,L,L2
32811,N,N1
32812,U,U3
32813,N,N1
32814,K,K1
32815,N,N2
32816,W,W1
32817,N,N3
32818,S,S1
32819,U,U3
32820,J,J1
32821,J,J2
32822,E,E3
32823,B,B1
32824,B,B2
32825,D,D2
32826,L,L2
32827,L,L2
32828,J,J1
32829,L,L2
32830,G,G2
32831,B,B1
32832,K,K3
32833,99,99
32834,G,G2
32835,D,D3
32836,S,S2
32837,D,D3
32838,F,F3
32839,B,B2
32840,U,U2
32841,E,E1
32842,E,E1
32843,S,S2
32844,M,M1
32845,J,J2
32846,D,D3
32847,S,S1
32848,N,N2
32849,R,R3
32850,U,U2
32851,S,S1
32852,L,L2
32853,D,D2
32854,F,F3
32855,D,D1
32856,L,L3
32857,U,U1
32858,S,S3
32859,C,C1
32860,K,K2
32861,B,B2
32862,U,U2
32863,S,S1
32864,K,K2
32865,J,J1
32866,R,R2
32867,M,M3
32868,K,K2
32869,G,G2
32870,B,B3
32871,M,M1
32872,N,N2
32873,E,E2
32874,S,S1
32875,U,U2
32876,U,U2
32877,B,B1
32878,S,S1
32879,F,F2
32880,S,S3
32881,S,S1
32882,L,L3
32883,M,M3
32884,E,E3
32885,L,L2
32886,Q,Q2
32887,Q,Q2
32888,E,E3
32889,M,M1
32890,M,M3
32891,M,M3
32892,R,R3
32893,E,E2
32894,O,O3
32895,K,K3
32896,D,D1
32897,J,J1
32898,D,D2
32899,F,F1
32900,N,N3
32901,E,E3
32902,J,J3
32903,F,F3
32904,U,U2
32905,N,N3
32906,M,M1
32907,N,N2
32908,E,E1
32909,L,L1
32910,D,D3
32911,Q,Q3
32912,B,B3
32913,G,G2
32914,D,D1
32915,G,G2
32916,D,D2
32917,J,J1
32918,Q,Q2
32919,R,R2
32920,N,N3
32921,J,J1
32922,W,W1
32923,J,J3
32924,U,U2
32925,W,W2
32926,U,U2
32927,K,K1
32928,N,N2
32929,M,M3
32930,R,R3
32931,G,G2
32932,99,99
32933,N,N3
32934,W,W2
32935,M,M3
32936,W,W3
32937,B,B3
32938,S,S1
32939,U,U1
32940,N,N1
32941,U,U3
32942,L,L1
32943,N,N1
32944,D,D2
32945,99,99
32946,B,B3
32947,O,O1
32948,E,E2
32949,F,F1
32950,G,G2
32951,F,F3
32952,O,O1
32953,K,K1
32954,C,C1
32955,L,L2
32956,Q,Q3
32957,W,W3
32958,Q,Q2
32959,G,G1
32960,S,S1
32961,L,L3
32962,C,C2
32963,D,D3
32964,M,M1
32965,S,S1
32966,N,N1
32967,J,J1
32968,L,L3
32969,L,L1
32970,M,M1
32971,K,K2
32972,K,K1
32973,C,C2
32974,M,M3
32975,Q,Q2
32976,B,B2
32977,J,J3
32978,U,U1
32979,D,D1
32980,R,R3
32981,N,N3
32982,M,M2
32983,S,S3
32984,M,M3
32985,C,C3
32986,L,L1
32987,R,R3
32988,O,O1
32989,O,O3
32990,W,W1
32991,C,C3
32992,L,L1
32993,G,G2
32994,B,B1
32995,S,S2
32996,N,N2
32997,W,W1
32998,M,M2
32999,F,F2
33000,M,M2
33001,S,S3
33002,K,K3
33003,E,E3
33004,U,U3
33005,L,L3
33006,Q,Q1
33007,L,L3
33008,D,D3
33009,M,M3
33010,U,U3
33011,C,C2
33012,M,M2
33013,N,N3
33014,E,E1
33015,F,F3
33016,G,G3
33017,R,R2
33018,N,N2
33019,M,M3
33020,E,E2
33021,L,L1
33022,J,J2
33023,K,K3
33024,G,G2
33025,E,E2
33026,E,E2
33027,D,D1
33028,D,D2
33029,F,F2
33030,Q,Q2
33031,S,S2
33032,E,E3
33033,E,E2
33034,G,G3
33035,B,B3
33036,G,G3
33037,E,E3
33038,M,M2
33039,N,N1
33040,R,R1
33041,N,N3
33042,L,L3
33043,O,O1
33044,S,S3
33045,K,K2
33046,C,C1
33047,M,M3
33048,S,S3
33049,Q,Q2
33050,M,M3
33051,E,E2
33052,N,N2
33053,J,J3
33054,R,R1
33055,D,D1
33056,F,F2
33057,W,W2
33058,K,K2
33059,W,W1
33060,R,R1
33061,M,M3
33062,Q,Q1
33063,R,R1
33064,F,F1
33065,M,M2
33066,G,G1
33067,M,M3
33068,R,R2
33069,N,N1
33070,N,N1
33071,Q,Q1
33072,S,S2
33073,L,L3
33074,C,C2
33075,K,K1
33076,E,E1
33077,G,G1
33078,J,J1
33079,D,D2
33080,D,D2
33081,N,N3
33082,F,F3
33083,Q,Q2
33084,D,D3
33085,G,G2
33086,Q,Q2
33087,B,B3
33088,E,E3
33089,U,U1
33090,B,B1
33091,J,J1
33092,O,O2
33093,L,L3
33094,Q,Q1
33095,D,D1
33096,S,S3
33097,W,W1
33098,J,J3
33099,G,G3
33100,S,S2
33101,W,W2
33102,U,U3
33103,B,B2
33104,Q,Q3
33105,Q,Q2
33106,G,G3
33107,K,K3
33108,R,R1
33109,L,L3
33110,E,E2
33111,U,U1
33112,C,C3
33113,E,E2
33114,K,K1
33115,N,N2
33116,M,M3
33117,M,M2
33118,K,K1
33119,D,D2
33120,E,E3
33121,G,G3
33122,G,G3
33123,K,K2
33124,R,R3
33125,J,J3
33126,M,M3
33127,J,J1
33128,D,D3
33129,C,C3
33130,L,L2
33131,B,B3
33132,M,M1
33133,B,B2
33134,Q,Q3
33135,R,R3
33136,G,G3
33137,D,D1
33138,G,G2
33139,S,S3
33140,R,R1
33141,M,M1
33142,L,L3
33143,F,F3
33144,J,J3
33145,D,D1
33146,W,W2
33147,O,O1
33148,L,L1
33149,F,F3
33150,F,F2
33151,N,N2
33152,R,R2
33153,M,M3
33154,G,G3
33155,K,K2
33156,J,J2
33157,E,E2
33158,Q,Q2
33159,M,M1
33160,K,K3
33161,B,B2
33162,O,O1
33163,D,D2
33164,B,B2
33165,C,C1
33166,N,N2
33167,E,E3
33168,E,E2
33169,N,N3
33170,N,N3
33171,R,R3
33172,N,N3
33173,B,B1
33174,K,K2
33175,N,N1
33176,C,C2
33177,D,D1
33178,U,U1
33179,M,M1
33180,G,G3
33181,Q,Q3
33182,L,L3
33183,R,R2
33184,B,B2
33185,E,E1
33186,W,W3
33187,E,E1
33188,M,M3
33189,U,U2
33190,L,L3
33191,C,C1
33192,M,M3
33193,Q,Q3
33194,U,U2
33195,N,N3
33196,W,W1
33197,B,B2
33198,O,O1
33199,N,N3
33200,K,K1
33201,M,M1
33202,M,M1
33203,M,M3
33204,F,F2
33205,S,S1
33206,B,B3
33207,E,E1
33208,L,L2
33209,B,B1
33210,Q,Q1
33211,L,L1
33212,K,K1
33213,E,E1
33214,D,D2
33215,S,S1
33216,U,U2
33217,D,D2
33218,C,C1
33219,M,M3
33220,B,B1
33221,U,U1
33222,U,U2
33223,K,K1
33224,U,U2
33225,L,L1
33226,N,N3
33227,N,N1
33228,E,E2
33229,S,S2
33230,U,U1
33231,S,S3
33232,G,G2
33233,J,J3
33234,R,R3
33235,G,G2
33236,R,R3
33237,S,S1
33238,W,W2
33239,L,L2
33240,G,G3
33241,B,B3
33242,O,O3
33243,K,K3
33244,F,F3
33245,D,D2
33246,J,J1
33247,D,D2
33248,G,G3
33249,S,S2
33250,B,B3
33251,Q,Q1
33252,B,B1
33253,J,J1
33254,D,D3
33255,U,U1
33256,S,S2
33257,L,L3
33258,N,N3
33259,U,U2
33260,O,O1
33261,W,W2
33262,L,L3
33263,M,M3
33264,N,N3
33265,D,D2
33266,F,F1
33267,D,D1
33268,L,L3
33269,E,E3
33270,Q,Q3
33271,K,K3
33272,M,M1
33273,Q,Q2
33274,E,E1
33275,F,F1
33276,N,N3
33277,Q,Q2
33278,J,J3
33279,C,C3
33280,N,N3
33281,C,C1
33282,L,L1
33283,W,W2
33284,C,C1
33285,D,D3
33286,W,W2
33287,F,F3
33288,E,E1
33289,M,M1
33290,E,E2
33291,O,O2
33292,E,E1
33293,W,W3
33294,W,W1
33295,E,E3
33296,J,J1
33297,D,D1
33298,E,E1
33299,O,O2
33300,Q,Q2
33301,W,W3
33302,B,B3
33303,N,N3
33304,E,E2
33305,M,M3
33306,D,D2
33307,L,L2
33308,U,U2
33309,E,E3
33310,B,B3
33311,E,E3
33312,K,K3
33313,C,C1
33314,F,F3
33315,D,D1
33316,L,L3
33317,F,F3
33318,M,M1
33319,R,R1
33320,F,F3
33321,N,N1
33322,F,F3
33323,W,W1
33324,J,J2
33325,C,C1
33326,R,R2
33327,U,U1
33328,R,R3
33329,B,B2
33330,B,B3
33331,B,B2
33332,M,M1
33333,M,M1
33334,Q,Q1
33335,C,C3
33336,W,W3
33337,O,O1
33338,U,U3
33339,U,U2
33340,U,U3
33341,Q,Q3
33342,J,J3
33343,M,M2
33344,S,S3
33345,O,O3
33346,Q,Q1
33347,F,F3
33348,U,U3
33349,D,D2
33350,K,K2
33351,G,G1
33352,C,C2
33353,U,U2
33354,G,G1
33355,J,J3
33356,R,R2
33357,E,E2
33358,U,U2
33359,G,G1
33360,Q,Q1
33361,K,K2
33362,L,L2
33363,S,S2
33364,Q,Q2
33365,G,G1
33366,B,B2
33367,R,R2
33368,F,F3
33369,J,J2
33370,B,B3
33371,F,F1
33372,U,U2
33373,M,M3
33374,R,R3
33375,E,E2
33376,E,E2
33377,M,M1
33378,E,E1
33379,D,D3
33380,C,C2
33381,L,L1
33382,N,N1
33383,J,J1
33384,L,L1
33385,B,B2
33386,Q,Q2
33387,G,G1
33388,E,E3
33389,K,K1
33390,J,J3
33391,J,J1
33392,L,L1
33393,O,O2
33394,O,O1
33395,K,K1
33396,C,C3
33397,C,C2
33398,M,M1
33399,C,C2
33400,K,K1
33401,F,F3
33402,M,M3
33403,R,R3
33404,N,N3
33405,F,F2
33406,M,M3
33407,S,S3
33408,M,M3
33409,M,M2
33410,F,F3
33411,C,C1
33412,D,D1
33413,E,E3
33414,C,C3
33415,O,O3
33416,D,D2
33417,O,O3
33418,C,C2
33419,R,R2
33420,K,K3
33421,N,N1
33422,L,L3
33423,G,G2
33424,J,J3
33425,D,D1
33426,E,E2
33427,M,M1
33428,J,J1
33429,S,S1
33430,C,C1
33431,S,S3
33432,N,N3
33433,U,U3
33434,G,G2
33435,S,S1
33436,E,E1
33437,S,S2
33438,U,U3
33439,D,D1
33440,F,F1
33441,Q,Q3
33442,R,R2
33443,B,B3
33444,M,M1
33445,Q,Q3
33446,S,S3
33447,Q,Q3
33448,D,D1
33449,S,S2
33450,G,G2
33451,N,N3
33452,W,W2
33453,J,J2
33454,J,J3
33455,E,E1
33456,L,L1
33457,R,R1
33458,L,L2
33459,J,J1
33460,F,F1
33461,O,O1
33462,Q,Q1
33463,B,B3
33464,W,W2
33465,B,B3
33466,K,K1
33467,R,R1
33468,U,U2
33469,R,R3
33470,B,B2
33471,B,B2
33472,G,G2
33473,S,S2
33474,O,O1
33475,E,E1
33476,J,J2
33477,G,G3
33478,E,E2
33479,O,O1
33480,G,G2
33481,B,B1
33482,U,U3
33483,E,E3
33484,J,J3
33485,E,E1
33486,G,G2
33487,E,E1
33488,R,R2
33489,M,M1
33490,M,M2
33491,E,E1
33492,Q,Q2
33493,B,B2
33494,F,F2
33495,C,C3
33496,D,D1
33497,Q,Q1
33498,M,M2
33499,K,K3
33500,J,J3
33501,N,N2
33502,R,R2
33503,J,J2
33504,S,S2
33505,W,W2
33506,G,G1
33507,E,E2
33508,M,M1
33509,B,B3
33510,M,M2
33511,J,J2
33512,B,B3
33513,R,R3
33514,M,M3
33515,U,U2
33516,M,M3
33517,U,U2
33518,Q,Q1
33519,D,D3
33520,F,F3
33521,E,E2
33522,U,U3
33523,K,K1
33524,L,L1
33525,D,D3
33526,C,C1
33527,J,J1
33528,M,M3
33529,E,E1
33530,W,W2
33531,F,F1
33532,G,G2
33533,B,B3
33534,B,B3
33535,M,M1
33536,K,K3
33537,C,C2
33538,S,S2
33539,J,J2
33540,M,M3
33541,D,D3
33542,U,U2
33543,D,D3
33544,D,D2
33545,W,W1
33546,D,D3
33547,S,S2
33548,D,D1
33549,E,E2
33550,M,M3
33551,S,S2
33552,F,F3
33553,W,W3
33554,M,M2
33555,F,F3
33556,U,U3
33557,U,U3
33558,S,S2
33559,L,L3
33560,E,E3
33561,B,B2
33562,J,J2
33563,N,N2
33564,J,J2
33565,C,C2
33566,M,M1
33567,B,B3
33568,B,B1
33569,C,C2
33570,O,O2
33571,W,W2
33572,U,U3
33573,K,K3
33574,O,O2
33575,M,M1
33576,U,U1
33577,W,W2
33578,R,R3
33579,C,C3
33580,D,D1
33581,S,S1
33582,M,M1
33583,C,C2
33584,L,L1
33585,D,D1
33586,Q,Q1
33587,N,N1
33588,O,O1
33589,Q,Q2
33590,B,B2
33591,J,J3
33592,E,E2
33593,K,K1
33594,E,E1
33595,J,J3
33596,E,E1
33597,N,N2
33598,B,B2
33599,,F1
33600,E,E1
