id,title,description,media,measurements,Public_Art_Data_id
112,Ornamental Iron in Leather/Contradictory Vibrations?,'A mixed-media Installation of leather and fabric forms strung together on wire.  The artist took her inspiration from ornamental ironwork and pieced quilts.',"Recycled fabric and leather, metal","72"" x 96"" x 4""",
113,Points of View,'Two pairs of handles for the entrance for the courts lobby recapitulate the two cones of the lobby sculpture.  The handles are cast and turned bronze capped with stainless steel.',Bronze and stainless steel,"36"" x 5""",
114,Codes & Protocol,"'21 Bronze Medallions, Mounted on a grid on the south wall at the junctions between the stone sections are oval medallions illustrating aspects of police culture in Seattle.  The medallions are 3' x 5' and are cast bronze relief.  '",Bronze,"4' 3/4"" x 3"" x 3/8""",
115,Codes & Protocol,'The handles for the police lobby make use of the tooled leather basket weave pattern seen in larger scale on the walls of the lobby.',Cast bronze and stainless steel,"2 @ 24"" x 1 /34"" x 3 1/4""",
116,Codes & Protocol,"'Stone plinths which enfold bronze elements which also serve as benches.  Objects sit on the stone plinths.  South plinth, a bronze police dress hat and a ring of keys. North Plinth,is a base for a bronze sculpture.'",Limestone and cast bronze,"3' x 11' x 2' 3""-bench 6"" x 11"" x 11"" cast bronze hat, 5 1/2"" x 2"" x 2"" cast bronze keys",
117,Codes & Protocol,"'Bronze Panels-On the north and south 14 ft. lobby walls, 6 ft wide bands of bronze form textured focal points.  Inspired by the basket weave of police belts and other leather accoutrements, this cast bronze is a scaled up version of this texture. '","Bronze ""LuminOre"" Cold Cast over Mixed Media and Steel Frame limestone and architectural plaster",2 @14' x 6' x 2',
118,Wings,"'A 3-dimensional two part sculpture depicting wings with photo collage insets, 2’5” x 7’3” x 4” of Poplar and Spruce wood, hardware cloth/screening material and Photographs, mounted in a wall niche.'",Wood and photo collage,"2 pieces; 17"" x 48"" x 4"" and 16"" x 36"" x 4""",
119,Contour,"'Lighting illuminates a vertical screen of 36 different plants that, over time, will grow up a stainless steel mesh to cover up most of the building.  The fluorescent lights are located in the two feet of space between the brick walls of the building and the mesh.  Light surrounds the building, sandwiched between the brick walls and vertical garden.  Together, nature and light augment the perception of a building that never looks the same.'",Fluorescent light,38 ' x 91' x 95',
120,Dreaming in Color,"'Designed as a theatrical extension of the building, the Kreielsheimer Promenade is lined with a field of nine, 30-foot-tall metal scrims. Light paintings are projected onto the scrims.'","9 large scale mesh scrims, self-contained light (2 to 3 per 900 to 2100 sq.ft.)",9 scrims 300 ft. long scrims range from 30' x 70' to 30' x 40',
121,Ballard Gateway,'Eight sculptures that represent a different aspect of the life and history of Ballard. .01-Fishnet;  .02-Mechanical; .03-Scandinavian; 1 .04-Scandinavian; 2 .05-Sawblades;  .06-Fern; .07-Props; .08-Native American.',Plate aluminum and powder coating,"8  @ 10' x 21"" x 16""",
122,Meadowbrook Pond Kiosk,'An informational kiosk located adjacent to the entry of the parking lot to the site near the horticultural center.  The kiosk is a painted tubular steel frame with a wood frame roof beam and rafter structure covered with sheet material and galvanized corrugated roofing.',"Steel, aluminum, fir, corrugated metal polycarbonate, porcelain enamel and terrazzo",10' x 10' x 13',
123,Temple of Power,'6' tall recycled ceramic bushings with orange glass globes at their top.  The bushings are mounted on top of 10'  steel columns set into the ground by small individual circular cement pads topped with a half dome ceiling.',"Steel, recycled electrical bushings, LED's, processors, lighting arrestors, and paint",30' x 30' x 30',
124,"Witness and Dilemma, Levels, Weights and Measures","'The courts stairwell artwork is comprised of 24 bronze sculptures mounted in a grid pattern on a 26 ft. architectural plaster wall.  Each object is a metaphor, symbol or rebus, a puzzle within a larger puzzles that challenges the viewer.'",Bronze LuminOre Cold Cast over Mixed Media,12' x 9' x 2' Sculpture (24 Objects) and 26' x 10' Architectural Plaster Wall,
125,Dendritic Root Floor,"'An arrangement of stream courses that, on a map or viewed from the air, resemble branching habit of certain trees, such as oaks or maples. Stylized root patterns which have been sandblasted and stained into the concrete floor.'",Sandblasted and stained concrete,Approximately 80 sq ft.,
126,Together as One,'Animals and other effects of nature on a balance beam scale.',Cast bronze; enamel; stone; aluminum,"59""X24""X24""",
127,Snaking Root Ceiling,"'Four tree roots, harvested in the area, are suspended in the pitched-roof entry to the Education Center.  Loose material harvested with the roots, such as rocks remain, secured to the roots.  Three tree remnants are intertwined with five to seven root-like coils and lengths of blue krypton and green argon ligth tubes representing the flow of water and energy and referencing the operations of the watershed system.'","Neon and Krypton gas tubes, preserved old growth tree roots",Approx. 6' diameter by 6' deep,
128,The Forest Is Waiting,'A series of exterior sculptural elements that embellish the architectural façade of the library.  Concepts for the artwork are taken from the nearby Longfellow Creek Watershed.  ',Hand forged steel,"46"" x 44.5"" Bunchberry; Oregon Grape 46"" x 44.5""; Stream Orchid 46"" x 44""; Western Bleeding Heart 46"" x 44.5""; Trillium Buttons 36"" diam x 12""d; Red Huckleberry 6'6"" x 5'6"" x 1''; Sitka Willow Leaf Bench 7'long x 3'w x 1'5""h",
129,Common Ground,'imagery rooted in both our ancient heritage and folk traditions (of various persons)  is meant to speak to a common humanity. Neither narrative nor hierarchical it is about harmony and balance.',Byzantine glass mosaic,"48"" x 72"" x 1.25""",
130,Justice is Served: Celebrating the People Who Work For a Change,'In this work the artist addresses the subject of community service in the name of justice. Each artwork portrays a Seattle citizen whose heroic example has made a positive and lasting impact on the community.  ',"Acrylic, collage and varnish on recycled tin trays","36"" x 96"" x 1 1/2""",
131,"Witness and Dilemma, Levels, Weights and Measures","'The courts stairwell artwork is comprised of 24 bronze sculptures mounted in a grid pattern on a 26 ft. architectural plaster wall.  Each object is a metaphor, symbol or rebus, a puzzle within a larger puzzles that challenges the viewer.'",Bronze LuminOre Cold Cast over Mixed Media,12' x 9' x 2' Sculpture (24 Objects) and 26' x 10' Architectural Plaster Wall,
132,Listening,'A four layered painting in two sections constructed out of acid free “weathered” paper glued to canvas inlaid into the wall niche.  ',"Mixed, collage, oil and acrylic paints, gesso matt medium, graphite, charcoal on weathered paper mounted on canvas","60"" x 82"" x 2  1/2"" in two panels",
133,"Wave, Rave, Cave",'A Belltown community initiated project.  Foam waves covered with pea gravel and lit with colored lighting.',"Foam, cement, pea gravel and specialized lighting",10' x 50' x 150',
134,Beckoning Cistern,"'Major element along the Growing Vine Street Project. A series of water catchments along Vine Street.  The tank receives rainwater from the adjacent roof watershed.  The cistern water is then available for community gardening, modulating rain events and providing an ongoing water source to water features, wetlands and gardens further down Vine Street.  The gesture of the hand emerging from the tank with the index finger tip in contact w/ the downspout references Adam reaching for God as depicted in the Sistine Chapel.'","Mixed Media, stainless steel, aluminum and water",16' x 12' plus 20' downspout,
135,Neototems Children's Garden,'Whale tail fountain surrounded by various bronze sea creatures and garden area.',Bronze," 5'5"" x 8' x 3'",
136,Biography of a Branch,"'Traditional Mosaic executed in small scale pieces of marble and glass of Italian origin.  Middle section, large scale branch from composed of many different types of plants representing the nature of our city.'",Marble and Italian glass,"40"" x 32' (ft) x 1/2""",
137,Twine and Branch,'42 faux wood panels with a sandblasted image applied and painted.  Panels span the north wall of the Pavilion.',Plastic laminate over MDF and acrylic paint,"42 panels @ 26"" x 60"" x 1/8""",
138,DNA Wave Wall,"'Pattern along retaining wall of bridge.  The pattern could be interpreted as wave forms or even DNA, making reference to the bridge's proximity to the Immunex location.'",Concrete   15th Avenue W and W Galer Street,"Pattern Layout 5' x 10' Concrete Facia Panels 7,448 sq.ft.",
139,4 (Where shall I go ahead?),'Etched into the top of each 23 granite cubes is an image or block of text that is referential to the history of the railroad and the area.  The title 4 refers to the Morse code abbreviation for Where shall I go ahead? Used traditionally by the railroad.',Sandblasted Granite,"23 pieces, each 500 lbs 18"" x 18"" x 18""",
140,Salmon Waves,'Seven stainless steel waves varying from 6 to 9 ft. high.',"Stainless steel, fasteners, blue LED light and digital electronics",7 Stainless steel waves each differs in size and scale.  Area covered by waves is 350 sq. ft.,
141,"Plynth and Pylon from the Project ""Vista""",'Each stainless steel landmark is incised with waterjet cut calligraphy created by Alex Wu.  By deconstructing the characters from a confucian proverb and repositioning them according to the laws of chance-Artist Statement  Pylon is a vertical slightly larger',Stainless steel,".01 Plynth:  42"" x 132"" x 18""           .02 Pylon: 84"" x 24"" x 24""",
142,"Hydro Roots from the project ""Vista""","'Cast concrete and stainless steel tree planters.  The ""foundation of the concept is the give and receive relationship between roots and water."" G13'",Concrete and stainless steel,"24 x 90 x 6""",
143,Conductive Paths,'Terrazzo pathways reference the flow of energy within the complex weave of electrical cable using images that honor the work and service of Seattle City Light.',"Terrazzo, stained concrete and stainless steel inserts",,
144,Light Bulb Bench,'Cast aluminum bench with three light bulbs in the center.',"Galvanized steel, cast and fabricated aluminum","90"" x 130"" x 96""",
145,Ballard Sculpture Garden,"'THE ARTWORK CONSISTS OF TWO MAJOR ELEMENTS - A CURVED, CONCRETE FRIEZE DEPICTING A REPEAT PATTERN OF PLANT AND ANIMAL FORMS WHICH ENCIRCLES THE TOP PORTION OF THE BUILDING'S CURVED FACADE, AND A SERIES OF MOCK-DELFT BLUE-AND-WHITE COLUMNS AND BENCHES NEST'",Glazed ceramic,,
146,Memory Place,'Five steel-mesh structures whose shapes allude to the subject of the enameled signs included in each structure.  Live bamboo hedges grow between each structure to separate the metal with the organic.',"Painted, enameled steel, concrete, living bamboo",16'(MAX)X12'X3',
147,Morphauna,"'The sculpture is a fabricated metal “moving collage of animal forms,” activated by the wind.  Mounted on a 20’ high pole, a steel framework supporting wing and fish tail forms rotates on various axles and hubs, generating movement in several different directions.'","Aluminum, brass, stainless steel, powder coated steel, pvc plastic","48X144X120""",
148,Inset-Anchor (Park) On Alki,"'Phase One of The West Seattle Cultural Trail begins at Alki Point and extends to Duwamish Head.  It is comprised of etched and inlaid stone pavers, bronze plaques, and viewing devices that merge the view of actual scenery with ghost images.  These elements combine with community stories and poems to celebrate the rich and diverse histories of the area.'",Bronze imbeds + blue stone pavers in concrete circle,6' diameter circle,
149,Viewers,"'The artworks includes five viewing devices.  With each device, the viewer sees an image that merges the view of actual scenery with a ghost image (composed of a computer enhanced slide).  The West Seattle Cultural Trail Phase I art elements (pavers, insets, plaques, medallions and viewing devices) are grouped into a common theme, interweaving nature and culture with the historic and botanical to showcase the memories associated with this place.'",Stainless steel.  Glass optics designed by ed mannery (oscarware),,
150,"Sea Otter, Salmon, And Raven",'',Red cedar,"40""X50""X1""",
151,Dwelling Places,"'Globe with figures of a gorilla, a mountain goat, a bear, an elephant, a turtle, and other animals on top.'","Cast bronze, enamel, stone","62""X32""X29""",
152,Evidence of Domestication,'A cow on a cart with wheels with a bowl of fruits and vegetables.',Cast bronze; enamel; stone; aluminum,"57""X24""x24""",
153,Signs of Life,'',"Concrete, sealer and water, brass.",DIAM.2',
154,Reflective Refuge at Meadowbrook Pond,'1) Sound Mirror; 2) Sound Reflector Wall; 3) Flood Pool and Flood Chute; 4) Tufa Cliff Wall and Site Feature; 5) Wetland Mosaic; 6)  Earth Sculpture and Perimeter Berms',Mixed Media,,
155,Bronze Plaques and Medallion,'',Bronze plaques with bronze medallions,"plaques: 24.5x9""; medallions: 3x3"" (approx)",
156,Lantern Gateway,"'Two columns topped with cube-shaped glass fixtures with steel plates perforated in a house pattern, a pair of notched cantilevered cedar glulam beams support a plexiglas and perforated aluminum roof panel.'",Concrete; brick; glass; aluminum; cedar; plexiglas; copper,,
157,House Finial,'Kinetic sculpture constructed of telescoping aluminum rods which support house forms brightly painted with intricate patterns.',Aluminum rod; aluminum plate,"84""X72""",
158,Skyline Canopies,"'Three layers of 1/4"" thick aluminum plate spaced 1-1/2"" apart, each a silhouette of a different house, each a different color, above both the front entrances to the building.'",Aluminum plate; steel channel; steel tube,"a: 27""X180""X6""; b: 27""X210""X6""",
159,Ripple Sculptures,'Concrete slabs and stepping stones with relief ripple patterns.',"Cast concrete, color pigment",VARIED,
160,Strata Benches,'Curved benches with a relief decoration suggestive of earth layers.',"Cast concrete, color pigment, aggregate",VARIED,
161,Whirr,'Six wind activated rotating wheels mounted to the exterior wall of activity room ( 5 wheels on north exterior wall; 1 wheel on south exterior wall).',"Cedar, aluminum, copper","6@ 84"" DIAM. 9"" DEEP",
162,Bottle Cap Children,"'Four large figurines, each a different color - yellow, red, purple, blue - made of fabric with painted faces, decorated with bottle caps.'","Fabric, bottle caps, chicken wire, plastic, spray paint, wood door slats","8'6""x24'8.25""",
163,Gazebo,'Steel gazebo with 4 plant-form decorated archways and wooden benches.',Hand-forged steel; wooden benches; granite pavers,8' X 3' X 3',
164,Acrobat Constellation,'Cast aluminum spirals set atop painted steel poles and mounted with aluminum sheet metal figures with inset fiber optic lights.',Aluminum; painted steel; fiber optic lights,3 FIGURES-25'H;23'H; 21'H,
165,In the Event,'28 video monitors display digitized and remixed images which move across the length of the wall; the monitors are set into a wall of black anodized aluminum panels cast with relief images of vegetation indigenous to the Puget Sound.',Aluminum; steel; video equipment; computers,"96""X 720""X 7""",
166,Hydraulis,'Percussive waterwall in which a programmed and patterned display of falling water is triggered by the movement of passing people.',"Stainless steel, aluminum, copper, brass, w/ electronics, water","8'x60'x1'7""",
167,Farmer's Pole,'Smooth pole topped with two eight foot high figures of a farming couple back to back.',Carved cedar,50'H,
168,Neototems,"'A pair of abstract cast bronze whales comprising a ""mother"" and a ""baby"" which appear to be swimming through the lawn.  They interpret a Native American whale myth recorded in inlaid bronze letters on the cast concrete tail of the mother whale.'",Cast bronze; concrete; bronze lettering,5'x25'x8' (LARGE WHALE); 4'x15'x4' (SMALL WHALE),
169,Untitled,"'Design adapted from George Tsutakawa's ""Century 21"" coin design for the 1963 World's Fair.'",Medallions: cast bronze and granite; seating: cast concrete and granite,"18"" dia bronze set into 6' granite; Seating: 14""",
170,Encircled Stream,'Vortex Fountain is granite and black anodized aluminum dish in which jets of water are released and recirculated; water draining through an off-set drain creates a series of oscillating rhythms and patterns in the central whirlpool.',"Anodized aluminum, granite, pump mechanism","14""x120""DIAM",
171,Framed Portraits,'Thirty-six cast framed images of varying subjects created by high school students working with the artists.',Cast aluminum,,
172,One Hundred and Twenty Ancestors,"'Approximately 12 human figures made from bottle caps, with faces of children, strung on green plastic-coated wire.'","Metal, plastic, fabric",,
173,Trophies,'Located above main entrance to the gymnasium where a curved  ceiling and backlit ledge highlight the artworks and consists of 8 trophy forms inspired by traditional designs from many cultures.',Cast recycled aluminum,"20""H",
174,Tribal Names,'Sandblasted names of six northwest Native American tribes on a concrete semi-circular seating wall surrounding the terrace; historically each of these tribes congregated on this site at the mouth of the Duamish River.',Sandblasted concrete,,
175,Proverbs and Icons,'Inset in stair risers to Garfield's main entrance using 14 quotations selected from over 100 submitted by community members; the quotations are separated by inlaid icons of various images which were created by local teenagers.',Cement; aluminum; stone; metal,"26x588""",
176,Children's Art Tiles,"'Various bronze tiles, each with a different design, set in pavement at several locations throughout the park.'",Bronze,,
177,Wall of Death,"'Underneath the University Bridge, next to the Burke Gilman trail. Spiral orange wall elevated and supported by six conical columns, reads 'Wall of Death' from bike path.'","Painted steel, aluminum, concrete",16x30x65',
178,Spirit of Washington,'Figure in the NWC Salish style (W.R.T. Bill Holm's stylistic definitions) shown in relief on a whale fin-shaped sculpture.',"Bronze, enamel, cast glass",,
179,Martin Luther King Jr. Memorial,"'Monumental black granite column with metal flourishes along its length, set in the middle of a circular fountain basin.'",Black granite; brick; stainless steel; bronze,,
180,Hammering Man,'Worker figure constructed of hollow fabricated steel with an aluminum mechanized arm on a three-horsepower electric motor.',Painted cor-ten steel,48'X 30',
181,Mesa,"'Cast-bronze picnic table on the surface of which are cast the names of extinct vertebrates overlaid by a map of the United States, a cityscape and drawings of a grizzly bear and a white-tailed deer--two species nearing extinction in the NW.'",Cast bronze,,
182,Sadako and the Thousand Paper Cranes,'Sculpture of a child raising her arm with an origami crane in her hand; always strung with colorful necklaces of origami cranes.',"Cast bronze, granite",,
183,The Unified Playing Field Theory,"'A gateway of painted steel atop brick bases leads to a sidewalk with bronze inlays depicting the days of the year and the alphabet, all of which forms a game devised by the artist.  The inlays lead inside the center, where they are set in colored concrete.'","Enamel on steel, masonry, bronze, concrete, ceramic","26'x21'x6'3""",
184,Pool,"'Five windows, each with 2 glass panels with one or two figures of swimmers painted on wood and set behind the glass, in front of a painted wall. The windows are lit with green fluorescent light at night.'",Oil on marine plywood,"5 WINDOWS w/ 2 GLASS PANELS (H:77"" x W:56"" EACH, D:varies)",
185,Dr. Jose P. Rizal,"'Bust of Dr. Jose P. Rizal, a Filipino patriot who, during his short life, made lasting contributions to medicine, political and social reform, engineering and a large number of other disciplines. He was executed as a result of being accused of complicity in the Filipino insurrection of 1896.'",Plastic resin; bronze powder (?)  Or  cast bronze (?),"12'x3'3x3'3""",
186,Baby Elephant,'',Copper and steel,,
187,Portal,'Twenty-four cast glass tiles consisting of clear glass over dichroic glass base.',"Cast & dichroic glass, brass","7'10x7'8x5""",
188,Ivar Feeding the Gulls,'',"Bronze, aluminum","5'8x4'9x3'11""",
189,Transition,'Wood and cast glass sculpture of human form.  Two panels.',Wood and cast glass,"Glass: 73"" x 37 ½"" x 2""  Cedar panel: 72"" x 35"" x 2""",
190,Seattle Garden,"'ARTIST-DESIGNED FENCE THAT RUNS ALON TWO SIDES OF THE UNION  SUBSTATION. INSTALLED ATOP A 4' WALL, THE FENCE EXTENDS ANOTHER FOUR FEET WITH THE ADDITION OF SPIKELIKE STEEL FLOWERS AND BLADES, PAINTED WITH COLORFUL HIGHLIGHTS     '",Painted steel,"4'x334""",
191,Untitled,"'Triangular tile murals, one with a scene of elephants playing in water, the other a scene of elephants in the jungle.'",Ceramic tile,,
192,The Lang Fountain,'White cubed stone column sculpture.',"Carved stone, aggragate",12'x18'x16',
193,Seattle Scatter Piece,'5-sided concrete platform with inverted sides sits directly on grassy mound.  Two concrete bench-like sculptural elements are on its west side on ground nearest reservoir and 3 rust colored structures sit on the east side.',"Concrete, metal","2'8""x26'4""x14'3"" above grade",
194,Tidal Wave Story,'SERIES OF 7 BENCH-LIKE FORMS TELLING A JAPANESE FOLKTALE ABOUT  FIRE.',"Concrete, terrazzo, stainless, cor-ten steel, sandstone",,
195,Hatch Covers,"'Circles of cartoon like faces rimming the hatchcovers, as if peering down into the opening at a worker below or a passerby.'",Cast iron,"37 1/2"" Diameter",
196,Tulip Tree Mosaic,'Tree roots were the cause of the destruction of the previous sidewalk.  Creation of this sidewalk treatment saved the tree for which it is named.',"Concrete, bronze, misc bits: ceramic, seashells, beads, etc.","2""x5'5""x15'",
197,Firefighter Silhouettes,'The fire station tower’s window openings are inset with aluminum silhouettes of firefighters on movable tracks that can be moved out of sight.',Aluminum deck plating,"72x36x.5""",
198,Seattle Scatter Piece,'',"Concrete, marble","5'4.5x35'5x17'7.5""",
199,Playground Artwork,'Gateway to the playground’s west entrance represents the world's record for the pole vault on the day the center opened.',"Painted steel, bronze,",,
200,Playground,"'Tile murals on the walkway and cast stone reliefs on the building include home base, fence painting, hopscotch museum, long/triple jump walkway, and sportsgoyles.'",Cast stone; ceramic tile,,
201,The Children,"'3 life-size children; black, white and Asian sitting on a bench reading.'","Cast aluminum, granite",,
202,Untitled Fence,"'Iron fence at edge of Park over freeway with an organic spiral design, like ivy or grass blowing in the wind.'",Wrought iron,"5'3""x9'3""",
203,Untitled Totem Pole,"'Four main figures on haida-style pole from bottom to top are: bear, killer whale or blackfish, human and raven. Only red and black paint stain colors are used in combination with the expressed natural cedar.'",Carved cedar,,
204,The Peaceable Kingdom,"'Sculpture showing a pig and a cougar sitting together atop a large granite boulder, with a sheep and a wolf at the base.'","Cast aluminum, granite",APPROX LIFE SIZE (RUPP),
205,Olympic Iliad,"'Sculpture consists of 41 monumental-scale bright red rolled steel cylinders ranging in size from 48"" to 64"" in diameter, piled on top of one another at various angles.'",Painted steel,H:45'xW:60'xD:30',
206,Seattle Scatter Piece,'Bronze boat-shaped drinking fountain that mimics a boat-shaped concrete slab.',Concrete; bronze,,
207,Salmon,"'A 225-square-foot mural of salmon swimming by island shapes through crackled surface, with iridescent colors.'",Raku fired ceramic; glazed brick,225 SQ',
208,Neon For The Bagley Wright Theatre,"'Loose assemblage of linear red neon tubes with hard angles and soft curves, narrow strips of tubing separate bands of green and follow contours on building.'",Neon tubing,8'x50',
209,Wisteria Mural,"'Painting on cinder block wall of wisteria branches, next to real vines.'",Acrylic enamel on concrete,,
210,Sasquatch Pushing over A House,"'Play sculpture of a leaning house frame of 12x12 wood, painted red, blue and yellow, being pushed on by a silver sasquatch figure.'","Cast aluminum, painted wood",,
211,Jimi Hendrix Memorial Viewpoint,"'A viewpoint consisting of a series of rocks surrounded by a mosaic walkway in a flame design; the largest rock in the center is heated  --  a ""hot rock"" meant to symbolize Jimi Hendrix's music.'",Carved rocks; tile,,
212,Break Point,'Abstract pattern of two figures playing basketball.',Stained glass,7' DIA,
213,Whale's Tail,'Play sculpture of the tail of a whale in the air',Cast aluminum,"6' 9""",
214,Beyond The Reef,"'A large (60x72x7"" EA) permanently-sited 2-dimensional artwork. '",Oil on canvas,,
215,Dancer's Series: Steps,"'A collection of inlaid bronze footprints and dance instructions.  Each of eight groups depicts different dance steps including rumba, waltz, tango, busstop* and obeedo*, *= artist’s inventions.'","Bronze, concrete",,
216,Homage in Green,'20 painted and etched glass panels:  10 glass panels with no surface treatment and 4 architectural bronze frames',Stained glass,,
217,Step on no Pets,"'Ceramic mural, tile border'","Ceramic tile, glass, found objects","17'x9'10x3'4""",
218,Electrical Abuse,"'TINTED CONCRETE DEPICTION OF AN OVERLOADED ELECTRICAL   OUTLET LABELED ""NO"" WHICH STANDS NEXT TO THE PROPERLY  USED OUTLET LABELED ""YES""'","Concrete, metal","9'x3'8""x7'10""",
219,My Testimony in Stone,'Artist surrounds a large bird and it’s fledgling with symbolic references to his beliefs about life and the place of humans in the universe.',Carved granite,4x2x5',
220,Black Lightning,'Monumental steel sculpture designed for its site on the grounds of the Seattle Center.',Painted steel,"H:20'x W:56'x D:36.75""",
221,The Itinerant,'Sculpture is of a man sleeping on a bench with his head covered by a newspaper.',"Cast aluminum, wood",,
222,Meridian Archway,"'ARCHWAY BETWEEN PARK AND STREET, A CIRCULAR WALKWAY CULMINATES   IN AN S-SHAPED RAMP GRADUALLY DESCENDING TO THE ARCH AT STREET  LEVEL. THE WALLS AND ARCHWAY CONSIST OF STONES GLASS AND TILES  SET INTO CONCRETE'","Stone, concrete, glass","9'4""x 65'x 68'",
223,Crocodile,'Mosaic relief of a crocodile.',"Stained glass, ceramic tile","38x72""",
224,Sand Dragon,"'A dragon made almost entirely of light silicon bronze; undulating form culminates with contrasting brightness of stainless steel eyes, edges are rounded and sculpture is filled with sand to absorb heat from metal on hot days.'","Silicon bronze, stainless steel","6'6""x12""",
225,Untitled Mural,'Trompe L'Oeil mural that appears to be a stained glass window showing Mt. Rainier and downtown Seattle basking in sunlight.',,,
226,Mcgilvra's Farm,'',"Granite, carved cedar",,
227,Reality Relics,"'Originally 7 relics total, 4 remain: a newspaper, a workglove, books and space cards.  Three objects (beer bottle, lunch bag, and running shoes) are no longer at the site.'",Bronze,,
228,Ross Creek,"'Mural depicting a view of the  Ship Canal as it was in 1875,  inspired by an old photograph the artist viewed at the Museum of History and Industry; made from 6x6"" glazed, fired tiles.'",Ceramic tile,"3'9""x6""x13'",
229,The Stairway In Fremont Project,"'At the bottom of the stairway, childlike pictures have been drawn in the concrete - panels of ceramic shards and  glass arranged in horizontal designs decorate retaining wall / benches surrounding the concrete area.'","Concrete, ceramic tile, glass",,
230,Stroke,'A steel and aluminum wind vane sculpture mounted 50' from ground.',"Steel, aluminum, concrete","216x148x320""",
231,1979 Earthworks Symposium,"'An environmental artwork consisting of a series of berms, mounds, and excavated rings that function together as a storm-water detention dam in Mill Creek Canyon Earthworks Park in Kent, Washington.''",,,
232,Gyrojack,'The artist created a concrete form consisting of 4 stacked concentric discs which appear to tilt and turn.',Concrete,9'x15'x15',
233,People Waiting for the Interurban,"'A group of people and a dog with a human face, standing under a shelter and looking out to the street, as if waiting for a streetcar.'",Cast aluminum,,
234,Pergola At Waiting For The Interurban,"'White painted framework and glass panel structure shelters the sculpture ""People Waiting for the Interurban"".'","Steel, glass",,
235,Gila Monster Mural,'Mosaic relief of a foreshortened gila monster.',"Stained glass, ceramic tile","3'6""x5'6""",
236,Homage to Hokusai,'',Stained glass,,
237,Anawog,'Red-orange organic abstract assemblage of painted steel plates',Painted steel,,
238,Christopher Columbus,'',Bronze,"9'9x5'9.25""",
239,Breaching Orca,"'Sculpture depicts an orca jumping straight up out of the water, the tip of its tail touching the surface.'",Silicon bronze,,
240,Three Dogs,"'Three carved sandstone dogs, each one crouching on the stepped sandstone railing bordering the perimeter of children's play area on Bell Street.  Each dog crouches awaiting the reappearance of a small rat under the bottom step.'",Sandstone,,
241,Quintet in D,"'Fluid ripples of glass created in honor of Katsushika Hokusai (1760-1849), Master of Edo Japanese Woodblock Print'",Stained glass,"8'6""x3'4""",
242,Sundial,"'Large sculptural relief of concrete, brick, inlaid and cast bronze and numerous found objects. The viewer's body determines the time of day.'","Concrete, aggregate, bronze, misc objects, tile","27'9"" DIA",
243,Catfish,'The ceramic tiles in place of sidewalk pavers on this street corner create an illusion of looking down into a pool or stream full of catfish.',"Ceramic tile, stoneware","24.5x18""",
244,Untitled,'Cast iron abstraction of band type head saw.',Cast iron,"23.5x17.625""",
245,Vagor I And Vagor II,'',Black granite,"42x36""; 30x18""",
246,Untitled,'',Cast silicon bronze,"17.75x23.75"" ; 17.75x23.75""",
247,Untitled,'A series of sidewalk pavers with a design of concentric half-circles arranged to create serpentine patterns in the sidewalk.',Precast concrete,"131.125x109.25""; 91.125x112.5""",
248,In Transition is Unity,'',African black granite,,
249,Untitled,"'Mural of green and red dragons (the Chinese symbol of good luck) surrounded with multi-colored scenes of Asian-American and International District history.  The mural depicts the struggle of Asian pioneers in America including cannery, agricultural, and railroad workers.'",Oil base paints,32x61',
250,Untitled,'',Paint on concrete,,
251,Gates,"'ARTIST INCORPORATED THINGS IN THE ARBORETUM; PODS,  LEAVES, TENTACLES AND FLOWERS MADE WITH BRONZE STRIPS WELDED TOGETHER IN COMPOUND AND REVERSE CURVES'",Silicon bronze,"62""x22'x5""",
252,Ballard Centennial Bell Tower,'',"Bronze, brick",,
253,Atala Kivliktwok Okitun Dukik (The Golden Money Moon),"'The sculpture is an ""innukshuk"" an Eskimo word for an object with sculptural presence.  Inspired by Alaskan Eskimo and Indian art, the artist's intent was to combine these forms with a contemporary twist i.e., the steel fabrication and hansa yellow paint.'",Welded steel; enamel,"144x96x216""",
254,Bear (Totem),'NW Coast Native American style carved bear totem.',"Carved, painted western red cedar",13',
255,Untitled ,'Fountain basin',Granite; boulders,,
256,Untitled,'Six ribbons of bright hues grow out of the buildings left corner and progress up wall and continue off the buildings right side as if caught in a breeze.',,,
257,Untitled,'',"Cedar, paint","93""x93""",
258,Waterfront Fountain,'Geometric fountain of bronze blocks in a vertical/horizontal arrangement off which water cascades into an l-shaped shallow basin.',Welded cast bronze,"14'x18'8""x21'6""",
259,Untitled Columns,'Grouping of four columnar forms',Sandstone,,
260,Killer Whale (Totem),"'Cedar totem pole of whale, nose down and figure at top holding tail. '","Carved, painted cedar",(H)12',
261,Seattle Center Totem,"'Four main figures from top to bottom:  Hawk, Bear (holding a salmon), Raven, and Killer Whale. '","Carved, painted western red cedar","32'x2'5.5""x2'",
262,Volumetric Space Frame,'A square frame with a circle cut out of the middle stacked on a triangular frame with circles cut out of each side.  The top piece used to rotate but has since been secured by the artist for safety of public and artwork.',Cor-ten steel,"16'6x6'3x4'5""",
263,The Bears,'Brick sculpture set in a brick wall to seem as if the bear is coming out of the wall.',Carved brick,,
264,Three Piece Sculpture #3: Vertebrae,"'Bronze abstract sculpture consisting of three united segments, similar but not identical in form and scale; each form incorporates a strong use of positive and negative space and has areas that are domed, lipped, curved, erect or scalloped.'",Bronze,"10x30""",
