id,Type,Description,Value
3017655,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 4-story structure containing 34 apartment units. No parking proposed. Storage for 36 bicycles provided. Existing structures to be demolished.,$2050000.00
3016714,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 20-unit residential building above 2nd floor office and 1,067 sq. ft. 1st floor retail. Parking for 25 vehicles will be located within the structure .Existing 5,000 sq. ft. structure to be demolished.",$3103812.00
3018856,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6409239. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018854,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units has been approved under Project #6409227. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019278,VARIANCE,Land Use Application to allow an addition to an existing structure and change use from single family residence to a two unit townhouse.,$175000.00
3019020,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)25,727 sq. ft. and B)15,397 sq. ft.",$0.00
3019245,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: a) 4,201 sq. ft. and b) 3,802 sq. ft. Existing structures to be removed.",$0.00
3019243,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between x parcels of land. Proposed parcel sizes are: J)7,131 sq. ft. and K)6,982 sq. ft.",$0.00
3017504,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)7,851 sq. ft. and B)9,811 sq. ft. Existing single family residence is to remain.",$0.00
3019187,LOT BOUNDARY ADJUSTMENT PLAT,Cancelled per customer request 8/ 27/15 MH,$0.00
3017619,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION","Council Land Use Action to allow a new 2-story, 10,030 sq. ft. public facility (Fire Station 22) and to demolish the existing 4,100 sq. ft. facility  in an environmentally critical area. The station will include equipment storage, offices and living quarters.",$988000.00
3017353,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 6-story structure containing 130 residential units above 14,609 sq. ft. of retail space. Parking for 106 vehicles to be provided below grade. Existing structures to be demolished.",$21113069.00
3019244,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6413380. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018889,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6398382. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018444,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 3-story, 20,263 sq. ft. office addition with interior alterations to an existing 2-story retail and warehouse building resulting in a 5-story building.  Review includes a change of use from retail/warehouse to office use.  A 2,661 sq. ft. portion of retail to remain on the first floor.",$1000000.00
3019228,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units has been approved under Projects #6391082 and 6384006. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019164,SHORT PLAT,Land Use Application to subdivide one development site into 5 unit lots. The construction of residential units is under Project #6415819. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019302,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a new single family residence in an environmentally critical area. Parking for 2 vehicles to be provided. Project includes slope stabilization. Existing structure to be demolished.,$1.00
3006724,ADMINISTRATIVE CONDITIONAL USE,Land Use Application to allow change of use from retail (450 sq. ft.) to restaurant.,$0.00
3019271,SHORT PLAT,"Land Use Application to subdivide one parcel of land, containing two existing single family residences, into two unit lots with one single family residence on each lot. The residential units were approved under permit #674070. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.",$0.00
3019163,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6419578. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019162,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6339064. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018605,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 5,791 sq. ft. and B) 5,309 sq. ft. Existing single family residence is to remain.",$0.00
3017741,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow an addition of two underground storage tanks (totaling 23,500 gallons) and removal of one above ground 1,200 gallon storage tank. Project also includes an addition of four dispensers (for a total of 12 gasoline dispensers) and expansion to the existing canopy.",$12000000.00
3019367,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 2,515 sq. ft. and B) 2,522 sq. ft. Existing structure to be demolished.",$0.00
3018266,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish a 6,750 sq. ft. portion of existing  institution and to allow 9,633 sq. ft. in additions to existing structure (T.T. Minor School). Existing paved play area to be restriped to provide an additional 35 surface parking spaces for a total of 57. An Addendum to Seattle Public Schools Building Excellence Phase IV (BEX IV) Capital Improvement Program EIS has been prepared by Seattle Public Schools.",$10800000.00
3017625,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 7-story structure containing 83 residential units above 6,425 sq. ft. of office space. Parking for 18 vehicles to be provided within the structure. Existing structures are to be demolished.",$10000000.00
3019043,SEPA THRESHOLD DETERMINATION,Land Use Application to allow a 5-unit rowhouse structure with attached garages in an environmentally critical area. Environmental review includes future unit lot subdivision.,$1051599.00
3019417,ADMINISTRATIVE CONDITIONAL USE,Land Use Application to allow a minor communication utility consisting  of one low power FM antenna to be located on the rooftop of an existing building (Campion Tower Residence Hall).,$20000.00
3019160,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6339359. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019158,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6419453. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018826,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018565,"SHORELINE DEVELOPMENT, STREAMLINED ADMIN DESIGN RVW","Shoreline Substantial Development Permit to allow a three story, three unit apartment building. Two standard and two tandem parking spaces to be provided below grade (6 parking spaces total).",$0.00
3019280,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6406886. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019259,VARIANCE,Land Use Application to allow a new single family residence. Parking for two vehicles to be provided.,$400000.00
3019143,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A) 4,201 sq ft B)4,201 sq ft",$0.00
3019150,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots. The construction of residential units are under #6399124. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018611,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units has been approved under Project #6394909. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019053,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 7,800 sq. ft. and B) 6,600 sq. ft. Existing structures to be demolished.",$0.00
3019327,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a three story, 2-unit townhouse structure in an environmentally critical area. Existing single family residence to remain. Existing detached garage to be removed. Environmental Review includes future unit lot subdivision.",$450000.00
3019250,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units are under Project #6420971. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019157,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6419485. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3017071,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 5-story building with 140 hotel rooms in an environmentally critical area. Parking for 127 vehicles to be located in a below-grade garage. Existing structure to be demolished.,$15104362.00
3007314,SIDEWALK CAFE,"Land use application to allow a sidewalk cafe adjacent to an existing restaurant (La Dolce Vita Ristorante, LLC.)",$0.00
3019137,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 4,794 sq. ft. and B) 4,798 sq. ft. Existing structures to be demolished.",$0.00
3019131,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)4,000 sq. ft. and B)3,500 sq. ft.",$0.00
3019252,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6422124. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019249,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are: A) 2,400 sq. ft., and B) 2,601 sq. ft.",$0.00
3018598,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow an 8-story structure containing 167,000 sq. ft. of office space and 7,200 sq. ft. of retail space. Parking for 45 vehicles to be provided below grade. Existing structures to be demolished.  An addendum to the South Downtown Environmental Impact Statement has been prepared.",$32000000.00
3018505,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 3-story, two unit townhouse structure in an environmentally critical area. Parking for two vehicles to be provided in attached garages. Existing 5-unit apartment building to remain. Environmental review includes future unit lot subdivision.",$375000.00
3017629,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots. Existing structures to remain.,$0.00
3019333,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)5,555 sq ft B)7,192 sq ft",$0.00
3019289,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 3-story, 2-unit rowhouse structure in an environmentally critical area. Parking for two vehicles will be provided within the structures. To be considered with Project #3015230 for shared access. Existing structure to be removed. Environmental Review includes future unit lot subdivision.",$178420.00
3015230,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow five, 3-story single family residences in an environmentally critical area. Parking for two vehicles will be provided within the structures of two of the single family residences. Surface parking for an additional five vehicles to be provided. To be considered with Project #3019289 for shared access. Existing structure to be removed. Environmental Review includes future unit lot subdivision.",$1205000.00
3019231,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: Y)2,640 sq ft. Z)1,683 sq ft            Existing structures to remain.",$0.00
3019149,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6422995. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3007288,SEPA THRESHOLD DETERMINATION,RENEWAL & CONVERSION OF MUP #2203221.,$0.00
3019014,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6426082. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019005,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 2,400 sq. ft. and B) 2,601 sq. ft. Existing structures to be legally removed.",$0.00
3017908,SHORT PLAT,Land Use Application to subdivide one development site into nine unit lots. The construction of residential units has been approved under Building Permit Project #6412124. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3017172,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION","Land Use Application to allow expansion of existing religious facility (Catholic Newman Center). Proposal includes a 9,601 square foot (sq. ft.) addition with one additional bedroom to existing accessory dwelling unit. Surface parking for 13 vehicles is provided.",$3000000.00
3016870,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a four-story structure containing 28 residential units. Parking for 14 vehicles to be provided below grade.  Existing structures to be demolished.,$1650000.00
3019344,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 40-story building containing 1,824 sq. ft. of ground level retail located below 339 residential units and 142 hotel rooms.  Parking for 177 vehicles to be provided below grade. An Addendum to the Downtown Height & Density Changes Environmental Impact Statement (2005) has been prepared. Design Review was conducted under Project 3009145.",$71340000.00
3018548,SHORT PLAT,"Land Use Application to subdivide one parcel into four parcels of land.  Proposed parcel sizes are: A) 5,099 sq. ft., B) 5,001 sq. ft., C) 5,001 sq. ft., and D) 5,001 sq. ft. Existing structures are to be demolished.",$0.00
3017484,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application for one, 16-story building with 218 apartment units and one, 6-story office structure with retail and restaurant use to be located on the ground floor of each structure. Parking for 337 vehicles to be provided at and below grade. An Addendum to the South Lake Union Height and Density Environmental Impact Statement (EIS) has been prepared.",$50000000.00
3017398,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 16 story, building with 368 residential units with retail space at ground level. Parking for 365 vehicles to be provided at and below grade. An Addendum to the South Lake Union Height and Density Environmental Impact Statement (EIS) has been prepared.",$5000000.00
3017154,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Canceled due to lack of activity 4/13/2016 jh,$2003980.00
3019070,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6370524. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3017764,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 9,345 sq. ft. station entry for a light rail transit facility (Sound Transit Roosevelt Station - North entry). Environmental Review is being conducted under 3012973. Final Environmental Impact Statement (North Link FEIS April 2006) has been prepared by Sound Transit.",$50000000.00
3017563,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow an 8-story structure containing 152 residential units above 5,934 sq. ft. of retail space. Parking for 153 vehicles to be provided below grade.",$20000000.00
3016985,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow 4, 3-story structures containing 10 townhouse units in an environmentally critical area. Parking for 10 vehicles to be provided below and at grade. Existing structures to be demolished. Environmental Review includes future Full Unit Lot Subdivision.",$727452.00
3012973,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 14,339 sq. ft. station entry for a light rail transit facility (Sound Transit Roosevelt Station - South entry). Environmental Review includes related Project #3017764 (North entry). Final Environmental Impact Statement (North Link FEIS April 2006) has been prepared by Sound Transit.",$50000000.00
3019251,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units are under Project #6426081. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018948,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 7,399 sq. ft. and B) 6,605 sq. ft.",$0.00
3019047,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)7,959.6 sq ft. B)13,733.9 sq ft            Existing structures to remain.",$0.00
3014015,,"Shoreline exemption for Port of Seattle, Fisherman's Terminal - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014014,,"Shoreline exemption for Port of Seattle, Marine Industrial Center - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014013,,"Shoreline exemption for Port of Seattle, Terminal 115 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014012,,"Shoreline exemption for Port of Seattle, Terminal 103 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014011,,"Shoreline exemption for Port of Seattle, Terminal 102 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014010,,"Shoreline exemption for Port of Seattle, Terminal 24/25 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014. All reviews done under 3013733.",$0.00
3014009,,"Shoreline exemption for Port of Seattle, Terminal 30 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3017333,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 2,077.6 sq. ft. and B) 2,640.0 sq. ft.",$0.00
3014007,,"Shoreline exemption for Port of Seattle, Terminal 18 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014006,,"Shoreline exemption for Port of Seattle, Terminal 46 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014005,,"Shoreline exemption for Port of Seattle, Terminal 86 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014004,,"Shoreline exemption for Port of Seattle, Pier 66 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014003,,"Shoreline exemption for Port of Seattle, Terminal 90 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.All reviews done under 3013733.",$0.00
3014002,,"Shoreline exemption for Port of Seattle, Shilshole Bay Marina - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014. All reviews done under 3013733.",$0.00
3013733,,"Shoreline exemption for Port of Seattle, Pier 69 - To support the Pile Systems repair and maintenance program. Approval expires 10/2/2014.",$0.00
3018936,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 9,617 sq. ft. and B) 40,552 sq. ft.",$0.00
3019159,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6407024. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3019032,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6391876. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental Review completed under 3017330.,$0.00
3019011,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6406139. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots. Environmental review conducted under Project #3016658.,$0.00
3018805,SHORT PLAT,"Land Use Application to subdivide one parcel into three parcels of land. Proposed parcel sizes are: A) 5,122 sq. ft., B) 5,032 sq. ft., and C) 6,952 sq. ft. Existing single family residence is to remain.",$0.00
3018440,SHORT PLAT,Land Use Application to subdivide one development site into five unit lots in an environmentally critical area. The construction of residential units is under Project #6366942. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.  Environmental Review was completed under 3015446.,$0.00
3018146,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one development site into three parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 6,344 sq. ft., B) 6,340 sq. ft., and C) 6,360 sq. ft. Existing structures are to be demolished.",$0.00
3019274,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A) 4,321 sq ft B)4,474 sq ft",$0.00
3018804,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between 2 parcels of land. Proposed parcel sizes are: A)4744 sf and B)4579 sf.,$0.00
3015176,STREAMLINED ADMIN DESIGN RVW,"SEPA-Streamlined Design Review for 2, 3-story, 3-unit townhouses with parking located within the structures. Existing structures to be demolished.",$1.00
3019094,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6428659. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018782,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to grade 430 cubic yards of material (350 cu. yds. cut; 80 cu. yds. fill) in an environmentally critical area and to allow site improvements (elevated walkway, benches and deck/viewing platform, re-vegetation) to 11th Avenue NW street end for public recreation use. (Seattle Department of Transportation)",$90000.00
3018511,COUNCIL ACTION,"Council Land Use Action to subdivide one unit lot into two unit lots.  This is a re-division of one unit lot within a nine unit lot subdivision, creating a total of 10 unit lots. The nine lot subdivision was issued under Permit #3017428. The construction of residential units is under Project #6387706. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.",$0.00
3019111,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)5,944 sq ft. B)2,546 sq ft",$0.00
3018853,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between four parcels of land. Proposed parcel sizes are: A) 6,878.4 sq ft, B) 7,354 sq ft, C) 7,554.8 sq ft, and D) 6,891.8 sq ft. Existing structure on Parcel A to remain. House #3612 to be removed.",$0.00
3018964,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 3,914 sq. ft. and B) 7,888 sq. ft. Existing primary structure on Parcel A (7508 35th Ave SW) to remain and structures on Parcel B (7514 35th Ave SW) to be removed.",$0.00
3018677,SHORT PLAT,"Land Use Application to subdivide one development site into three parcels of land. Proposed parcel sizes are: X) 6,175 sq. ft., Y) 5,774 sq. ft.; and, Z) 5,774 sq. ft. Existing structures to be demolished.",$0.00
3018575,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to allow a new two-story, 1,333  sq. ft. floating home in an environmentally critical area. Existing floating home to be removed (Unit L). Existing float to remain.",$200000.00
3006220,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",CANCELED PER NO RESPONSE TO ECON LETTER JH 3/8/2010.CONVERTED FROM PTS #2001109.,$0.00
3018441,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units are under Project #6404983. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018779,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6395330. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018289,ADMINISTRATIVE CONDITIONAL USE,Cancelled per customer request 12/1/15 jdc.,$200000.00
3018731,ENVIRONMENTALLY CRITICAL AREA,Canceled due to lack of activity 4/13/2016 jh,$180000.00
3018978,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units are under Project #6400945. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018748,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one parcel into three parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 7,232 sq. ft., B) 7,349 sq. ft.; and, C) 7,445 sq. ft.",$0.00
3018727,SEPA THRESHOLD DETERMINATION,Land Use Application to allow five single family residences. Surface parking for five vehicles to be provided. Existing structure to be demolished. Environmental Review includes future unit lot subdivision.,$957000.00
3018659,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one parcel of land, containing two existing single family residences, into two unit lots with one single family residence on each in an environmentally critical area. The construction of the residential units are under Project #422727 & 579820. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.",$0.00
3018469,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a 3-story, 35 unit apartment building. Existing structures to be demolished. No parking is proposed.",$1420800.00
3017758,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use Application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 4,883 sq ft. B) 3,357 sq ft. Existing structures to remain on Parcel A.",$0.00
3018308,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow two, 3-story rowhouse structures, one 4-unit and one 3-unit (7 units total) in an environmentally critical area. Parking for seven vehicles to be provided. Existing structure to be removed. Environmental Review includes future unit lot subdivision.",$1048425.00
3018132,ADMINISTRATIVE CONDITIONAL USE,Land Use Application to allow a new wireless communication facility with 12 panel antennas on the roof of an existing apartment building (Verizon Wireless). Seven equipment cabinets will be located in basement equipment room.,$150000.00
3017451,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a 17-story hotel structure (Extended Stay Hotel) containing 309-rooms and ground-level retail and restaurant space. Parking for 149 vehicles to be provided below grade.,$32118792.00
3017466,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 12-story, 322,000 sq. ft. office building with 21,000 sq. ft. of street level retail and below grade parking for 343 vehicles. Existing structures to be demolished.  Addendum to the South Lake Union Height And Density Alternatives EIS, dated April 5, 2012 is being prepared.",$5000000.00
3017379,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 294 unit, 24-story residential building with parking for 231 vehicles located below grade. Existing structure and surface parking lot to be demolished. Addendum to the South Lake Union Height and Density Alternatives EIS, dated April 5, 2012 is being prepared.",$50000000.00
3019257,TEMPORARY LAND USE,"Land Use Application to allow 3 temporary trailers (1,027 sq. ft.) to be used by the Seattle Animal Shelter. Project includes a temporary construction staging area and restriping existing parking lot, removing 17 spaces with 14 spaces to remain.",$30000.00
3019142,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 2,601 sq. ft. and B) 2,400 sq. ft.  Existing structures to be demolished.",$0.00
3018945,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units has been approved under Project #6437762. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3018944,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units has been approved under Project #6437761. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
