id,case_type,description,case_group
694,HOUSING / ZONING,rs 02-08-16   Inoperative junk vehicle in back yard.,ZONING
695,CITATION,ra 02-08-16  More than the allowed 3 car limit on property at this address.,ZONING
696,CONSTRUCTION,Interior gutted throughout; excavation in basement and foundation repairs. Substantial alterations without permits and inspections.,BUILDING
697,CONSTRUCTION,Concrete wall height is in excess of 6 ' allowed height; wall to be reduced to match approved plans.,BUILDING
698,CITATION,rs 02-08-16 Vegetation overgrowth onto ROW of sidewalk.,WEEDS AND VEGETATION
699,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  3; total units occupied:  3.  Demolition.,TENANT RELOCATION ASSIST ORD
700,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total Units: 2; Total Units Occupied: 2.  Demoltion.,TENANT RELOCATION ASSIST ORD
701,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total Units: 1; Total units occupied: 1.  Substantial Rehabiliation.,TENANT RELOCATION ASSIST ORD
702,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 2: Total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
703,CITATION,08/08/13 Vacant building violations,WEEDS AND VEGETATION
704,CONSTRUCTION,"Rebuilt/replace elevated deck (approx 9 ft high) w/o permit/inspect. Tyvak visible, replacing siding, windows & doors?  Electrical permit 6517888 issued 2/8/16 for work begun w/o permits & inspections.",BUILDING
705,CITATION,2/3/16 JS assigned inspector and checked the permit history. no variance issued for an early concrete pour. I will contact the project and give them a warning and follow up with the complainant and inform them about the photo policy.,CONSTRUCTION NOISE
706,CONSTRUCTION,Constructing retaining wall in ECA steep slope area requires permits and inspections. (Failing retaining wall is encroaching on Right of Way).,BUILDING
707,CONSTRUCTION,"Interior alterations, including but not limited to construction, electrical & plumbing, in upper apartment require permits and inspections.",BUILDING
708,TENANT RELOCATION ORDINANCE,SMC 22.210.163 Certification.,TRAO AVOIDANCE
709,CONSTRUCTION,"As of 2/4/16, Temporary Erosion & Sedimentation Control (TESC)/Construction Stormwater Control (CSC) is per Permit 6351824.",SITE
710,CONSTRUCTION,Administratively closed,BUILDING
711,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 3; total units occupied: 3.  Substantial Rehabiliation.,TENANT RELOCATION ASSIST ORD
712,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 2.  Substantial Rehabilation.,TENANT RELOCATION ASSIST ORD
713,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 10; Total units occupied: 10.  Substantial Rehabilitation.,TENANT RELOCATION ASSIST ORD
714,HOUSING / ZONING,ST 2/4/16 HMBC violations.,HOUSING
715,CITATION,02/04/2016 ED- Parking issues. Possible junk storage.,ZONING
716,CONSTRUCTION,Interior alterations for kitchen remodel are under the threshold for requiring a construction permit. Electrical permit 6518264 issued 2/9/16 for work begun w/o permits & inspections.,BUILDING
717,HOUSING / ZONING,"rs  02-04-16 In unit 204, refrigerator leaking water onto floor, water leaking inside refrigerator at bottom of removal draws.  Grime and dirt building up inside at the bottom of draws from leaking water backup.",HOUSING
718,HOUSING / ZONING,HBMC Violation including but not limited to moldy and spongy floors.,HOUSING
719,HOUSING / ZONING,"HBMC Violations including but not limited to water damaged/leaking ceiling, and collapsed drywall at ceiling.",HOUSING
720,HOUSING / ZONING,Bradrick 2.4.16 Vacant Building code violations.,VACANT BUILDING
721,HOUSING / ZONING,02/03/16 Vacant building violations,VACANT BUILDING
722,HOUSING / ZONING,"rs 02-04-16   Junk storage on rear parking lot, not limited to bed mattress, box spring, and couch.",ZONING
723,HOUSING / ZONING,Land Use Code Violation - use not established by permit,ZONING
724,CONSTRUCTION,Installing conduit and grounds to provide electricity to new shed (10 x 12) requires permits and inspections.,ELECTRICAL
725,CITATION,1/7/16 VEGETATION FLYER MAILED,WEEDS AND VEGETATION
726,HOUSING / ZONING,VIOLATION OF THE HBMC STANDARDS,HOUSING
727,TENANT RELOCATION ORDINANCE,SMC 22.210.136 Certification Request.,TRAO AVOIDANCE
728,HOUSING / ZONING,VIOLATION OF THE HBMC STANDARDS,HOUSING
729,TENANT RELOCATION ORDINANCE,SMC 22.210.136 Certification Request.,TRAO AVOIDANCE
730,HOUSING / ZONING,Bradrick 2.3.16 Outdoor junk storage in the back yard.,ZONING
731,CITATION,Bradrick 2.3.16 Outdoor junk storage in the rear yard.,ZONING
732,CITATION,rs 02-03-16   Weeds and vegetation overgrowth onto ROW of sidewalk.,WEEDS AND VEGETATION
733,HOUSING / ZONING,12/28/15 DW A neighbor is complainting about the condition of the property. He does not live there but is concern about the people living in the residents. I will send a inspection request.,HOUSING
734,CITATION,ST 2/3/16 Vegetation(hedge) encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk.,WEEDS AND VEGETATION
735,CONSTRUCTION,Constructing an approximately 400 sq.ft. detached accessory dwelling unit on a site mapped Steep Slope & Potential Slide ECA requires a permit and inspections from SDCI.,BUILDING
736,CITATION,ST 2/3/16 One rooster seen in coup. Pastor is working on relocation.,ZONING
737,HOUSING / ZONING,02/02/16 DW Observed bed frames left next to dumpster area. I need to write NOV because its a commercial zone for outdoor storage.,ZONING
738,CITATION,02/02/16 DW VEGETATION HANGING OVER STREET/SIDEWALK INTO R-O-W,WEEDS AND VEGETATION
739,CITATION,"ST 2/2/16 Junk storage including but not limited to loose wood, cut branches, plastic containers and bags, rubbish and other used materials and inoperable vehicle must be removed. Vegetation encroaches sidewalk.",ZONING
740,CITATION,02/02/16 DW Observed outdoor of debris in the rear portion of the property and a vehicle parked in the middle of the yard.,ZONING
741,CITATION,"1/28/16 rf Observed outdoor junk storage of various items including but not limited to tarps, plywood, ice cooler, step stool, wheel barrow, rubbish and debris.",ZONING
742,CONSTRUCTION,Exceptional Lombardy poplar was removed without permits and inspection.,SITE
743,CONSTRUCTION,Revision filed 1/27/16 under proj#6515992 and approved 2/16/16. Inspections will proceed under permit 6451549.,BUILDING
744,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C) - Failure to state a just cause reason on the notice; failure to provide minimum 20 days prior to the end of a regular rental period.,JUST CAUSE EVICTION
745,HOUSING / ZONING,01/28/16 Vacant building violations,VACANT BUILDING
746,HOUSING / ZONING,01/29/16 - Vacant building violations,VACANT BUILDING
747,CITATION,"ST 2/2/16 Junk storage including but not limited to Styrofoam, loose wood, debris and other used materials must be removed.",ZONING
748,HOUSING / ZONING,"ST 2/1/16 Repair or replace the damaged, missing and deteriorated protective covering and support wall for the exterior siding at rear of building in an approved manner.",HOUSING
749,CITATION,"Land Use Code Violation.  Junk storage, inoperable vehicles, and vehicle parking in required yards.",ZONING
750,CITATION,ST 1/25/16 Remove junk storage including but not limited to old box spring(near 20th ave ne) and loose branches and loose wood on property. Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk.,ZONING
751,CITATION,ST 2/1/16 Zoning violation non permitted structure.,ZONING
752,CONSTRUCTION,Retaining walls were reduced in height to be less than 4 ft from bottom or footing to top of wall. (No permit is required.),BUILDING
753,CONSTRUCTION,As of 2/10/16 inspection tree protection is per the approved plans under permit 6405143.,SITE
754,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
755,CITATION,Land Use Code Violation. Junk storage.,ZONING
756,HOUSING / ZONING,ST 2/1/16 Zoning violation non permitted structure.,ZONING
757,CITATION,Land Use Code Violation.  Junk Storage.,ZONING
758,TENANT RELOCATION ORDINANCE,Application for a  Tenant Relocation License.  Total units: 4; total units occupied: 4.  Demolition.,TENANT RELOCATION ASSIST ORD
759,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 6; Total units occupied: 6.  Demolition.,TENANT RELOCATION ASSIST ORD
760,HOUSING / ZONING,01/28/16 DW Observed leaking stains from the living room & kitchen ceiling. The adjacent unit front stairs have dry rotted on one side(North) main entrance deeming unsafe.,HOUSING
761,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
762,CITATION,01/28/16 Observed a vehicle covered with a trap in the western corner of the front yard of the property.,ZONING
763,CITATION,01/22/2016 ED- JUNK STORAGE AND VEG.,ZONING
764,CITATION,12/11 - I called M. Dang to ask if this would be a priority 3.,WEEDS AND VEGETATION
765,HOUSING / ZONING,01/22/2015 ED- JUNK STORAGE ON PROPERTY.,ZONING
766,CONSTRUCTION,"As of 2/3/16, Temporary Erosion & Sedimentation Control (TESC)/Construction Stormwater Control (CSC) is not per Permit 6358828.",SITE
767,CITATION,"Land Use Code Violation.  Egregious junk storage in front, side, and rear yards.",ZONING
768,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
769,CITATION,"Land Use Code Violation.  Junk storage, inoperable vehicles, maximum vehcile parking.",ZONING
770,CITATION,Land Use Code Violation.  Junk storage and inoperable vehicle.,ZONING
771,CITATION,Land Use Code Violation.  Junk storage.,ZONING
772,CITATION,Land Use Code Violation.  Junk storage.,ZONING
773,CONSTRUCTION,Temporary Erosion & Sedimentation Control (TESC) and Construction Stormwater Control (CSC) is not per Permit 6434499. Contractor directed to meet TESC/CSC standards by 1/29/16.,SITE
774,CITATION,Land Use Code Violation.  Junk storage.,ZONING
775,CITATION,Land Use Code Violation.  Junk Storage.,ZONING
776,HOUSING / ZONING,01/13/2015 ED- junk storage of rubish on property.,ZONING
777,HOUSING / ZONING,Bradrick 1.28.16 EO. No heat.,HOUSING
778,CONSTRUCTION,"As of 1/22/16, there doesn't appear to be any threats to structures on this site. Property owner notified to obtain a geotechnical engineer's recommendation for stabilizing the site, obtaining any required permits for site stabilization and then stabilizing the site.",BUILDING
779,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 7; total units occupied: 7.  Substantial Rehabiliation.,TENANT RELOCATION ASSIST ORD
780,CITATION,Bradrick 1.27.16 Outdoor junk storage in the back yard.,ZONING
781,CONSTRUCTION,Permit 6516448 issued 1/29/16 for interior alterations begun without permits and inspections to existing office building.,BUILDING
782,CITATION,"01/26/16 DW Observed concrete blocks, tree stumps in the rear yard.",ZONING
783,HOUSING / ZONING,ST 12/15/15 Owner and tenant confirmed on phone that there is no heat.,ZONING
784,HOUSING / ZONING,rs 01-25-16  Various HBMC violatons.,HOUSING
785,CITATION,Land Use Code Violation.  Junk storage,ZONING
786,HOUSING / ZONING,rs 01-26-16  Land Use Code violation:  Illegal dwelling unit downstairs and various HBMC violations.,HOUSING
787,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total Units: 1: Total units occupied: 1.  Substantial Rehabilitation.,TENANT RELOCATION ASSIST ORD
788,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
789,HOUSING / ZONING,rs 01-26-16  Land Use Code violation:  Illegal dwelling unit downstairs and various HBMC violations.,ZONING
790,CITATION,Land Use Code Violation.  Junk storage.,ZONING
791,HOUSING / ZONING,Land Use Code Violation - parking spaces created without permit,ZONING
792,CITATION,Land Use Code Violation.  Junk storage.,ZONING
793,CITATION,"1/22/16 rf Observed outdoor junk storage of various items including but not limited to buckets, wood, debris and rubbish.",ZONING
794,CITATION,Land Use Code Violation.  Junk Storage.,ZONING
795,CITATION,"1/22/16 rf Observed outdoor junk storage of various items including but not limited to full trash bags, rubbish and debris, wood, pallets, tires, items covered by tarps, and carpets.",ZONING
796,CITATION,01/26/15 DW Observed a shed has been placed in the side yard setback area.,ZONING
797,CITATION,"1/22/16 rf Observed outdoor junk storage of various itmes including but not limited to furniture (mattress, chair, stool, file cabinet), storage bins.",ZONING
798,CITATION,"1/22/16 rf Observed outdoor junk storage of various items including but not limited to appliances, storage bins, and carpet.Inoperable vehicle.",ZONING
799,HOUSING / ZONING,"rs 01-26-16   Kitchen electrical system is out of service, not working.  Only electrical oven and stovetop working.",HOUSING
800,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordiance - SMC 22.206.160(C).  Failure to provide a just cause reason for the termination.,JUST CAUSE EVICTION
801,CITATION,1/22/16 rf Observed outdoor junk storage of various items including but not limited to building materials (doors) and items covered with a tarp.,ZONING
802,HOUSING / ZONING,01/25/16 DW Light & Glare onto adjacent properties,ZONING
803,CITATION,1/22/16 rf Observed outdoor junk storage of various tiems incuding but not limited to shopping carts.,ZONING
804,CITATION,01/25/16 DW Observed the hedge is overgrown onto sidewalk r-o-w. Only one person at a time can walk along the sidewalk.,WEEDS AND VEGETATION
805,CITATION,"1/21/16 rf Observed outdoor junk storage of various items including but not limited to furniture, shopping carts, storage bins, cardboard, wood, and milk crates.",ZONING
806,HOUSING / ZONING,ST 1/25/16 Parking not allowed in required front yard.,ZONING
807,HOUSING / ZONING,hm occ violations,ZONING
808,HOUSING / ZONING,ST 1/25/16 Remove junk storage including but not limited to old box spring(near 20th ave ne) and loose branches and loose wood on property. Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk.,ZONING
809,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units 2; total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
810,CITATION,Land Use Code Violation.  Junk storage and parking in required yard.,ZONING
811,CONSTRUCTION,As of 2/10/16 Signs (POT SHOP & CHEAP POT) installed on vacant property without permit or approval have been removed.,SIGNS
812,CITATION,01/25/16 DW Roosters on the property.,ZONING
813,CITATION,Land Use Code Violation.  Junk storage.,ZONING
814,HOUSING / ZONING,rs 01-25-16  EO - no heat.,HOUSING
815,HOUSING / ZONING,rs 01-25-16  EO - no heat.  Created in error - refer to 1036582.,ZONING
816,CITATION,Land Use Code Violation...Junk Storage.,ZONING
817,CONSTRUCTION,Work is beyond the scope of the STFI permit 6503702. New sloped roof structure & roof parapets installed. Appears to be adding roof top deck area.,BUILDING
818,CONSTRUCTION,As of 3/29/16 inspection Temp Erosion Control measures are in place per the approved plans under permit 6165135,SITE
819,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance -  SMC 22.206.160(C).,JUST CAUSE EVICTION
820,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units: 4; total units occupied:3. Substantial rehabilitation.,TENANT RELOCATION ASSIST ORD
821,HOUSING / ZONING,Land code violation.  More than 3 vechicles on residential property.,ZONING
822,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:2; total units occupied:2. Substantial rehabilitation.,TENANT RELOCATION ASSIST ORD
823,CONSTRUCTION,Required parking in garage to remain parking. Electrical permit 6520647 issued 2/24/16 and finaled 3/1/16 for work done w/o permits & inspections.,BUILDING
824,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
825,CITATION,1/19/16 rf Observed outdoor junk storage of various items including but not limited to building materials.,ZONING
826,CITATION,Bradrick 1.22.16 The fence structure may be too high.,ZONING
827,CITATION,"1/19/16 rf Observed outdoor junk storage of various itmes including but not limited to shopping cart, full trash bags, and other trash.",ZONING
828,CITATION,Bradrick 1.21.16 Outdoor junk storage again.,ZONING
829,HOUSING / ZONING,Land use code violation.  Junk storage on driveway.,ZONING
830,CONSTRUCTION,Installing air conditioning unit on exterior of east side of this building requires a mechanical and refrigeration permits & inspections from SDCI and approval from Pioneer Square Preservation Board.,BUILDING
831,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  1;  total units occupied:  1.  Demolition.,TENANT RELOCATION ASSIST ORD
832,CONSTRUCTION,Permit 6520310 was applied for & issued on 3/25/16 for work originally started without a permit & inspections. This case will remain open until all required inspections have been requested and approved.,BUILDING
833,CITATION,Bradrick 1.21.16 Outdoor junk storage in the side and rear yards.,ZONING
834,CITATION,"08/03/15 DW Observed outdoor storage in the entire yard, inoperable vehicles private and commercial. The amount of trash ad debris has been reduced but will monitor for total compeletion.",ZONING
835,CITATION,Bradrick 1.20.16 Outdoor junk storage.,ZONING
836,CONSTRUCTION,Permit 6514712 issued 1/20/16 for work begun w/o permits and inspections.,BUILDING
837,CITATION,1/7/16 rf  Observed no evidence of roosters on subject property.,ZONING
838,HOUSING / ZONING,ST 1/19/16 Damaged ceiling from water leak with mold. Two smoke detectors missing.,HOUSING
839,CITATION,NS inspected the property on 12/22/15- inspection shows parking in the required front yard.,ZONING
840,CITATION,NS inspected the property on 1/4/16- Weeds and vegetation violation. Vegetation encroaching into the sidewalk and the street.,WEEDS AND VEGETATION
841,HOUSING / ZONING,"NS inspected the property on 1/4/16- Outdoor junk storage including but not limited to garbage bags,furniture and more misc.items.",ZONING
842,CONSTRUCTION,Constructing an elevator shaft requires a Building Permit and inspections (in addition to Conveyance Permit 6508209 issued on 12/17/15) from SDCI. STOP WORK ORDER posted 1/19/16.,BUILDING
843,CITATION,01/15/16 DW Observed outdoor storage in the side and rear yard.,ZONING
844,CITATION,rs 01-15-16  Vegetation overgrowth onto street.,WEEDS AND VEGETATION
845,HOUSING / ZONING,12/22/2015 ED- Left message. 01/05/2016 ED- Violation of HBMC.,HOUSING
846,CITATION,rs 01-15-16  Land use code violation.  Overgrowth vegetation from tree onto ROW of sidewalk.,WEEDS AND VEGETATION
847,HOUSING / ZONING,01/05/16 DW Observed the permanent heat is inoperable for the entire unit.,HOUSING
848,CONSTRUCTION,"Based on reinspection, Porch roof & deck on North side of property were existing and not new. Non-conforming set backs existing on both side of property.",BUILDING
849,CONSTRUCTION,Permit 6507888 issued 2/17/16; pending further inspections.,BUILDING
850,HOUSING / ZONING,01/08/16 Vacant building violations,VACANT BUILDING
851,HOUSING / ZONING,"HBMC Violation.  Including but not limited to missing handrail, improper deadbolts at 2 exterior doors, mold and damaged flooring due to flood.",HOUSING
852,CITATION,01/13/16 DW Observed garbage in the front of the building,ZONING
853,CONSTRUCTION,"Per 4/12/16 inspection, site is in compliance. Erosion control measures per approved plans under permit 6416024.",SITE
854,HOUSING / ZONING,Land use code violaton.  Semi-trailer parked in front driveway.,ZONING
855,HOUSING / ZONING,"Bradrick 10.9.15 Vacant, Closed, Violation--vegetation in the front, sides and rear yard.",VACANT BUILDING
856,CITATION,01/13/16 DW Vehicles exceeding 3 per house hold,ZONING
857,CITATION,01/05/16 DW Observed metal rods placed among the vegetation.,ZONING
858,CITATION,1/7/16 rf Observed trailer parked in required front yard.,ZONING
859,CONSTRUCTION,Demolition of SFR w/o permits and inspections.,BUILDING
860,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
861,HOUSING / ZONING,Land Use Code Violation - required off-street parking removed,ZONING
862,CITATION,01/13/16 DW The property has gotten worst with appliances placed on the north side of the house. I will issue a citation.,ZONING
863,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
864,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
865,CITATION,Land use code violation.  Overgrowth vegetation onto street.,WEEDS AND VEGETATION
866,CITATION,"Land Use Code Violation - outdoor junk storage, inoperable vehicle",ZONING
867,CITATION,Weed and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
868,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
869,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 4; total units occupied: 4.  Substantial Rehabilitation.,TENANT RELOCATION ASSIST ORD
870,HOUSING / ZONING,01/05/16 DW Observed the permanent heat is inoperable for the entire unit.,HOUSING
871,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:2; total units occupied:2. Demolition.,TENANT RELOCATION ASSIST ORD
872,HOUSING / ZONING,Land use code violation. Light/glare code violation.,ZONING
873,HOUSING / ZONING,Land use code violation.   Junk storage of inoperable of vehicle.  And light/glare code violation.,ZONING
874,CITATION,"01/08/16 DW Observed trash and debris, couch on the parking stripe.",ZONING
875,CITATION,1/6/16 - JD - I will follow up with Howard S Wright tomorrow. I have already emailed the complainant and let him know about the photo policy.,CONSTRUCTION NOISE
876,HOUSING / ZONING,ST 1//11/16 Storage container in yard needs to be removed or pernitted.,ZONING
877,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
878,CITATION,01/11/2015 ED- Junk storage found on property.,ZONING
879,HOUSING / ZONING,Land use code violation.  Junk storage in yard.,ZONING
880,CONSTRUCTION,Structure requires permits and inspections to repair/replace due to failing hillside (roadway repairs). Site is being monitored by Geotechnical & Structural engineers.,BUILDING
881,CITATION,Land use code violation.  Junk storage.,ZONING
882,CITATION,1/7/16 rf Observed vegetation encroching onto sidewalk.,WEEDS AND VEGETATION
883,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certifcation of Occupancy or No Displacement.,TENANT RELOCATION ASSIST ORD
884,CONSTRUCTION,"As of 12/30/15, Temporary Erosion & Sedimentation Control (TESC) is per Permit 6426184.",SITE
885,HOUSING / ZONING,"10/6/15 rf Observed outdoor junk storage of various items including but not limited to trash bags, food containers, cardboard and garbage on subject property.",ZONING
886,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
887,HOUSING / ZONING,12/03/15 Vacant building violations,VACANT BUILDING
888,HOUSING / ZONING,"12/22/15 Vacant building, violations",VACANT BUILDING
889,CITATION,"RE 1/6/16 DG I called Mike K of Chinn Construction this morning, left a VM, if they worked today, prior to 7am, they were in violation of the noise ordinance. They had applied for a Noise Variance (NV), but never paid for it. I have an email I sent to their superintendent(applicant) with payment instructions for the applied for NV. I received a complaint today, construction starting prior to 7am. I am issuing a citation, Chinn Construction doesn't have a NV to start prior to 7am.",CONSTRUCTION NOISE
890,CONSTRUCTION,Temporary Erosion & Sedimentation Control (TESC) & Construction Stormwater Control (CSC) is not per Permit 6415945. STOP WORK ORDER removed w/o SDCI permission. Work performed w/o inspection. Tree cutting will be confirmed that it is per Permit 6415945 before final approval is issued.,SITE
891,CONSTRUCTION,Temporary Erosion & Sedimentation Control (TESC) & Construction Stormwater Control (CSC) is not per Permit 6434775. Work performed w/o inspection. STOP WORK ORDER removed without SDCI's permission.,SITE
892,HOUSING / ZONING,01/09/14 Vacant building violations,VACANT BUILDING
893,HOUSING / ZONING,Bradrick 1.6.16 Vacant Building open to entry.,VACANT BUILDING
894,CONSTRUCTION,Building permit 6515267 issued 1/25/16 and electrical permit 6514400 issued 1/19/16 pending inspections to resolve violation.,BUILDING
895,HOUSING / ZONING,1/5/16 rf Observed kitchen outlet open neutral. ADU use not established.,ZONING
896,HOUSING / ZONING,1/5/16 rf HBMC VIOLATION Observed kitchen outlet open neutral/ no control of heat. ADU use not established.,HOUSING
897,HOUSING / ZONING,12/10/15 Vacant building violations,VACANT BUILDING
898,HOUSING / ZONING,Housing violations:,HOUSING
899,HOUSING / ZONING,Housing violations:,HOUSING
900,CITATION,NS inspected the property on 12/23/15- outdoor junk storage including but not limited to plastic barrels and more misc. junk stored in the required yard.,ZONING
901,HOUSING / ZONING,Land use code violation.,ZONING
902,HOUSING / ZONING,01/05/16 DW Observed the permanent heat is inoperable for the entire unit.,HOUSING
903,CONSTRUCTION,Vertical cuts at East property line require revised plans and geotechnical special inspections added to permit 6386713. Work is under the supervision of Licensed Geotechnical Engineer.,BUILDING
904,HOUSING / ZONING,12/10/15 Vacant building violations,VACANT BUILDING
905,CITATION,"1/4/16 rf Observed out door junk storage of various items including but not limited to furniture (mattresses, chairs) and trash.",ZONING
906,CONSTRUCTION,Mechanical permit is required in addition to the refrigeration piping permit 6497448 for heat pump replacement.,MECHANICAL
907,CITATION,Int Insp 11/9/16 DG I was out at the site and talked to one of the utility crew.,CONSTRUCTION NOISE
908,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
909,HOUSING / ZONING,12/18/15 Vacant building violations,VACANT BUILDING
910,CITATION,12/29/15 - J.D. - I called and got a hold of Doug Maxfield the Super for LCL at this site. He did let me know that they had a daytime concrete pour on 12/23 and it ran late do to the concrete not setting up properly. Doug will let us know in the future if something like this happens so we will know ahead of any complaints.,CONSTRUCTION NOISE
911,HOUSING / ZONING,Land use code violation.,ZONING
912,HOUSING / ZONING,"12/10/15 Land Use Violation, Use not established by permit.",ZONING
913,CONSTRUCTION,"As of 12/30/15, Temporary Erosion & Sedimentation Control (TESC) and tree protection is per Permit 6426186.",SITE
914,CITATION,12/28/15 DW Observed toys and junk debris next to approved containers.,ZONING
915,CITATION,"12/28/15 DW Observed piles of chopped wood, tree branches  being used to beef of the  sidewalk/r-o-w buffer.",ZONING
916,CITATION,12/28/15 DW Observed outdoor junk storage in the front and side yardss.,ZONING
917,CITATION,01/04/16 DW Observed outdoor junk storage of furinture next to the dumpster alone alley way.,ZONING
918,CONSTRUCTION,"Interior & exterior alterations to previously vacant SFR w/o permits & inspections, work includes new interior stair case to basement, new windows, removed knob & tube wiring.",BUILDING
919,CONSTRUCTION,Raising an existing SFR 2' and constructing interior & exterior alterations requires a permit & inspections from Seattle DCI. STOP WORK ORDER issued 12/30/15.,BUILDING
920,HOUSING / ZONING,12/29/15 DW There's an E.O. for no permanent heat source in the house.,HOUSING
921,CONSTRUCTION,"As of 12/30/15, Temporary Erosion & Sedimentation Control (TESC) is per Permit 6426188.",SITE
922,CONSTRUCTION,Tree protection fencing & installation of Temporary Erosion & Sedimentation Control (TESC) required for this and adjacent project sites. Grading season extension required for any ground disturbance between October 31st and April 1st.,SITE
923,CONSTRUCTION,Temporary Erosion & Sedimentation Controls (TESC) must be installed immediately. STOP WORK ORDER posted 12/30/15 for all exterior work except installation of TESC. Grading season extension required for any ground disturbance between October 31st and April 1st.,SITE
924,HOUSING / ZONING,12/31/2015 ED- EO vacate and close.,HOUSING
925,CONSTRUCTION,Parapets & enclosed carports are not per the approved plans for permit 6459750. Revised plans are required with ZONING review or construction is to be removed and built per approved plans.,BUILDING
926,HOUSING / ZONING,"Bradrick 12.31.15 Vacant, Open to entry, Violation--vegetation in the rear yard.",VACANT BUILDING
927,CITATION,Bradrick 12.31.15 Egregious outdoor junk storage in the back yard.,ZONING
928,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
929,CITATION,ST 12/31/15 Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk.,WEEDS AND VEGETATION
930,CONSTRUCTION,STFI bldg permit 6511946 & electrical permit 6511927 obtained 1/4/16 for work begun w/o permits & inspections. All required inspections to be obtained.,BUILDING
931,CITATION,Bradrick 12.31.15 Egregious outdoor junk storage in the rear yard.,ZONING
932,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
933,CONSTRUCTION,Permit 6511665 was issued 1/8/16 for work originally started without a permit and inspections.,BUILDING
934,HOUSING / ZONING,Lamd code violation.,ZONING
935,CONSTRUCTION,"Removed garage door, built wall & installed window on lower level,  replaced (2) elevated decks (approx 6-7 feet above ground) that were built without permits and inspections.",BUILDING
936,HOUSING / ZONING,12/30/15 EO - vacant building,VACANT BUILDING
937,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  1; total units occupied:  1.  Demolition.,TENANT RELOCATION ASSIST ORD
938,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance -  SMC 22.206.160(C).,JUST CAUSE EVICTION
939,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C).,JUST CAUSE EVICTION
940,CITATION,Bradrick 12.30.15 Outdoor junk storage including a mattress and a large pile of panels.,ZONING
941,CONSTRUCTION,"Not allowing the designated geotechnical inspector, GEO Group Northwest Inc., perform special inspections as required by Permit 6411366.",SITE
942,CITATION,12/10/15 rf No violation.,ZONING
