id,applicant_id,permit_type,decision_type,design_review_included,status
2523,,SHORT PLAT,II,N,Permit Closed
2524,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2525,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
2526,,SHORT PLAT,II,N,Permit Closed
2527,,SHORT PLAT,II,N,Permit Closed
2528,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2529,,SHORT PLAT,II,N,Permit Closed
2530,,SHORT PLAT,II,N,Permit Closed
2531,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2532,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2533,,SHORT PLAT,II,N,Permit Closed
2534,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2535,,SHORT PLAT,II,N,Permit Closed
2536,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
2537,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
2538,,SHORT PLAT,II,N,Permit Closed
2539,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2540,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2541,,SHORT PLAT,II,N,Permit Closed
2542,,SHORT PLAT,II,N,Permit Closed
2543,,SHORT PLAT,II,,Permit Closed
2544,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2545,,SHORT PLAT,II,N,Permit Closed
2546,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2547,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2548,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2549,,SHORT PLAT,II,N,Permit Closed
2550,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2551,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2552,,SHORT PLAT,II,N,Permit Closed
2553,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2554,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2555,,ENVIRONMENTALLY CRITICAL AREA,II,N,Permit Issued
2556,,SHORT PLAT,II,N,CANCELLED
2557,,SHORT PLAT,II,N,Permit Closed
2558,,SHORT PLAT,II,N,Permit Closed
2559,,SHORT PLAT,II,N,Permit Closed
2560,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2561,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2562,,SHORT PLAT,II,N,Permit Closed
2563,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2564,,VARIANCE,II,N,Permit Issued
2565,,SHORT PLAT,II,N,Permit Closed
2566,,SHORT PLAT,II,N,Permit Closed
2567,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2568,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2569,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
2570,,SHORT PLAT,II,N,Permit Closed
2571,,,,N,CANCELLED
2572,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
2573,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2574,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2575,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2576,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2577,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2578,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2579,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2580,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2581,,SHORT PLAT,II,N,Permit Closed
2582,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2583,,VARIANCE,II,N,CANCELLED
2584,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2585,,SHORT PLAT,II,N,Permit Closed
2586,,SHORT PLAT,II,N,Permit Closed
2587,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2588,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2589,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2590,,SHORT PLAT,II,N,Decision Published
2591,,SHORT PLAT,II,N,Permit Closed
2592,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2593,,SHORT PLAT,II,N,Permit Closed
2594,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2595,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2596,,,II,,
2597,,SHORT PLAT,II,N,Permit Closed
2598,,SHORT PLAT,II,N,Permit Closed
2599,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2600,,SHORT PLAT,II,N,Permit Closed
2601,,SHORT PLAT,II,N,Permit Closed
2602,,VARIANCE,II,N,Permit Issued
2603,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2604,,SHORT PLAT,II,N,Permit Closed
2605,,SHORT PLAT,II,N,Permit Closed
2606,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2607,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2608,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2609,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
2610,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2611,,SHORT PLAT,II,N,Permit Closed
2612,,SHORELINE DEVELOPMENT,II,N,Permit Issued
2613,,SHORT PLAT,II,N,Permit Closed
2614,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2615,,SHORT PLAT,II,N,Permit Closed
2616,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
2617,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2618,,SHORT PLAT,II,N,Permit Closed
2619,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2620,,SHORT PLAT,II,N,Permit Closed
2621,,SHORT PLAT,II,N,Permit Closed
2622,,SEPA THRESHOLD DETERMINATION,II,,
2623,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2624,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2625,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2626,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2627,,SHORT PLAT,II,N,Permit Closed
2628,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Permit Issued
2629,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2630,,SHORT PLAT,II,N,Permit Closed
2631,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2632,,SHORT PLAT,II,N,Permit Closed
2633,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2634,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2635,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2636,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2637,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2638,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2639,,SHORT PLAT,II,N,Permit Closed
2640,,SHORT PLAT,II,N,Permit Closed
2641,,SHORT PLAT,II,N,Permit Closed
2642,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2643,,SHORT PLAT,II,N,Permit Closed
2644,,SHORT PLAT,II,N,Permit Closed
2645,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2646,,SHORT PLAT,II,N,Permit Closed
2647,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2648,,,I,,
2649,,SEPA THRESHOLD DETERMINATION,II,Y,Permit Issued
2650,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2651,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2652,,SHORT PLAT,II,N,Permit Closed
2653,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2654,,VARIANCE,II,N,Permit Issued
2655,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2656,,SHORT PLAT,II,N,Permit Closed
2657,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Closed
2658,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Closed
2659,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Closed
2660,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2661,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
2662,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2663,,SHORT PLAT,II,N,Permit Closed
2664,,SHORT PLAT,II,N,Permit Closed
2665,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2666,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2667,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Permit Issued
2668,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2669,,SHORT PLAT,II,N,Permit Closed
2670,,SHORT PLAT,II,N,Permit Closed
2671,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2672,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2673,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2674,,SHORT PLAT,II,N,Application Accepted
2675,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Permit Issued
2676,,SHORT PLAT,II,N,Permit Closed
2677,,SHORT PLAT,II,N,Permit Closed
2678,,SHORT PLAT,II,N,Permit Closed
2679,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, VARIANCE",II,N,Permit Issued
2680,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2681,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2682,,SHORT PLAT,II,N,Permit Closed
2683,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2684,,SHORT PLAT,II,N,Permit Closed
2685,,SHORT PLAT,II,N,Permit Closed
2686,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2687,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
2688,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
2689,,SHORT PLAT,II,N,Permit Closed
2690,,SHORT PLAT,II,N,Permit Closed
2691,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
2692,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2693,,SHORT PLAT,II,N,Permit Closed
2694,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2695,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2696,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2697,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2698,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2699,,SHORT PLAT,II,N,Permit Closed
2700,,SHORT PLAT,II,N,Permit Closed
2701,,SHORT PLAT,II,N,Permit Closed
2702,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2703,,"ENVIRONMENTALLY CRITICAL AREA, VARIANCE",II,N,Permit Issued
2704,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2705,,OTHER LAND USE ACTIONS,I,N,CANCELLED
2706,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2707,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2708,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2709,,SHORT PLAT,II,N,Permit Closed
2710,,SHORT PLAT,II,N,Permit Closed
2711,,SHORT PLAT,II,N,Permit Closed
2712,,ADMIN DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2713,,SHORT PLAT,II,N,Permit Closed
2714,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2715,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2716,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2717,,SHORT PLAT,II,N,Permit Closed
2718,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2719,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2720,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2721,,SHORT PLAT,II,N,Permit Closed
2722,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2723,,"SHORELINE DEVELOPMENT, VARIANCE",II,N,CANCELLED
2724,,SHORT PLAT,II,N,CANCELLED
2725,,SHORT PLAT,II,N,Permit Closed
2726,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2727,,SHORT PLAT,II,N,Permit Closed
2728,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2729,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2730,,SHORT PLAT,II,N,Permit Closed
2731,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2732,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2733,,SHORT PLAT,II,N,Permit Closed
2734,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2735,,SHORT PLAT,II,N,Permit Closed
2736,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2737,,SHORT PLAT,II,N,Permit Closed
2738,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SPECIAL EXCEPTION",II,Y,Permit Issued
2739,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
2740,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
2741,,SHORELINE DEVELOPMENT,II,N,Permit Issued
2742,,SHORELINE DEVELOPMENT,II,N,CANCELLED
2743,,SHORT PLAT,II,N,Permit Closed
2744,,"SHORT PLAT, SPECIAL EXCEPTION",II,N,Permit Closed
2745,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2746,,SHORT PLAT,II,N,Permit Closed
2747,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2748,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2749,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2750,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2751,,SHORT PLAT,II,N,Permit Closed
2752,,SHORT PLAT,II,N,Permit Closed
2753,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2754,,ENVIRONMENTALLY CRITICAL AREA,II,N,CANCELLED
2755,,ENVIRONMENTALLY CRITICAL AREA,II,N,Application Accepted
2756,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2757,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2758,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2759,,SHORT PLAT,II,N,Permit Closed
2760,,SHORT PLAT,II,N,Permit Closed
2761,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2762,,SHORT PLAT,II,N,Permit Closed
2763,,SHORT PLAT,II,N,Permit Closed
2764,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SPECIAL EXCEPTION",II,Y,Permit Issued
2765,,SUBDIVISION PLAT,II,,
2766,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2767,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,CANCELLED
2768,,SHORT PLAT,II,N,Permit Closed
2769,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2770,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2771,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2772,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2773,,SHORT PLAT,II,N,Permit Closed
2774,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2775,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2776,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Issued
2777,,SHORT PLAT,II,N,Permit Closed
2778,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2779,,DESIGN REVIEW WITH EDG,II,Y,CANCELLED
2780,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2781,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",IV,Y,Permit Issued
2782,,SHORT PLAT,II,N,Permit Closed
2783,,SHORT PLAT,II,N,Permit Closed
2784,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2785,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2786,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2787,,SHORT PLAT,II,N,Permit Closed
2788,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Permit Issued
2789,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",V,N,Permit Issued
2790,,VARIANCE,II,N,Permit Issued
2791,,COUNCIL ACTION,,N,Permit Closed
2792,,COUNCIL ACTION,,N,Permit Closed
2793,,SHORT PLAT,II,N,Permit Closed
2794,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2795,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2796,,SHORT PLAT,II,N,Permit Closed
2797,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2798,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2799,,VARIANCE,II,N,CANCELLED
2800,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2801,,SHORT PLAT,II,N,Permit Closed
2802,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2803,,,,,
2804,,SHORT PLAT,II,N,Permit Closed
2805,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2806,,SHORT PLAT,II,N,Permit Closed
2807,,SHORT PLAT,II,N,Permit Closed
2808,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2809,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2810,,SHORT PLAT,II,N,Permit Closed
2811,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2812,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2813,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2814,,VARIANCE,II,N,Permit Issued
2815,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2816,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2817,,,,,
2818,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2819,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2820,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2821,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2822,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2823,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2824,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION, VARIANCE",II,N,Permit Issued
2825,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2826,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2827,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2828,,SHORT PLAT,II,N,Permit Closed
2829,,SHORT PLAT,II,N,Permit Closed
2830,,,,N,CANCELLED
2831,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2832,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2833,,SHORT PLAT,II,N,Permit Closed
2834,,SHORT PLAT,II,N,Permit Closed
2835,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2836,,SHORT PLAT,II,N,Permit Closed
2837,,SHORT PLAT,II,N,Permit Closed
2838,,SHORT PLAT,II,N,Permit Closed
2839,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2840,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2841,,SHORT PLAT,II,N,Permit Closed
2842,,SHORT PLAT,II,N,Permit Closed
2843,,SUBDIVISION PLAT,II,,
2844,,SHORT PLAT,II,N,Permit Closed
2845,,"ADMIN DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2846,,SHORT PLAT,II,N,Permit Closed
2847,,ENVIRONMENTALLY CRITICAL AREA,II,N,Permit Issued
2848,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2849,,SHORELINE DEVELOPMENT,II,N,Permit Issued
2850,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2851,,SHORT PLAT,II,N,Permit Closed
2852,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Application Accepted
2853,,SHORT PLAT,II,N,Permit Closed
2854,,SHORT PLAT,II,N,Permit Closed
2855,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2856,,STREAMLINED ADMIN DESIGN RVW,II,,
2857,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Decision Published
2858,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2859,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
2860,,"COUNCIL ACTION, DESIGN REVIEW WITHOUT EDG, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
2861,,"DESIGN REVIEW WITHOUT EDG, SEPA THRESHOLD DETERMINATION",II,N,CANCELLED
2862,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
2863,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
2864,,SHORT PLAT,II,N,Permit Closed
2865,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Decision Published
2866,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
2867,,TEMPORARY LAND USE,II,N,Permit Issued
2868,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2869,,TEMPORARY LAND USE,II,N,Permit Issued
2870,,SHORT PLAT,II,N,Permit Closed
2871,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2872,,COUNCIL ACTION,IV,N,Permit Issued
2873,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
2874,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Issued
2875,,SHORT PLAT,II,N,Permit Closed
2876,,SHORT PLAT,II,N,Permit Closed
2877,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
2878,,SHORT PLAT,II,N,Permit Closed
2879,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
2880,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
2881,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2882,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2883,,SHORT PLAT,II,N,Permit Closed
2884,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
2885,,SPECIAL EXCEPTION,II,N,Permit Issued
2886,,SHORT PLAT,II,N,Permit Closed
2887,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2888,,SHORELINE DEVELOPMENT,II,N,Application Accepted
2889,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT, SPECIAL EXCEPTION",II,N,Permit Closed
2890,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2891,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2892,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2893,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2894,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2895,,SHORT PLAT,II,N,Permit Closed
2896,,SHORT PLAT,II,N,Permit Closed
2897,,SHORT PLAT,II,N,Permit Closed
2898,,SHORT PLAT,II,N,Permit Closed
2899,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2900,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Permit Issued
2901,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2902,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2903,,DESIGN REVIEW WITH EDG,II,Y,Permit Issued
2904,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
2905,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
2906,,SHORT PLAT,II,N,Permit Closed
2907,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2908,,SHORT PLAT,II,N,Permit Closed
2909,,SHORT PLAT,II,N,Permit Closed
2910,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2911,,SHORT PLAT,II,N,Permit Finaled
2912,,SHORT PLAT,II,N,Permit Closed
2913,,SHORELINE DEVELOPMENT,II,N,Permit Issued
2914,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
2915,,SHORT PLAT,II,N,Permit Closed
2916,,SHORT PLAT,II,N,Permit Closed
2917,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
2918,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Application Accepted
